round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,gauss,1,0.5,1,0.10059931506849315
1,1,gauss,1,0.5,1,0.10349264705882352
1,2,gauss,1,0.5,1,0.09635416666666667
1,3,gauss,1,0.5,1,0.10357142857142858
1,4,gauss,1,0.5,1,0.07981418918918919
1,5,gauss,1,0.5,1,0.08453947368421053
1,6,gauss,1,0.5,1,0.10431338028169014
1,7,gauss,1,0.5,1,0.09136284722222222
1,8,gauss,1,0.5,1,0.07954545454545454
1,9,gauss,1,0.5,1,0.08902616279069768
2,0,gauss,1,0.5,1,0.13356164383561644
2,1,gauss,1,0.5,1,0.17113970588235294
2,2,gauss,1,0.5,1,0.13113839285714285
2,3,gauss,1,0.5,1,0.16339285714285715
2,4,gauss,1,0.5,1,0.10029560810810811
2,5,gauss,1,0.5,1,0.09111842105263158
2,6,gauss,1,0.5,1,0.1192781690140845
2,7,gauss,1,0.5,1,0.1506076388888889
2,8,gauss,1,0.5,1,0.10203598484848485
2,9,gauss,1,0.5,1,0.11773255813953488
3,0,gauss,1,0.5,1,0.1500428082191781
3,1,gauss,1,0.5,1,0.15551470588235294
3,2,gauss,1,0.5,1,0.14750744047619047
3,3,gauss,1,0.5,1,0.175
3,4,gauss,1,0.5,1,0.11613175675675676
3,5,gauss,1,0.5,1,0.11858552631578947
3,6,gauss,1,0.5,1,0.1542693661971831
3,7,gauss,1,0.5,1,0.134765625
3,8,gauss,1,0.5,1,0.12334280303030302
3,9,gauss,1,0.5,1,0.11900436046511628
4,0,gauss,1,0.5,1,0.15560787671232876
4,1,gauss,1,0.5,1,0.18290441176470587
4,2,gauss,1,0.5,1,0.14546130952380953
4,3,gauss,1,0.5,1,0.17544642857142856
4,4,gauss,1,0.5,1,0.11549831081081081
4,5,gauss,1,0.5,1,0.11661184210526315
4,6,gauss,1,0.5,1,0.15118838028169015
4,7,gauss,1,0.5,1,0.14952256944444445
4,8,gauss,1,0.5,1,0.1103219696969697
4,9,gauss,1,0.5,1,0.1224563953488372
5,0,gauss,1,0.5,1,0.1701626712328767
5,1,gauss,1,0.5,1,0.18529411764705883
5,2,gauss,1,0.5,1,0.17875744047619047
5,3,gauss,1,0.5,1,0.17901785714285715
5,4,gauss,1,0.5,1,0.12373310810810811
5,5,gauss,1,0.5,1,0.11348684210526316
5,6,gauss,1,0.5,1,0.1817781690140845
5,7,gauss,1,0.5,1,0.1742621527777778
5,8,gauss,1,0.5,1,0.13115530303030304
5,9,gauss,1,0.5,1,0.15152616279069767
6,0,gauss,1,0.5,1,0.009631849315068493
6,1,gauss,1,0.5,1,0.19044117647058822
6,2,gauss,1,0.5,1,0.17559523809523808
6,3,gauss,1,0.5,1,0.18549107142857144
6,4,gauss,1,0.5,1,0.13766891891891891
6,5,gauss,1,0.5,1,0.14983552631578947
6,6,gauss,1,0.5,1,0.1795774647887324
6,7,gauss,1,0.5,1,0.1740451388888889
6,8,gauss,1,0.5,1,0.15080492424242425
6,9,gauss,1,0.5,1,0.14171511627906977
7,0,gauss,1,0.5,1,0.020333904109589043
7,1,gauss,1,0.5,1,0.1630514705882353
7,2,gauss,1,0.5,1,0.1449032738095238
7,3,gauss,1,0.5,1,0.19084821428571427
7,4,gauss,1,0.5,1,0.11528716216216216
7,5,gauss,1,0.5,1,0.11233552631578947
7,6,gauss,1,0.5,1,0.16879401408450703
7,7,gauss,1,0.5,1,0.16493055555555555
7,8,gauss,1,0.5,1,0.140625
7,9,gauss,1,0.5,1,0.13935319767441862
8,0,gauss,1,0.5,1,0.03339041095890411
8,1,gauss,1,0.5,1,0.16746323529411763
8,2,gauss,1,0.5,1,0.14267113095238096
8,3,gauss,1,0.5,1,0.15870535714285713
8,4,gauss,1,0.5,1,0.13006756756756757
8,5,gauss,1,0.5,1,0.11052631578947368
8,6,gauss,1,0.5,1,0.14722711267605634
8,7,gauss,1,0.5,1,0.13953993055555555
8,8,gauss,1,0.5,1,0.11955492424242424
8,9,gauss,1,0.5,1,0.1426235465116279
9,0,gauss,1,0.5,1,0.011772260273972603
9,1,gauss,1,0.5,1,0.18455882352941178
9,2,gauss,1,0.5,1,0.14192708333333334
9,3,gauss,1,0.5,1,0.18839285714285714
9,4,gauss,1,0.5,1,0.11592060810810811
9,5,gauss,1,0.5,1,0.13388157894736843
9,6,gauss,1,0.5,1,0.15911091549295775
9,7,gauss,1,0.5,1,0.1577690972222222
9,8,gauss,1,0.5,1,0.12760416666666666
9,9,gauss,1,0.5,1,0.1380813953488372
10,0,gauss,1,0.5,1,0.01091609589041096
10,1,gauss,1,0.5,1,0.16672794117647058
10,2,gauss,1,0.5,1,0.15680803571428573
10,3,gauss,1,0.5,1,0.16450892857142857
10,4,gauss,1,0.5,1,0.13851351351351351
10,5,gauss,1,0.5,1,0.11134868421052632
10,6,gauss,1,0.5,1,0.15294894366197184
10,7,gauss,1,0.5,1,0.14561631944444445
10,8,gauss,1,0.5,1,0.13541666666666666
10,9,gauss,1,0.5,1,0.11954941860465117
11,0,gauss,1,0.5,1,0.02011986301369863
11,1,gauss,1,0.5,1,0.13878676470588236
11,2,gauss,1,0.5,1,0.12890625
11,3,gauss,1,0.5,1,0.18571428571428572
11,4,gauss,1,0.5,1,0.12162162162162163
11,5,gauss,1,0.5,1,0.11365131578947368
11,6,gauss,1,0.5,1,0.15779049295774647
11,7,gauss,1,0.5,1,0.1345486111111111
11,8,gauss,1,0.5,1,0.11908143939393939
11,9,gauss,1,0.5,1,0.13244912790697674
12,0,gauss,1,0.5,1,0.0025684931506849314
12,1,gauss,1,0.5,1,0.17261029411764706
12,2,gauss,1,0.5,1,0.1402529761904762
12,3,gauss,1,0.5,1,0.18236607142857142
12,4,gauss,1,0.5,1,0.12373310810810811
12,5,gauss,1,0.5,1,0.121875
12,6,gauss,1,0.5,1,0.1679137323943662
12,7,gauss,1,0.5,1,0.13780381944444445
12,8,gauss,1,0.5,1,0.12736742424242425
12,9,gauss,1,0.5,1,0.13117732558139536
13,0,gauss,1,0.5,1,0.00898972602739726
13,1,gauss,1,0.5,1,0.1454044117647059
13,2,gauss,1,0.5,1,0.14136904761904762
13,3,gauss,1,0.5,1,0.18973214285714285
13,4,gauss,1,0.5,1,0.11951013513513513
13,5,gauss,1,0.5,1,0.13338815789473685
13,6,gauss,1,0.5,1,0.14964788732394366
13,7,gauss,1,0.5,1,0.1484375
13,8,gauss,1,0.5,1,0.12357954545454546
13,9,gauss,1,0.5,1,0.12790697674418605
14,0,gauss,1,0.5,1,0.011344178082191781
14,1,gauss,1,0.5,1,0.17481617647058822
14,2,gauss,1,0.5,1,0.14992559523809523
14,3,gauss,1,0.5,1,0.17388392857142856
14,4,gauss,1,0.5,1,0.13492398648648649
14,5,gauss,1,0.5,1,0.11710526315789474
14,6,gauss,1,0.5,1,0.16835387323943662
14,7,gauss,1,0.5,1,0.14908854166666666
14,8,gauss,1,0.5,1,0.12713068181818182
14,9,gauss,1,0.5,1,0.13880813953488372
15,0,gauss,1,0.5,1,0.018407534246575343
15,1,gauss,1,0.5,1,0.17996323529411765
15,2,gauss,1,0.5,1,0.15308779761904762
15,3,gauss,1,0.5,1,0.16651785714285713
15,4,gauss,1,0.5,1,0.1171875
15,5,gauss,1,0.5,1,0.12927631578947368
15,6,gauss,1,0.5,1,0.1639524647887324
15,7,gauss,1,0.5,1,0.15147569444444445
15,8,gauss,1,0.5,1,0.12428977272727272
15,9,gauss,1,0.5,1,0.13444767441860464
16,0,gauss,1,0.5,1,0.006421232876712328
16,1,gauss,1,0.5,1,0.1775735294117647
16,2,gauss,1,0.5,1,0.15848214285714285
16,3,gauss,1,0.5,1,0.16316964285714286
16,4,gauss,1,0.5,1,0.12077702702702703
16,5,gauss,1,0.5,1,0.11842105263157894
16,6,gauss,1,0.5,1,0.1542693661971831
16,7,gauss,1,0.5,1,0.1469184027777778
16,8,gauss,1,0.5,1,0.12736742424242425
16,9,gauss,1,0.5,1,0.13045058139534885
17,0,gauss,1,0.5,1,0.02054794520547945
17,1,gauss,1,0.5,1,0.16599264705882352
17,2,gauss,1,0.5,1,0.1800595238095238
17,3,gauss,1,0.5,1,0.175
17,4,gauss,1,0.5,1,0.12774493243243243
17,5,gauss,1,0.5,1,0.11759868421052631
17,6,gauss,1,0.5,1,0.14612676056338028
17,7,gauss,1,0.5,1,0.1538628472222222
17,8,gauss,1,0.5,1,0.13541666666666666
17,9,gauss,1,0.5,1,0.1458938953488372
18,0,gauss,1,0.5,1,0.011986301369863013
18,1,gauss,1,0.5,1,0.1827205882352941
18,2,gauss,1,0.5,1,0.1722470238095238
18,3,gauss,1,0.5,1,0.17566964285714284
18,4,gauss,1,0.5,1,0.12964527027027026
18,5,gauss,1,0.5,1,0.14095394736842104
18,6,gauss,1,0.5,1,0.16637323943661972
18,7,gauss,1,0.5,1,0.1655815972222222
18,8,gauss,1,0.5,1,0.12381628787878787
18,9,gauss,1,0.5,1,0.14444040697674418
19,0,gauss,1,0.5,1,0.023116438356164382
19,1,gauss,1,0.5,1,0.1943014705882353
19,2,gauss,1,0.5,1,0.16666666666666666
19,3,gauss,1,0.5,1,0.17366071428571428
19,4,gauss,1,0.5,1,0.13956925675675674
19,5,gauss,1,0.5,1,0.1355263157894737
19,6,gauss,1,0.5,1,0.18970070422535212
19,7,gauss,1,0.5,1,0.1716579861111111
19,8,gauss,1,0.5,1,0.1415719696969697
19,9,gauss,1,0.5,1,0.1582485465116279
20,0,gauss,1,0.5,1,0.012200342465753425
20,1,gauss,1,0.5,1,0.16231617647058824
20,2,gauss,1,0.5,1,0.19587053571428573
20,3,gauss,1,0.5,1,0.1627232142857143
20,4,gauss,1,0.5,1,0.13217905405405406
20,5,gauss,1,0.5,1,0.12894736842105264
20,6,gauss,1,0.5,1,0.15977112676056338
20,7,gauss,1,0.5,1,0.1579861111111111
20,8,gauss,1,0.5,1,0.14891098484848486
20,9,gauss,1,0.5,1,0.14153343023255813
21,0,gauss,1,0.5,1,0.007919520547945206
21,1,gauss,1,0.5,1,0.17169117647058824
21,2,gauss,1,0.5,1,0.18768601190476192
21,3,gauss,1,0.5,1,0.18370535714285716
21,4,gauss,1,0.5,1,0.13682432432432431
21,5,gauss,1,0.5,1,0.1337171052631579
21,6,gauss,1,0.5,1,0.16901408450704225
21,7,gauss,1,0.5,1,0.1482204861111111
21,8,gauss,1,0.5,1,0.1356534090909091
21,9,gauss,1,0.5,1,0.1433502906976744
22,0,gauss,1,0.5,1,0.016909246575342467
22,1,gauss,1,0.5,1,0.1536764705882353
22,2,gauss,1,0.5,1,0.17782738095238096
22,3,gauss,1,0.5,1,0.18370535714285716
22,4,gauss,1,0.5,1,0.13154560810810811
22,5,gauss,1,0.5,1,0.14259868421052632
22,6,gauss,1,0.5,1,0.18243838028169015
22,7,gauss,1,0.5,1,0.1625434027777778
22,8,gauss,1,0.5,1,0.13802083333333334
22,9,gauss,1,0.5,1,0.15661337209302326
23,0,gauss,1,0.5,1,0.027611301369863013
23,1,gauss,1,0.5,1,0.16746323529411763
23,2,gauss,1,0.5,1,0.16499255952380953
23,3,gauss,1,0.5,1,0.18973214285714285
23,4,gauss,1,0.5,1,0.13407939189189189
23,5,gauss,1,0.5,1,0.12335526315789473
23,6,gauss,1,0.5,1,0.17451584507042253
23,7,gauss,1,0.5,1,0.1794704861111111
23,8,gauss,1,0.5,1,0.13068181818181818
23,9,gauss,1,0.5,1,0.1464389534883721
24,0,gauss,1,0.5,1,0.005779109589041096
24,1,gauss,1,0.5,1,0.18106617647058823
24,2,gauss,1,0.5,1,0.16127232142857142
24,3,gauss,1,0.5,1,0.19709821428571428
24,4,gauss,1,0.5,1,0.15139358108108109
24,5,gauss,1,0.5,1,0.13141447368421053
24,6,gauss,1,0.5,1,0.17231514084507044
24,7,gauss,1,0.5,1,0.1716579861111111
24,8,gauss,1,0.5,1,0.13494318181818182
24,9,gauss,1,0.5,1,0.14425872093023256
25,0,gauss,1,0.5,1,0.012200342465753425
25,1,gauss,1,0.5,1,0.18198529411764705
25,2,gauss,1,0.5,1,0.18266369047619047
25,3,gauss,1,0.5,1,0.2044642857142857
25,4,gauss,1,0.5,1,0.14041385135135134
25,5,gauss,1,0.5,1,0.14703947368421053
25,6,gauss,1,0.5,1,0.1855193661971831
25,7,gauss,1,0.5,1,0.1640625
25,8,gauss,1,0.5,1,0.1396780303030303
25,9,gauss,1,0.5,1,0.14371366279069767
26,0,gauss,1,0.5,1,0.00877568493150685
26,1,gauss,1,0.5,1,0.18768382352941176
26,2,gauss,1,0.5,1,0.16276041666666666
26,3,gauss,1,0.5,1,0.19352678571428572
26,4,gauss,1,0.5,1,0.13217905405405406
26,5,gauss,1,0.5,1,0.13832236842105264
26,6,gauss,1,0.5,1,0.1817781690140845
26,7,gauss,1,0.5,1,0.17881944444444445
26,8,gauss,1,0.5,1,0.15293560606060605
26,9,gauss,1,0.5,1,0.15534156976744187
27,0,gauss,1,0.5,1,0.024186643835616438
27,1,gauss,1,0.5,1,0.18841911764705882
27,2,gauss,1,0.5,1,0.18731398809523808
27,3,gauss,1,0.5,1,0.19308035714285715
27,4,gauss,1,0.5,1,0.15054898648648649
27,5,gauss,1,0.5,1,0.15328947368421053
27,6,gauss,1,0.5,1,0.18441901408450703
27,7,gauss,1,0.5,1,0.1603732638888889
27,8,gauss,1,0.5,1,0.14133522727272727
27,9,gauss,1,0.5,1,0.1607921511627907
28,0,gauss,1,0.5,1,0.009631849315068493
28,1,gauss,1,0.5,1,0.1860294117647059
28,2,gauss,1,0.5,1,0.16573660714285715
28,3,gauss,1,0.5,1,0.19107142857142856
28,4,gauss,1,0.5,1,0.16026182432432431
28,5,gauss,1,0.5,1,0.14375
28,6,gauss,1,0.5,1,0.1813380281690141
28,7,gauss,1,0.5,1,0.1547309027777778
28,8,gauss,1,0.5,1,0.14488636363636365
28,9,gauss,1,0.5,1,0.1511627906976744
29,0,gauss,1,0.5,1,0.025684931506849314
29,1,gauss,1,0.5,1,0.1832720588235294
29,2,gauss,1,0.5,1,0.16555059523809523
29,3,gauss,1,0.5,1,0.17120535714285715
29,4,gauss,1,0.5,1,0.14379222972972974
29,5,gauss,1,0.5,1,0.14819078947368422
29,6,gauss,1,0.5,1,0.1813380281690141
29,7,gauss,1,0.5,1,0.1657986111111111
29,8,gauss,1,0.5,1,0.1356534090909091
29,9,gauss,1,0.5,1,0.15316133720930233
30,0,gauss,1,0.5,1,0.025256849315068493
30,1,gauss,1,0.5,1,0.1900735294117647
30,2,gauss,1,0.5,1,0.16871279761904762
30,3,gauss,1,0.5,1,0.1890625
30,4,gauss,1,0.5,1,0.14864864864864866
30,5,gauss,1,0.5,1,0.14226973684210525
30,6,gauss,1,0.5,1,0.1736355633802817
30,7,gauss,1,0.5,1,0.1740451388888889
30,8,gauss,1,0.5,1,0.1474905303030303
30,9,gauss,1,0.5,1,0.15479651162790697
31,0,gauss,1,0.5,1,0.011344178082191781
31,1,gauss,1,0.5,1,0.18768382352941176
31,2,gauss,1,0.5,1,0.17912946428571427
31,3,gauss,1,0.5,1,0.19107142857142856
31,4,gauss,1,0.5,1,0.14189189189189189
31,5,gauss,1,0.5,1,0.14901315789473685
31,6,gauss,1,0.5,1,0.17451584507042253
31,7,gauss,1,0.5,1,0.1818576388888889
31,8,gauss,1,0.5,1,0.14109848484848486
31,9,gauss,1,0.5,1,0.1504360465116279
32,0,gauss,1,0.5,1,0.004280821917808219
32,1,gauss,1,0.5,1,0.18161764705882352
32,2,gauss,1,0.5,1,0.17950148809523808
32,3,gauss,1,0.5,1,0.1828125
32,4,gauss,1,0.5,1,0.1467483108108108
32,5,gauss,1,0.5,1,0.1424342105263158
32,6,gauss,1,0.5,1,0.19036091549295775
32,7,gauss,1,0.5,1,0.1820746527777778
32,8,gauss,1,0.5,1,0.14393939393939395
32,9,gauss,1,0.5,1,0.15679505813953487
33,0,gauss,1,0.5,1,0.003638698630136986
33,1,gauss,1,0.5,1,0.18308823529411763
33,2,gauss,1,0.5,1,0.18545386904761904
