round,attack,seed,alpha,num_byzantine,test_accuracy
1,gauss,1,0.5,1,0.0105
2,gauss,1,0.5,1,0.0177
3,gauss,1,0.5,1,0.0422
4,gauss,1,0.5,1,0.0508
5,gauss,1,0.5,1,0.0756
6,gauss,1,0.5,1,0.0155
7,gauss,1,0.5,1,0.018
8,gauss,1,0.5,1,0.0217
9,gauss,1,0.5,1,0.0254
10,gauss,1,0.5,1,0.0334
11,gauss,1,0.5,1,0.0334
12,gauss,1,0.5,1,0.0352
13,gauss,1,0.5,1,0.0375
14,gauss,1,0.5,1,0.0318
15,gauss,1,0.5,1,0.036
16,gauss,1,0.5,1,0.0436
17,gauss,1,0.5,1,0.0429
18,gauss,1,0.5,1,0.041
19,gauss,1,0.5,1,0.047
20,gauss,1,0.5,1,0.0485
21,gauss,1,0.5,1,0.0414
22,gauss,1,0.5,1,0.0524
23,gauss,1,0.5,1,0.0514
24,gauss,1,0.5,1,0.0526
25,gauss,1,0.5,1,0.0592
26,gauss,1,0.5,1,0.0514
27,gauss,1,0.5,1,0.0582
28,gauss,1,0.5,1,0.0597
29,gauss,1,0.5,1,0.0581
30,gauss,1,0.5,1,0.0643
31,gauss,1,0.5,1,0.0568
32,gauss,1,0.5,1,0.0632
33,gauss,1,0.5,1,0.0626
34,gauss,1,0.5,1,0.0656
35,gauss,1,0.5,1,0.0605
36,gauss,1,0.5,1,0.0676
37,gauss,1,0.5,1,0.0711
38,gauss,1,0.5,1,0.0607
39,gauss,1,0.5,1,0.07
40,gauss,1,0.5,1,0.0824
41,gauss,1,0.5,1,0.0734
42,gauss,1,0.5,1,0.077
43,gauss,1,0.5,1,0.0662
44,gauss,1,0.5,1,0.0685
45,gauss,1,0.5,1,0.0654
46,gauss,1,0.5,1,0.0728
47,gauss,1,0.5,1,0.0669
48,gauss,1,0.5,1,0.074
49,gauss,1,0.5,1,0.068
50,gauss,1,0.5,1,0.0794
51,gauss,1,0.5,1,0.0704
52,gauss,1,0.5,1,0.0751
53,gauss,1,0.5,1,0.0765
54,gauss,1,0.5,1,0.0752
55,gauss,1,0.5,1,0.0778
56,gauss,1,0.5,1,0.0708
57,gauss,1,0.5,1,0.0762
58,gauss,1,0.5,1,0.0805
59,gauss,1,0.5,1,0.0877
60,gauss,1,0.5,1,0.0749
61,gauss,1,0.5,1,0.0865
62,gauss,1,0.5,1,0.0789
63,gauss,1,0.5,1,0.0777
64,gauss,1,0.5,1,0.0799
65,gauss,1,0.5,1,0.0868
66,gauss,1,0.5,1,0.0823
67,gauss,1,0.5,1,0.0748
68,gauss,1,0.5,1,0.0864
69,gauss,1,0.5,1,0.0826
70,gauss,1,0.5,1,0.0829
71,gauss,1,0.5,1,0.0844
72,gauss,1,0.5,1,0.0885
73,gauss,1,0.5,1,0.0846
74,gauss,1,0.5,1,0.0843
75,gauss,1,0.5,1,0.0826
76,gauss,1,0.5,1,0.0879
77,gauss,1,0.5,1,0.0876
78,gauss,1,0.5,1,0.0835
79,gauss,1,0.5,1,0.0783
80,gauss,1,0.5,1,0.0811
81,gauss,1,0.5,1,0.0885
82,gauss,1,0.5,1,0.0905
83,gauss,1,0.5,1,0.0809
84,gauss,1,0.5,1,0.0914
85,gauss,1,0.5,1,0.0788
86,gauss,1,0.5,1,0.08
87,gauss,1,0.5,1,0.079
88,gauss,1,0.5,1,0.0849
89,gauss,1,0.5,1,0.0841
90,gauss,1,0.5,1,0.082
91,gauss,1,0.5,1,0.0842
92,gauss,1,0.5,1,0.0869
93,gauss,1,0.5,1,0.0926
94,gauss,1,0.5,1,0.086
95,gauss,1,0.5,1,0.0897
96,gauss,1,0.5,1,0.086
97,gauss,1,0.5,1,0.0858
98,gauss,1,0.5,1,0.0881
99,gauss,1,0.5,1,0.0781
100,gauss,1,0.5,1,0.0783
