round,attack,seed,alpha,num_byzantine,test_accuracy
1,gaussian,2,0.1,1,0.0128
2,gaussian,2,0.1,1,0.0178
3,gaussian,2,0.1,1,0.0344
4,gaussian,2,0.1,1,0.0471
5,gaussian,2,0.1,1,0.0614
6,gaussian,2,0.1,1,0.0111
7,gaussian,2,0.1,1,0.0135
8,gaussian,2,0.1,1,0.0149
9,gaussian,2,0.1,1,0.0219
10,gaussian,2,0.1,1,0.0172
11,gaussian,2,0.1,1,0.0236
12,gaussian,2,0.1,1,0.0191
13,gaussian,2,0.1,1,0.0234
14,gaussian,2,0.1,1,0.0261
15,gaussian,2,0.1,1,0.0227
16,gaussian,2,0.1,1,0.0238
17,gaussian,2,0.1,1,0.0266
18,gaussian,2,0.1,1,0.0293
19,gaussian,2,0.1,1,0.0303
20,gaussian,2,0.1,1,0.0313
21,gaussian,2,0.1,1,0.0304
22,gaussian,2,0.1,1,0.0408
23,gaussian,2,0.1,1,0.0379
24,gaussian,2,0.1,1,0.0415
25,gaussian,2,0.1,1,0.0451
26,gaussian,2,0.1,1,0.0452
27,gaussian,2,0.1,1,0.0432
28,gaussian,2,0.1,1,0.0423
29,gaussian,2,0.1,1,0.0378
30,gaussian,2,0.1,1,0.0411
31,gaussian,2,0.1,1,0.0375
32,gaussian,2,0.1,1,0.0357
33,gaussian,2,0.1,1,0.0399
34,gaussian,2,0.1,1,0.0506
35,gaussian,2,0.1,1,0.0551
36,gaussian,2,0.1,1,0.0519
37,gaussian,2,0.1,1,0.0545
38,gaussian,2,0.1,1,0.0464
39,gaussian,2,0.1,1,0.052
40,gaussian,2,0.1,1,0.0493
41,gaussian,2,0.1,1,0.0581
42,gaussian,2,0.1,1,0.0469
43,gaussian,2,0.1,1,0.0466
44,gaussian,2,0.1,1,0.0567
45,gaussian,2,0.1,1,0.0528
46,gaussian,2,0.1,1,0.05
47,gaussian,2,0.1,1,0.0566
48,gaussian,2,0.1,1,0.0597
49,gaussian,2,0.1,1,0.0569
50,gaussian,2,0.1,1,0.0548
51,gaussian,2,0.1,1,0.0545
52,gaussian,2,0.1,1,0.0581
53,gaussian,2,0.1,1,0.0473
54,gaussian,2,0.1,1,0.0519
55,gaussian,2,0.1,1,0.0502
56,gaussian,2,0.1,1,0.0547
57,gaussian,2,0.1,1,0.0517
58,gaussian,2,0.1,1,0.0611
59,gaussian,2,0.1,1,0.0641
60,gaussian,2,0.1,1,0.062
61,gaussian,2,0.1,1,0.0655
62,gaussian,2,0.1,1,0.0586
63,gaussian,2,0.1,1,0.0563
64,gaussian,2,0.1,1,0.0647
65,gaussian,2,0.1,1,0.0612
66,gaussian,2,0.1,1,0.0639
67,gaussian,2,0.1,1,0.0688
68,gaussian,2,0.1,1,0.0559
69,gaussian,2,0.1,1,0.0707
70,gaussian,2,0.1,1,0.0643
71,gaussian,2,0.1,1,0.069
72,gaussian,2,0.1,1,0.0663
73,gaussian,2,0.1,1,0.0619
74,gaussian,2,0.1,1,0.0561
75,gaussian,2,0.1,1,0.0593
76,gaussian,2,0.1,1,0.0569
77,gaussian,2,0.1,1,0.0737
78,gaussian,2,0.1,1,0.0743
79,gaussian,2,0.1,1,0.0561
80,gaussian,2,0.1,1,0.0619
81,gaussian,2,0.1,1,0.0627
82,gaussian,2,0.1,1,0.0649
83,gaussian,2,0.1,1,0.0691
84,gaussian,2,0.1,1,0.0665
85,gaussian,2,0.1,1,0.0664
86,gaussian,2,0.1,1,0.0743
87,gaussian,2,0.1,1,0.0623
88,gaussian,2,0.1,1,0.0611
89,gaussian,2,0.1,1,0.0628
90,gaussian,2,0.1,1,0.0633
91,gaussian,2,0.1,1,0.0705
92,gaussian,2,0.1,1,0.0592
93,gaussian,2,0.1,1,0.0658
94,gaussian,2,0.1,1,0.0703
95,gaussian,2,0.1,1,0.0636
96,gaussian,2,0.1,1,0.0637
97,gaussian,2,0.1,1,0.0622
98,gaussian,2,0.1,1,0.0667
99,gaussian,2,0.1,1,0.0671
100,gaussian,2,0.1,1,0.0638
