round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,gaussian,2,0.1,3,0.21520618556701032
1,1,gaussian,2,0.1,3,0.38263888888888886
1,2,gaussian,2,0.1,3,0.1532315340909091
1,3,gaussian,2,0.1,3,0.18363970588235295
1,4,gaussian,2,0.1,3,0.14440524193548387
1,5,gaussian,2,0.1,3,0.20339439655172414
1,6,gaussian,2,0.1,3,0.1943181818181818
1,7,gaussian,2,0.1,3,0.23337339743589744
1,8,gaussian,2,0.1,3,0.20715725806451613
1,9,gaussian,2,0.1,3,0.22752808988764045
2,0,gaussian,2,0.1,3,0.24323453608247422
2,1,gaussian,2,0.1,3,0.37430555555555556
2,2,gaussian,2,0.1,3,0.18288352272727273
2,3,gaussian,2,0.1,3,0.21378676470588234
2,4,gaussian,2,0.1,3,0.22379032258064516
2,5,gaussian,2,0.1,3,0.2279094827586207
2,6,gaussian,2,0.1,3,0.24147727272727273
2,7,gaussian,2,0.1,3,0.2389823717948718
2,8,gaussian,2,0.1,3,0.28830645161290325
2,9,gaussian,2,0.1,3,0.257373595505618
3,0,gaussian,2,0.1,3,0.25902061855670105
3,1,gaussian,2,0.1,3,0.3472222222222222
3,2,gaussian,2,0.1,3,0.23650568181818182
3,3,gaussian,2,0.1,3,0.22058823529411764
3,4,gaussian,2,0.1,3,0.2573084677419355
3,5,gaussian,2,0.1,3,0.2257543103448276
3,6,gaussian,2,0.1,3,0.2909090909090909
3,7,gaussian,2,0.1,3,0.2792467948717949
3,8,gaussian,2,0.1,3,0.34475806451612906
3,9,gaussian,2,0.1,3,0.2612359550561798
4,0,gaussian,2,0.1,3,0.2543492268041237
4,1,gaussian,2,0.1,3,0.36493055555555554
4,2,gaussian,2,0.1,3,0.21111505681818182
4,3,gaussian,2,0.1,3,0.2400735294117647
4,4,gaussian,2,0.1,3,0.2527721774193548
4,5,gaussian,2,0.1,3,0.2023168103448276
4,6,gaussian,2,0.1,3,0.23664772727272726
4,7,gaussian,2,0.1,3,0.3233173076923077
4,8,gaussian,2,0.1,3,0.3470262096774194
4,9,gaussian,2,0.1,3,0.27861657303370785
5,0,gaussian,2,0.1,3,0.27851159793814434
5,1,gaussian,2,0.1,3,0.3753472222222222
5,2,gaussian,2,0.1,3,0.21022727272727273
5,3,gaussian,2,0.1,3,0.23529411764705882
5,4,gaussian,2,0.1,3,0.24546370967741934
5,5,gaussian,2,0.1,3,0.27532327586206895
5,6,gaussian,2,0.1,3,0.28863636363636364
5,7,gaussian,2,0.1,3,0.3269230769230769
