round,attack,seed,alpha,num_byzantine,test_accuracy
1,gaussian,1,1,1,0.0135
2,gaussian,1,1,1,0.0162
3,gaussian,1,1,1,0.0375
4,gaussian,1,1,1,0.0615
5,gaussian,1,1,1,0.081
6,gaussian,1,1,1,0.0155
7,gaussian,1,1,1,0.0192
8,gaussian,1,1,1,0.0228
9,gaussian,1,1,1,0.0202
10,gaussian,1,1,1,0.0348
11,gaussian,1,1,1,0.0335
12,gaussian,1,1,1,0.0344
13,gaussian,1,1,1,0.0386
14,gaussian,1,1,1,0.037
15,gaussian,1,1,1,0.0444
16,gaussian,1,1,1,0.0406
17,gaussian,1,1,1,0.0572
18,gaussian,1,1,1,0.0558
19,gaussian,1,1,1,0.0504
20,gaussian,1,1,1,0.058
21,gaussian,1,1,1,0.0598
22,gaussian,1,1,1,0.0616
23,gaussian,1,1,1,0.0603
24,gaussian,1,1,1,0.0638
25,gaussian,1,1,1,0.0639
26,gaussian,1,1,1,0.0529
27,gaussian,1,1,1,0.068
28,gaussian,1,1,1,0.0695
29,gaussian,1,1,1,0.0634
30,gaussian,1,1,1,0.0724
31,gaussian,1,1,1,0.0587
32,gaussian,1,1,1,0.0668
33,gaussian,1,1,1,0.0669
34,gaussian,1,1,1,0.0757
35,gaussian,1,1,1,0.0781
36,gaussian,1,1,1,0.0756
37,gaussian,1,1,1,0.0809
38,gaussian,1,1,1,0.0838
39,gaussian,1,1,1,0.0779
40,gaussian,1,1,1,0.0818
41,gaussian,1,1,1,0.0785
42,gaussian,1,1,1,0.0818
43,gaussian,1,1,1,0.0806
44,gaussian,1,1,1,0.0839
45,gaussian,1,1,1,0.0785
46,gaussian,1,1,1,0.0726
47,gaussian,1,1,1,0.0799
48,gaussian,1,1,1,0.0864
49,gaussian,1,1,1,0.0844
50,gaussian,1,1,1,0.086
51,gaussian,1,1,1,0.084
52,gaussian,1,1,1,0.0822
53,gaussian,1,1,1,0.0812
54,gaussian,1,1,1,0.0834
55,gaussian,1,1,1,0.0728
56,gaussian,1,1,1,0.0837
57,gaussian,1,1,1,0.0926
58,gaussian,1,1,1,0.0891
59,gaussian,1,1,1,0.0983
60,gaussian,1,1,1,0.0955
61,gaussian,1,1,1,0.0961
62,gaussian,1,1,1,0.0885
63,gaussian,1,1,1,0.0914
64,gaussian,1,1,1,0.0969
65,gaussian,1,1,1,0.093
66,gaussian,1,1,1,0.0898
67,gaussian,1,1,1,0.084
68,gaussian,1,1,1,0.0945
69,gaussian,1,1,1,0.0884
70,gaussian,1,1,1,0.0973
71,gaussian,1,1,1,0.0793
72,gaussian,1,1,1,0.0934
73,gaussian,1,1,1,0.0822
74,gaussian,1,1,1,0.0976
75,gaussian,1,1,1,0.0924
76,gaussian,1,1,1,0.0997
77,gaussian,1,1,1,0.0972
78,gaussian,1,1,1,0.0971
79,gaussian,1,1,1,0.0986
80,gaussian,1,1,1,0.1059
81,gaussian,1,1,1,0.1009
82,gaussian,1,1,1,0.1038
83,gaussian,1,1,1,0.1004
84,gaussian,1,1,1,0.092
85,gaussian,1,1,1,0.093
86,gaussian,1,1,1,0.1018
87,gaussian,1,1,1,0.0989
88,gaussian,1,1,1,0.1014
89,gaussian,1,1,1,0.0977
90,gaussian,1,1,1,0.0986
91,gaussian,1,1,1,0.0959
92,gaussian,1,1,1,0.1078
93,gaussian,1,1,1,0.1057
94,gaussian,1,1,1,0.0977
95,gaussian,1,1,1,0.0911
96,gaussian,1,1,1,0.0878
97,gaussian,1,1,1,0.0983
98,gaussian,1,1,1,0.1032
99,gaussian,1,1,1,0.0918
100,gaussian,1,1,1,0.1052
