round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,gaussian,2,1,3,0.112060546875
1,1,gaussian,2,1,3,0.09466911764705882
1,2,gaussian,2,1,3,0.07482638888888889
1,3,gaussian,2,1,3,0.05386029411764706
1,4,gaussian,2,1,3,0.06228885135135135
1,5,gaussian,2,1,3,0.07283653846153847
1,6,gaussian,2,1,3,0.06468023255813954
1,7,gaussian,2,1,3,0.08729166666666667
1,8,gaussian,2,1,3,0.09050324675324675
1,9,gaussian,2,1,3,0.05797697368421053
2,0,gaussian,2,1,3,0.113037109375
2,1,gaussian,2,1,3,0.11176470588235295
2,2,gaussian,2,1,3,0.10555555555555556
2,3,gaussian,2,1,3,0.0713235294117647
2,4,gaussian,2,1,3,0.07474662162162163
2,5,gaussian,2,1,3,0.10528846153846154
2,6,gaussian,2,1,3,0.08521075581395349
2,7,gaussian,2,1,3,0.10875
2,8,gaussian,2,1,3,0.13433441558441558
2,9,gaussian,2,1,3,0.09745065789473684
3,0,gaussian,2,1,3,0.136962890625
3,1,gaussian,2,1,3,0.11985294117647059
3,2,gaussian,2,1,3,0.10486111111111111
3,3,gaussian,2,1,3,0.08897058823529412
3,4,gaussian,2,1,3,0.1176097972972973
3,5,gaussian,2,1,3,0.09182692307692308
3,6,gaussian,2,1,3,0.09011627906976744
3,7,gaussian,2,1,3,0.12791666666666668
3,8,gaussian,2,1,3,0.10917207792207792
3,9,gaussian,2,1,3,0.08285361842105263
4,0,gaussian,2,1,3,0.14111328125
4,1,gaussian,2,1,3,0.10863970588235294
4,2,gaussian,2,1,3,0.12899305555555557
4,3,gaussian,2,1,3,0.10551470588235294
4,4,gaussian,2,1,3,0.1176097972972973
4,5,gaussian,2,1,3,0.12908653846153847
4,6,gaussian,2,1,3,0.11028343023255814
4,7,gaussian,2,1,3,0.12416666666666666
4,8,gaussian,2,1,3,0.14285714285714285
4,9,gaussian,2,1,3,0.1171875
5,0,gaussian,2,1,3,0.168212890625
5,1,gaussian,2,1,3,0.14393382352941175
5,2,gaussian,2,1,3,0.10486111111111111
5,3,gaussian,2,1,3,0.10514705882352941
5,4,gaussian,2,1,3,0.12352195945945946
5,5,gaussian,2,1,3,0.14615384615384616
5,6,gaussian,2,1,3,0.11755087209302326
5,7,gaussian,2,1,3,0.14270833333333333
5,8,gaussian,2,1,3,0.16254058441558442
5,9,gaussian,2,1,3,0.12006578947368421
6,0,gaussian,2,1,3,0.002685546875
6,1,gaussian,2,1,3,0.00625
6,2,gaussian,2,1,3,0.0046875
6,3,gaussian,2,1,3,0.12941176470588237
6,4,gaussian,2,1,3,0.14379222972972974
6,5,gaussian,2,1,3,0.1502403846153846
6,6,gaussian,2,1,3,0.12118459302325581
6,7,gaussian,2,1,3,0.145
6,8,gaussian,2,1,3,0.13616071428571427
6,9,gaussian,2,1,3,0.13363486842105263
7,0,gaussian,2,1,3,0.0107421875
7,1,gaussian,2,1,3,0.010477941176470587
7,2,gaussian,2,1,3,0.019791666666666666
7,3,gaussian,2,1,3,0.11397058823529412
7,4,gaussian,2,1,3,0.10916385135135136
7,5,gaussian,2,1,3,0.1326923076923077
7,6,gaussian,2,1,3,0.09883720930232558
7,7,gaussian,2,1,3,0.15791666666666668
7,8,gaussian,2,1,3,0.14590097402597402
7,9,gaussian,2,1,3,0.11780427631578948
8,0,gaussian,2,1,3,0.015869140625
8,1,gaussian,2,1,3,0.002022058823529412
8,2,gaussian,2,1,3,0.015277777777777777
8,3,gaussian,2,1,3,0.09466911764705882
8,4,gaussian,2,1,3,0.1102195945945946
8,5,gaussian,2,1,3,0.10817307692307693
8,6,gaussian,2,1,3,0.09865552325581395
8,7,gaussian,2,1,3,0.135625
8,8,gaussian,2,1,3,0.12743506493506493
8,9,gaussian,2,1,3,0.1171875
9,0,gaussian,2,1,3,0.00830078125
9,1,gaussian,2,1,3,0.03786764705882353
9,2,gaussian,2,1,3,0.025868055555555554
9,3,gaussian,2,1,3,0.09191176470588236
9,4,gaussian,2,1,3,0.11528716216216216
9,5,gaussian,2,1,3,0.12115384615384615
9,6,gaussian,2,1,3,0.10065406976744186
9,7,gaussian,2,1,3,0.12416666666666666
9,8,gaussian,2,1,3,0.13818993506493507
9,9,gaussian,2,1,3,0.1157483552631579
10,0,gaussian,2,1,3,0.015869140625
10,1,gaussian,2,1,3,0.009191176470588236
10,2,gaussian,2,1,3,0.01840277777777778
10,3,gaussian,2,1,3,0.11360294117647059
10,4,gaussian,2,1,3,0.1097972972972973
10,5,gaussian,2,1,3,0.13701923076923078
10,6,gaussian,2,1,3,0.09465843023255814
10,7,gaussian,2,1,3,0.121875
10,8,gaussian,2,1,3,0.12256493506493507
10,9,gaussian,2,1,3,0.11430921052631579
11,0,gaussian,2,1,3,0.01123046875
11,1,gaussian,2,1,3,0.009558823529411765
11,2,gaussian,2,1,3,0.019270833333333334
11,3,gaussian,2,1,3,0.10643382352941176
11,4,gaussian,2,1,3,0.11908783783783784
11,5,gaussian,2,1,3,0.11322115384615385
11,6,gaussian,2,1,3,0.09792877906976744
11,7,gaussian,2,1,3,0.14791666666666667
11,8,gaussian,2,1,3,0.1515827922077922
11,9,gaussian,2,1,3,0.10834703947368421
12,0,gaussian,2,1,3,0.014892578125
12,1,gaussian,2,1,3,0.01213235294117647
12,2,gaussian,2,1,3,0.024652777777777777
12,3,gaussian,2,1,3,0.10404411764705883
12,4,gaussian,2,1,3,0.10810810810810811
12,5,gaussian,2,1,3,0.1485576923076923
12,6,gaussian,2,1,3,0.10446947674418605
12,7,gaussian,2,1,3,0.13645833333333332
12,8,gaussian,2,1,3,0.14021915584415584
12,9,gaussian,2,1,3,0.11122532894736842
13,0,gaussian,2,1,3,0.012939453125
13,1,gaussian,2,1,3,0.010477941176470587
13,2,gaussian,2,1,3,0.0140625
13,3,gaussian,2,1,3,0.10514705882352941
13,4,gaussian,2,1,3,0.10810810810810811
13,5,gaussian,2,1,3,0.11899038461538461
13,6,gaussian,2,1,3,0.09029796511627906
13,7,gaussian,2,1,3,0.13958333333333334
13,8,gaussian,2,1,3,0.12581168831168832
13,9,gaussian,2,1,3,0.11122532894736842
14,0,gaussian,2,1,3,0.0107421875
14,1,gaussian,2,1,3,0.008455882352941176
14,2,gaussian,2,1,3,0.0006944444444444445
14,3,gaussian,2,1,3,0.11213235294117647
14,4,gaussian,2,1,3,0.11993243243243243
14,5,gaussian,2,1,3,0.11826923076923077
14,6,gaussian,2,1,3,0.1068313953488372
14,7,gaussian,2,1,3,0.14375
14,8,gaussian,2,1,3,0.1231737012987013
14,9,gaussian,2,1,3,0.11348684210526316
15,0,gaussian,2,1,3,0.01171875
15,1,gaussian,2,1,3,0.011213235294117647
15,2,gaussian,2,1,3,0.017708333333333333
15,3,gaussian,2,1,3,0.09485294117647058
15,4,gaussian,2,1,3,0.10810810810810811
15,5,gaussian,2,1,3,0.11370192307692308
15,6,gaussian,2,1,3,0.0884811046511628
15,7,gaussian,2,1,3,0.15291666666666667
15,8,gaussian,2,1,3,0.14752435064935066
15,9,gaussian,2,1,3,0.1260279605263158
16,0,gaussian,2,1,3,0.016357421875
16,1,gaussian,2,1,3,0.013235294117647059
16,2,gaussian,2,1,3,0.012326388888888888
16,3,gaussian,2,1,3,0.10827205882352942
16,4,gaussian,2,1,3,0.11064189189189189
16,5,gaussian,2,1,3,0.13365384615384615
16,6,gaussian,2,1,3,0.07794331395348837
16,7,gaussian,2,1,3,0.14020833333333332
16,8,gaussian,2,1,3,0.1260146103896104
16,9,gaussian,2,1,3,0.11986019736842106
17,0,gaussian,2,1,3,0.01025390625
17,1,gaussian,2,1,3,0.02150735294117647
17,2,gaussian,2,1,3,0.015625
17,3,gaussian,2,1,3,0.11727941176470588
17,4,gaussian,2,1,3,0.11275337837837837
17,5,gaussian,2,1,3,0.12908653846153847
17,6,gaussian,2,1,3,0.09556686046511628
17,7,gaussian,2,1,3,0.13666666666666666
17,8,gaussian,2,1,3,0.14569805194805194
17,9,gaussian,2,1,3,0.11307565789473684
18,0,gaussian,2,1,3,0.012451171875
18,1,gaussian,2,1,3,0.021139705882352942
18,2,gaussian,2,1,3,0.0010416666666666667
18,3,gaussian,2,1,3,0.1025735294117647
18,4,gaussian,2,1,3,0.1167652027027027
18,5,gaussian,2,1,3,0.1326923076923077
18,6,gaussian,2,1,3,0.1081031976744186
18,7,gaussian,2,1,3,0.12625
18,8,gaussian,2,1,3,0.1546266233766234
18,9,gaussian,2,1,3,0.0951891447368421
19,0,gaussian,2,1,3,0.002685546875
19,1,gaussian,2,1,3,0.005147058823529412
19,2,gaussian,2,1,3,0.008159722222222223
19,3,gaussian,2,1,3,0.10165441176470588
19,4,gaussian,2,1,3,0.11697635135135136
19,5,gaussian,2,1,3,0.13125
19,6,gaussian,2,1,3,0.11010174418604651
19,7,gaussian,2,1,3,0.12916666666666668
19,8,gaussian,2,1,3,0.13494318181818182
19,9,gaussian,2,1,3,0.13301809210526316
20,0,gaussian,2,1,3,0.007568359375
20,1,gaussian,2,1,3,0.03602941176470588
20,2,gaussian,2,1,3,0.036284722222222225
20,3,gaussian,2,1,3,0.10772058823529412
20,4,gaussian,2,1,3,0.12373310810810811
20,5,gaussian,2,1,3,0.140625
20,6,gaussian,2,1,3,0.09756540697674419
20,7,gaussian,2,1,3,0.15104166666666666
20,8,gaussian,2,1,3,0.13920454545454544
20,9,gaussian,2,1,3,0.1317845394736842
21,0,gaussian,2,1,3,0.007568359375
21,1,gaussian,2,1,3,0.007536764705882353
21,2,gaussian,2,1,3,0.008680555555555556
21,3,gaussian,2,1,3,0.121875
21,4,gaussian,2,1,3,0.12626689189189189
21,5,gaussian,2,1,3,0.14951923076923077
21,6,gaussian,2,1,3,0.10846656976744186
21,7,gaussian,2,1,3,0.15145833333333333
21,8,gaussian,2,1,3,0.13818993506493507
21,9,gaussian,2,1,3,0.10916940789473684
22,0,gaussian,2,1,3,0.0146484375
22,1,gaussian,2,1,3,0.013970588235294118
22,2,gaussian,2,1,3,0.0036458333333333334
22,3,gaussian,2,1,3,0.11709558823529412
22,4,gaussian,2,1,3,0.12119932432432433
22,5,gaussian,2,1,3,0.15432692307692308
22,6,gaussian,2,1,3,0.1068313953488372
22,7,gaussian,2,1,3,0.150625
22,8,gaussian,2,1,3,0.14995941558441558
22,9,gaussian,2,1,3,0.12972861842105263
23,0,gaussian,2,1,3,0.008544921875
23,1,gaussian,2,1,3,0.004227941176470588
23,2,gaussian,2,1,3,0.005729166666666666
23,3,gaussian,2,1,3,0.09705882352941177
23,4,gaussian,2,1,3,0.12985641891891891
23,5,gaussian,2,1,3,0.14134615384615384
23,6,gaussian,2,1,3,0.11936773255813954
23,7,gaussian,2,1,3,0.155
23,8,gaussian,2,1,3,0.14590097402597402
23,9,gaussian,2,1,3,0.12129934210526316
24,0,gaussian,2,1,3,0.00146484375
24,1,gaussian,2,1,3,0.015625
24,2,gaussian,2,1,3,0.003125
24,3,gaussian,2,1,3,0.12334558823529412
24,4,gaussian,2,1,3,0.12183277027027027
24,5,gaussian,2,1,3,0.13870192307692308
24,6,gaussian,2,1,3,0.10846656976744186
24,7,gaussian,2,1,3,0.15
24,8,gaussian,2,1,3,0.14488636363636365
24,9,gaussian,2,1,3,0.12376644736842106
25,0,gaussian,2,1,3,0.00732421875
25,1,gaussian,2,1,3,0.004595588235294118
25,2,gaussian,2,1,3,0.007638888888888889
25,3,gaussian,2,1,3,0.12095588235294118
25,4,gaussian,2,1,3,0.13006756756756757
25,5,gaussian,2,1,3,0.14447115384615383
25,6,gaussian,2,1,3,0.09883720930232558
25,7,gaussian,2,1,3,0.15479166666666666
25,8,gaussian,2,1,3,0.16984577922077923
25,9,gaussian,2,1,3,0.1278782894736842
26,0,gaussian,2,1,3,0.0068359375
26,1,gaussian,2,1,3,0.029595588235294117
26,2,gaussian,2,1,3,0.002777777777777778
26,3,gaussian,2,1,3,0.12205882352941176
26,4,gaussian,2,1,3,0.125
26,5,gaussian,2,1,3,0.12908653846153847
26,6,gaussian,2,1,3,0.11228197674418605
26,7,gaussian,2,1,3,0.14666666666666667
26,8,gaussian,2,1,3,0.15178571428571427
26,9,gaussian,2,1,3,0.13322368421052633
27,0,gaussian,2,1,3,0.015380859375
27,1,gaussian,2,1,3,0.006617647058823529
27,2,gaussian,2,1,3,0.010590277777777778
27,3,gaussian,2,1,3,0.12683823529411764
27,4,gaussian,2,1,3,0.12246621621621621
27,5,gaussian,2,1,3,0.13870192307692308
27,6,gaussian,2,1,3,0.10719476744186046
27,7,gaussian,2,1,3,0.15
27,8,gaussian,2,1,3,0.158887987012987
27,9,gaussian,2,1,3,0.12458881578947369
28,0,gaussian,2,1,3,0.00146484375
28,1,gaussian,2,1,3,0.02426470588235294
28,2,gaussian,2,1,3,0.017013888888888887
28,3,gaussian,2,1,3,0.10441176470588236
28,4,gaussian,2,1,3,0.12309966216216216
28,5,gaussian,2,1,3,0.1451923076923077
28,6,gaussian,2,1,3,0.11537063953488372
28,7,gaussian,2,1,3,0.16458333333333333
28,8,gaussian,2,1,3,0.15137987012987014
28,9,gaussian,2,1,3,0.11924342105263158
29,0,gaussian,2,1,3,0.0224609375
29,1,gaussian,2,1,3,0.011397058823529411
29,2,gaussian,2,1,3,0.014756944444444444
29,3,gaussian,2,1,3,0.09852941176470588
29,4,gaussian,2,1,3,0.1266891891891892
29,5,gaussian,2,1,3,0.12884615384615383
29,6,gaussian,2,1,3,0.11337209302325581
29,7,gaussian,2,1,3,0.16291666666666665
29,8,gaussian,2,1,3,0.1728896103896104
29,9,gaussian,2,1,3,0.1317845394736842
30,0,gaussian,2,1,3,0.016845703125
30,1,gaussian,2,1,3,0.014705882352941176
30,2,gaussian,2,1,3,0.007465277777777778
30,3,gaussian,2,1,3,0.11102941176470588
30,4,gaussian,2,1,3,0.12690033783783783
30,5,gaussian,2,1,3,0.1360576923076923
30,6,gaussian,2,1,3,0.11028343023255814
30,7,gaussian,2,1,3,0.14395833333333333
30,8,gaussian,2,1,3,0.1461038961038961
30,9,gaussian,2,1,3,0.13055098684210525
31,0,gaussian,2,1,3,0.005859375
31,1,gaussian,2,1,3,0.004044117647058824
31,2,gaussian,2,1,3,0.027083333333333334
31,3,gaussian,2,1,3,0.11213235294117647
31,4,gaussian,2,1,3,0.13386824324324326
31,5,gaussian,2,1,3,0.1579326923076923
31,6,gaussian,2,1,3,0.10901162790697674
31,7,gaussian,2,1,3,0.15291666666666667
31,8,gaussian,2,1,3,0.16680194805194806
31,9,gaussian,2,1,3,0.12849506578947367
32,0,gaussian,2,1,3,0.01513671875
32,1,gaussian,2,1,3,0.002022058823529412
32,2,gaussian,2,1,3,0.007291666666666667
32,3,gaussian,2,1,3,0.11948529411764706
32,4,gaussian,2,1,3,0.13260135135135134
32,5,gaussian,2,1,3,0.15264423076923078
32,6,gaussian,2,1,3,0.10119912790697674
32,7,gaussian,2,1,3,0.16604166666666667
32,8,gaussian,2,1,3,0.15868506493506493
32,9,gaussian,2,1,3,0.14247532894736842
33,0,gaussian,2,1,3,0.01025390625
33,1,gaussian,2,1,3,0.01801470588235294
33,2,gaussian,2,1,3,0.010416666666666666
33,3,gaussian,2,1,3,0.11029411764705882
33,4,gaussian,2,1,3,0.1336570945945946
33,5,gaussian,2,1,3,0.14447115384615383
33,6,gaussian,2,1,3,0.1197311046511628
33,7,gaussian,2,1,3,0.148125
33,8,gaussian,2,1,3,0.1672077922077922
33,9,gaussian,2,1,3,0.13754111842105263
34,0,gaussian,2,1,3,0.00390625
34,1,gaussian,2,1,3,0.015992647058823528
34,2,gaussian,2,1,3,0.01597222222222222
34,3,gaussian,2,1,3,0.11176470588235295
34,4,gaussian,2,1,3,0.12563344594594594
34,5,gaussian,2,1,3,0.14711538461538462
34,6,gaussian,2,1,3,0.11373546511627906
34,7,gaussian,2,1,3,0.16145833333333334
34,8,gaussian,2,1,3,0.16193181818181818
34,9,gaussian,2,1,3,0.12397203947368421
35,0,gaussian,2,1,3,0.002685546875
35,1,gaussian,2,1,3,0.0055147058823529415
35,2,gaussian,2,1,3,0.010590277777777778
35,3,gaussian,2,1,3,0.11397058823529412
35,4,gaussian,2,1,3,0.12521114864864866
35,5,gaussian,2,1,3,0.14423076923076922
35,6,gaussian,2,1,3,0.11373546511627906
35,7,gaussian,2,1,3,0.14729166666666665
35,8,gaussian,2,1,3,0.15422077922077923
35,9,gaussian,2,1,3,0.15275493421052633
36,0,gaussian,2,1,3,0.006591796875
36,1,gaussian,2,1,3,0.008088235294117648
36,2,gaussian,2,1,3,0.01579861111111111
36,3,gaussian,2,1,3,0.11176470588235295
36,4,gaussian,2,1,3,0.13513513513513514
36,5,gaussian,2,1,3,0.14182692307692307
36,6,gaussian,2,1,3,0.11319040697674419
36,7,gaussian,2,1,3,0.16229166666666667
36,8,gaussian,2,1,3,0.1682224025974026
36,9,gaussian,2,1,3,0.11986019736842106
37,0,gaussian,2,1,3,0.036376953125
37,1,gaussian,2,1,3,0.016544117647058824
37,2,gaussian,2,1,3,0.0046875
37,3,gaussian,2,1,3,0.10477941176470588
37,4,gaussian,2,1,3,0.12436655405405406
37,5,gaussian,2,1,3,0.15144230769230768
37,6,gaussian,2,1,3,0.10919331395348837
37,7,gaussian,2,1,3,0.15645833333333334
37,8,gaussian,2,1,3,0.15604707792207792
37,9,gaussian,2,1,3,0.13548519736842105
38,0,gaussian,2,1,3,0.009033203125
38,1,gaussian,2,1,3,0.005147058823529412
38,2,gaussian,2,1,3,0.006944444444444444
38,3,gaussian,2,1,3,0.1130514705882353
38,4,gaussian,2,1,3,0.13323479729729729
38,5,gaussian,2,1,3,0.16466346153846154
38,6,gaussian,2,1,3,0.10446947674418605
38,7,gaussian,2,1,3,0.15541666666666668
38,8,gaussian,2,1,3,0.15969967532467533
38,9,gaussian,2,1,3,0.13486842105263158
39,0,gaussian,2,1,3,0.01123046875
39,1,gaussian,2,1,3,0.020588235294117647
39,2,gaussian,2,1,3,0.006076388888888889
39,3,gaussian,2,1,3,0.11580882352941177
39,4,gaussian,2,1,3,0.13492398648648649
39,5,gaussian,2,1,3,0.14903846153846154
39,6,gaussian,2,1,3,0.1159156976744186
39,7,gaussian,2,1,3,0.15458333333333332
39,8,gaussian,2,1,3,0.169237012987013
39,9,gaussian,2,1,3,0.12849506578947367
40,0,gaussian,2,1,3,0.00341796875
40,1,gaussian,2,1,3,0.015808823529411764
40,2,gaussian,2,1,3,0.01597222222222222
40,3,gaussian,2,1,3,0.12040441176470588
40,4,gaussian,2,1,3,0.13935810810810811
40,5,gaussian,2,1,3,0.15576923076923077
40,6,gaussian,2,1,3,0.10901162790697674
40,7,gaussian,2,1,3,0.16083333333333333
40,8,gaussian,2,1,3,0.15564123376623376
40,9,gaussian,2,1,3,0.14288651315789475
41,0,gaussian,2,1,3,0.015869140625
41,1,gaussian,2,1,3,0.016544117647058824
41,2,gaussian,2,1,3,0.024131944444444445
41,3,gaussian,2,1,3,0.10753676470588236
41,4,gaussian,2,1,3,0.13091216216216217
41,5,gaussian,2,1,3,0.15072115384615384
41,6,gaussian,2,1,3,0.12481831395348837
41,7,gaussian,2,1,3,0.168125
41,8,gaussian,2,1,3,0.15604707792207792
41,9,gaussian,2,1,3,0.12849506578947367
42,0,gaussian,2,1,3,0.010986328125
42,1,gaussian,2,1,3,0.007352941176470588
42,2,gaussian,2,1,3,0.007291666666666667
42,3,gaussian,2,1,3,0.12242647058823529
42,4,gaussian,2,1,3,0.1328125
42,5,gaussian,2,1,3,0.16322115384615385
42,6,gaussian,2,1,3,0.12227470930232558
42,7,gaussian,2,1,3,0.17645833333333333
42,8,gaussian,2,1,3,0.16659902597402598
42,9,gaussian,2,1,3,0.13013980263157895
43,0,gaussian,2,1,3,0.0185546875
43,1,gaussian,2,1,3,0.009558823529411765
43,2,gaussian,2,1,3,0.010416666666666666
43,3,gaussian,2,1,3,0.11691176470588235
43,4,gaussian,2,1,3,0.13344594594594594
43,5,gaussian,2,1,3,0.1596153846153846
43,6,gaussian,2,1,3,0.12609011627906977
43,7,gaussian,2,1,3,0.146875
43,8,gaussian,2,1,3,0.17593344155844157
43,9,gaussian,2,1,3,0.13116776315789475
44,0,gaussian,2,1,3,0.01123046875
44,1,gaussian,2,1,3,0.021323529411764706
44,2,gaussian,2,1,3,0.008680555555555556
44,3,gaussian,2,1,3,0.12022058823529412
44,4,gaussian,2,1,3,0.12943412162162163
44,5,gaussian,2,1,3,0.14134615384615384
44,6,gaussian,2,1,3,0.11428052325581395
44,7,gaussian,2,1,3,0.151875
44,8,gaussian,2,1,3,0.15969967532467533
44,9,gaussian,2,1,3,0.13980263157894737
45,0,gaussian,2,1,3,0.010986328125
45,1,gaussian,2,1,3,0.006617647058823529
45,2,gaussian,2,1,3,0.008159722222222223
45,3,gaussian,2,1,3,0.12113970588235294
45,4,gaussian,2,1,3,0.13788006756756757
45,5,gaussian,2,1,3,0.1576923076923077
45,6,gaussian,2,1,3,0.11046511627906977
45,7,gaussian,2,1,3,0.16166666666666665
45,8,gaussian,2,1,3,0.16883116883116883
45,9,gaussian,2,1,3,0.13898026315789475
46,0,gaussian,2,1,3,0.01611328125
46,1,gaussian,2,1,3,0.00625
46,2,gaussian,2,1,3,0.017013888888888887
46,3,gaussian,2,1,3,0.11176470588235295
46,4,gaussian,2,1,3,0.13048986486486486
46,5,gaussian,2,1,3,0.1579326923076923
46,6,gaussian,2,1,3,0.11773255813953488
46,7,gaussian,2,1,3,0.176875
46,8,gaussian,2,1,3,0.1609172077922078
46,9,gaussian,2,1,3,0.15008223684210525
47,0,gaussian,2,1,3,0.009765625
47,1,gaussian,2,1,3,0.011764705882352941
47,2,gaussian,2,1,3,0.019791666666666666
47,3,gaussian,2,1,3,0.12077205882352941
47,4,gaussian,2,1,3,0.14336993243243243
47,5,gaussian,2,1,3,0.1545673076923077
47,6,gaussian,2,1,3,0.11409883720930232
47,7,gaussian,2,1,3,0.16708333333333333
47,8,gaussian,2,1,3,0.1810064935064935
47,9,gaussian,2,1,3,0.14658717105263158
48,0,gaussian,2,1,3,0.013671875
48,1,gaussian,2,1,3,0.009191176470588236
48,2,gaussian,2,1,3,0.007638888888888889
48,3,gaussian,2,1,3,0.12040441176470588
48,4,gaussian,2,1,3,0.14590371621621623
48,5,gaussian,2,1,3,0.15721153846153846
48,6,gaussian,2,1,3,0.11991279069767442
48,7,gaussian,2,1,3,0.16145833333333334
48,8,gaussian,2,1,3,0.17106331168831168
48,9,gaussian,2,1,3,0.15254934210526316
49,0,gaussian,2,1,3,0.039794921875
49,1,gaussian,2,1,3,0.016727941176470588
49,2,gaussian,2,1,3,0.013020833333333334
49,3,gaussian,2,1,3,0.11488970588235294
49,4,gaussian,2,1,3,0.14315878378378377
49,5,gaussian,2,1,3,0.15576923076923077
49,6,gaussian,2,1,3,0.11518895348837209
49,7,gaussian,2,1,3,0.17020833333333332
49,8,gaussian,2,1,3,0.17755681818181818
49,9,gaussian,2,1,3,0.13918585526315788
50,0,gaussian,2,1,3,0.011962890625
50,1,gaussian,2,1,3,0.012867647058823529
50,2,gaussian,2,1,3,0.005208333333333333
50,3,gaussian,2,1,3,0.10165441176470588
50,4,gaussian,2,1,3,0.12753378378378377
50,5,gaussian,2,1,3,0.15216346153846153
50,6,gaussian,2,1,3,0.11918604651162791
50,7,gaussian,2,1,3,0.16229166666666667
50,8,gaussian,2,1,3,0.17491883116883117
50,9,gaussian,2,1,3,0.14185855263157895
51,0,gaussian,2,1,3,0.018798828125
51,1,gaussian,2,1,3,0.011764705882352941
51,2,gaussian,2,1,3,0.019270833333333334
51,3,gaussian,2,1,3,0.12279411764705882
51,4,gaussian,2,1,3,0.12816722972972974
51,5,gaussian,2,1,3,0.16442307692307692
51,6,gaussian,2,1,3,0.11573401162790697
