round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,lie,1,0.5,1,0.10059931506849315
1,1,lie,1,0.5,1,0.10349264705882352
1,2,lie,1,0.5,1,0.09635416666666667
1,3,lie,1,0.5,1,0.10357142857142858
1,4,lie,1,0.5,1,0.07981418918918919
1,5,lie,1,0.5,1,0.08453947368421053
1,6,lie,1,0.5,1,0.10431338028169014
1,7,lie,1,0.5,1,0.09136284722222222
1,8,lie,1,0.5,1,0.07954545454545454
1,9,lie,1,0.5,1,0.08902616279069768
2,0,lie,1,0.5,1,0.13356164383561644
2,1,lie,1,0.5,1,0.17113970588235294
2,2,lie,1,0.5,1,0.13113839285714285
2,3,lie,1,0.5,1,0.16339285714285715
2,4,lie,1,0.5,1,0.10029560810810811
2,5,lie,1,0.5,1,0.09111842105263158
2,6,lie,1,0.5,1,0.1192781690140845
2,7,lie,1,0.5,1,0.1506076388888889
2,8,lie,1,0.5,1,0.10203598484848485
2,9,lie,1,0.5,1,0.11773255813953488
3,0,lie,1,0.5,1,0.1500428082191781
3,1,lie,1,0.5,1,0.15551470588235294
3,2,lie,1,0.5,1,0.14750744047619047
3,3,lie,1,0.5,1,0.175
3,4,lie,1,0.5,1,0.11613175675675676
3,5,lie,1,0.5,1,0.11858552631578947
3,6,lie,1,0.5,1,0.1542693661971831
3,7,lie,1,0.5,1,0.134765625
3,8,lie,1,0.5,1,0.12334280303030302
3,9,lie,1,0.5,1,0.11900436046511628
4,0,lie,1,0.5,1,0.15560787671232876
4,1,lie,1,0.5,1,0.18290441176470587
4,2,lie,1,0.5,1,0.14546130952380953
4,3,lie,1,0.5,1,0.17544642857142856
4,4,lie,1,0.5,1,0.11549831081081081
4,5,lie,1,0.5,1,0.11661184210526315
4,6,lie,1,0.5,1,0.16703345070422534
4,7,lie,1,0.5,1,0.14952256944444445
4,8,lie,1,0.5,1,0.1103219696969697
4,9,lie,1,0.5,1,0.1224563953488372
5,0,lie,1,0.5,1,0.16267123287671234
5,1,lie,1,0.5,1,0.175
5,2,lie,1,0.5,1,0.15029761904761904
5,3,lie,1,0.5,1,0.19419642857142858
5,4,lie,1,0.5,1,0.12436655405405406
5,5,lie,1,0.5,1,0.1394736842105263
5,6,lie,1,0.5,1,0.17121478873239437
5,7,lie,1,0.5,1,0.16015625
5,8,lie,1,0.5,1,0.1278409090909091
5,9,lie,1,0.5,1,0.1640625
