round,attack,seed,alpha,num_byzantine,test_accuracy
1,lie,1,0.5,2,0.0105
2,lie,1,0.5,2,0.0177
3,lie,1,0.5,2,0.0402
4,lie,1,0.5,2,0.0563
5,lie,1,0.5,2,0.0689
6,lie,1,0.5,2,0.0621
7,lie,1,0.5,2,0.0805
8,lie,1,0.5,2,0.0961
9,lie,1,0.5,2,0.1125
10,lie,1,0.5,2,0.1141
11,lie,1,0.5,2,0.1219
12,lie,1,0.5,2,0.1432
13,lie,1,0.5,2,0.1379
14,lie,1,0.5,2,0.1561
15,lie,1,0.5,2,0.15
16,lie,1,0.5,2,0.158
17,lie,1,0.5,2,0.1709
18,lie,1,0.5,2,0.1731
19,lie,1,0.5,2,0.1822
20,lie,1,0.5,2,0.1843
21,lie,1,0.5,2,0.1971
22,lie,1,0.5,2,0.1993
23,lie,1,0.5,2,0.2059
24,lie,1,0.5,2,0.2171
25,lie,1,0.5,2,0.217
26,lie,1,0.5,2,0.2167
27,lie,1,0.5,2,0.2278
28,lie,1,0.5,2,0.2286
29,lie,1,0.5,2,0.2377
30,lie,1,0.5,2,0.2365
31,lie,1,0.5,2,0.2441
32,lie,1,0.5,2,0.2499
33,lie,1,0.5,2,0.2494
34,lie,1,0.5,2,0.2546
35,lie,1,0.5,2,0.2511
36,lie,1,0.5,2,0.2516
37,lie,1,0.5,2,0.255
38,lie,1,0.5,2,0.264
39,lie,1,0.5,2,0.266
40,lie,1,0.5,2,0.2712
41,lie,1,0.5,2,0.265
42,lie,1,0.5,2,0.2762
43,lie,1,0.5,2,0.2735
44,lie,1,0.5,2,0.2788
45,lie,1,0.5,2,0.281
46,lie,1,0.5,2,0.2798
47,lie,1,0.5,2,0.2938
48,lie,1,0.5,2,0.2863
49,lie,1,0.5,2,0.2866
50,lie,1,0.5,2,0.2903
51,lie,1,0.5,2,0.2876
52,lie,1,0.5,2,0.2953
53,lie,1,0.5,2,0.2972
54,lie,1,0.5,2,0.3034
55,lie,1,0.5,2,0.2984
56,lie,1,0.5,2,0.3055
57,lie,1,0.5,2,0.3054
58,lie,1,0.5,2,0.3074
59,lie,1,0.5,2,0.3088
60,lie,1,0.5,2,0.3109
61,lie,1,0.5,2,0.317
62,lie,1,0.5,2,0.3237
63,lie,1,0.5,2,0.3171
64,lie,1,0.5,2,0.3192
65,lie,1,0.5,2,0.3242
66,lie,1,0.5,2,0.3216
67,lie,1,0.5,2,0.3189
68,lie,1,0.5,2,0.3241
69,lie,1,0.5,2,0.3284
70,lie,1,0.5,2,0.3312
71,lie,1,0.5,2,0.3297
72,lie,1,0.5,2,0.3299
73,lie,1,0.5,2,0.3318
74,lie,1,0.5,2,0.3325
75,lie,1,0.5,2,0.3335
76,lie,1,0.5,2,0.3376
77,lie,1,0.5,2,0.3273
78,lie,1,0.5,2,0.3361
79,lie,1,0.5,2,0.3408
80,lie,1,0.5,2,0.3387
81,lie,1,0.5,2,0.345
82,lie,1,0.5,2,0.3467
83,lie,1,0.5,2,0.3389
84,lie,1,0.5,2,0.3487
85,lie,1,0.5,2,0.3468
86,lie,1,0.5,2,0.3496
87,lie,1,0.5,2,0.3511
88,lie,1,0.5,2,0.3538
89,lie,1,0.5,2,0.3553
90,lie,1,0.5,2,0.3515
91,lie,1,0.5,2,0.3541
92,lie,1,0.5,2,0.352
93,lie,1,0.5,2,0.3584
94,lie,1,0.5,2,0.3536
95,lie,1,0.5,2,0.3585
96,lie,1,0.5,2,0.3583
97,lie,1,0.5,2,0.3612
98,lie,1,0.5,2,0.3547
99,lie,1,0.5,2,0.3625
100,lie,1,0.5,2,0.3633
