round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,min_max,1,0.5,1,0.10059931506849315
1,1,min_max,1,0.5,1,0.10349264705882352
1,2,min_max,1,0.5,1,0.09635416666666667
1,3,min_max,1,0.5,1,0.10357142857142858
1,4,min_max,1,0.5,1,0.07981418918918919
1,5,min_max,1,0.5,1,0.08453947368421053
1,6,min_max,1,0.5,1,0.10431338028169014
1,7,min_max,1,0.5,1,0.09136284722222222
1,8,min_max,1,0.5,1,0.07954545454545454
1,9,min_max,1,0.5,1,0.08902616279069768
2,0,min_max,1,0.5,1,0.13356164383561644
2,1,min_max,1,0.5,1,0.17113970588235294
2,2,min_max,1,0.5,1,0.13113839285714285
2,3,min_max,1,0.5,1,0.16339285714285715
2,4,min_max,1,0.5,1,0.10029560810810811
2,5,min_max,1,0.5,1,0.09111842105263158
2,6,min_max,1,0.5,1,0.1192781690140845
2,7,min_max,1,0.5,1,0.1506076388888889
2,8,min_max,1,0.5,1,0.10203598484848485
2,9,min_max,1,0.5,1,0.11773255813953488
3,0,min_max,1,0.5,1,0.16117294520547945
3,1,min_max,1,0.5,1,0.15551470588235294
3,2,min_max,1,0.5,1,0.14750744047619047
3,3,min_max,1,0.5,1,0.175
3,4,min_max,1,0.5,1,0.11613175675675676
3,5,min_max,1,0.5,1,0.11858552631578947
3,6,min_max,1,0.5,1,0.1542693661971831
3,7,min_max,1,0.5,1,0.134765625
3,8,min_max,1,0.5,1,0.12334280303030302
3,9,min_max,1,0.5,1,0.11900436046511628
4,0,min_max,1,0.5,1,0.1643835616438356
4,1,min_max,1,0.5,1,0.18621323529411765
4,2,min_max,1,0.5,1,0.16908482142857142
4,3,min_max,1,0.5,1,0.16651785714285713
4,4,min_max,1,0.5,1,0.1024070945945946
4,5,min_max,1,0.5,1,0.1375
4,6,min_max,1,0.5,1,0.13776408450704225
4,7,min_max,1,0.5,1,0.16471354166666666
4,8,min_max,1,0.5,1,0.12665719696969696
4,9,min_max,1,0.5,1,0.12009447674418605
5,0,min_max,1,0.5,1,0.16673801369863014
5,1,min_max,1,0.5,1,0.15459558823529412
5,2,min_max,1,0.5,1,0.14732142857142858
5,3,min_max,1,0.5,1,0.18683035714285715
5,4,min_max,1,0.5,1,0.12183277027027027
5,5,min_max,1,0.5,1,0.1417763157894737
5,6,min_max,1,0.5,1,0.18882042253521128
5,7,min_max,1,0.5,1,0.1684027777777778
5,8,min_max,1,0.5,1,0.12713068181818182
5,9,min_max,1,0.5,1,0.16460755813953487
6,0,min_max,1,0.5,1,0.04922945205479452
6,1,min_max,1,0.5,1,0.1827205882352941
6,2,min_max,1,0.5,1,0.17559523809523808
6,3,min_max,1,0.5,1,0.19196428571428573
6,4,min_max,1,0.5,1,0.14273648648648649
6,5,min_max,1,0.5,1,0.15707236842105263
6,6,min_max,1,0.5,1,0.19652288732394366
6,7,min_max,1,0.5,1,0.1877170138888889
6,8,min_max,1,0.5,1,0.15080492424242425
6,9,min_max,1,0.5,1,0.16696947674418605
7,0,min_max,1,0.5,1,0.040667808219178085
7,1,min_max,1,0.5,1,0.18125
7,2,min_max,1,0.5,1,0.1597842261904762
7,3,min_max,1,0.5,1,0.1984375
7,4,min_max,1,0.5,1,0.15582770270270271
7,5,min_max,1,0.5,1,0.12960526315789472
7,6,min_max,1,0.5,1,0.1780369718309859
7,7,min_max,1,0.5,1,0.1937934027777778
7,8,min_max,1,0.5,1,0.15577651515151514
7,9,min_max,1,0.5,1,0.16696947674418605
8,0,min_max,1,0.5,1,0.0389554794520548
8,1,min_max,1,0.5,1,0.2088235294117647
8,2,min_max,1,0.5,1,0.18954613095238096
8,3,min_max,1,0.5,1,0.21361607142857142
8,4,min_max,1,0.5,1,0.15054898648648649
8,5,min_max,1,0.5,1,0.146875
8,6,min_max,1,0.5,1,0.21192781690140844
8,7,min_max,1,0.5,1,0.1812065972222222
8,8,min_max,1,0.5,1,0.16382575757575757
8,9,min_max,1,0.5,1,0.17423691860465115
9,0,min_max,1,0.5,1,0.04473458904109589
9,1,min_max,1,0.5,1,0.22371323529411766
9,2,min_max,1,0.5,1,0.19549851190476192
9,3,min_max,1,0.5,1,0.21116071428571428
9,4,min_max,1,0.5,1,0.15815033783783783
9,5,min_max,1,0.5,1,0.18848684210526315
9,6,min_max,1,0.5,1,0.22469190140845072
9,7,min_max,1,0.5,1,0.19075520833333334
9,8,min_max,1,0.5,1,0.16477272727272727
9,9,min_max,1,0.5,1,0.1849563953488372
10,0,min_max,1,0.5,1,0.03360445205479452
10,1,min_max,1,0.5,1,0.19981617647058825
10,2,min_max,1,0.5,1,0.21800595238095238
10,3,min_max,1,0.5,1,0.20647321428571427
10,4,min_max,1,0.5,1,0.16722972972972974
10,5,min_max,1,0.5,1,0.17845394736842105
10,6,min_max,1,0.5,1,0.21588908450704225
10,7,min_max,1,0.5,1,0.20811631944444445
10,8,min_max,1,0.5,1,0.17163825757575757
10,9,min_max,1,0.5,1,0.15988372093023256
11,0,min_max,1,0.5,1,0.06763698630136987
11,1,min_max,1,0.5,1,0.21066176470588235
11,2,min_max,1,0.5,1,0.21037946428571427
11,3,min_max,1,0.5,1,0.22053571428571428
11,4,min_max,1,0.5,1,0.16638513513513514
11,5,min_max,1,0.5,1,0.16513157894736843
11,6,min_max,1,0.5,1,0.2262323943661972
11,7,min_max,1,0.5,1,0.1929253472222222
11,8,min_max,1,0.5,1,0.17116477272727273
11,9,min_max,1,0.5,1,0.18604651162790697
12,0,min_max,1,0.5,1,0.05757705479452055
12,1,min_max,1,0.5,1,0.24724264705882354
12,2,min_max,1,0.5,1,0.24702380952380953
12,3,min_max,1,0.5,1,0.23125
12,4,min_max,1,0.5,1,0.18010979729729729
12,5,min_max,1,0.5,1,0.19226973684210527
12,6,min_max,1,0.5,1,0.2381161971830986
12,7,min_max,1,0.5,1,0.2280815972222222
12,8,min_max,1,0.5,1,0.18347537878787878
12,9,min_max,1,0.5,1,0.20476017441860464
13,0,min_max,1,0.5,1,0.0860445205479452
13,1,min_max,1,0.5,1,0.21213235294117647
13,2,min_max,1,0.5,1,0.22154017857142858
13,3,min_max,1,0.5,1,0.23191964285714287
13,4,min_max,1,0.5,1,0.19552364864864866
13,5,min_max,1,0.5,1,0.18125
13,6,min_max,1,0.5,1,0.2249119718309859
13,7,min_max,1,0.5,1,0.23502604166666666
13,8,min_max,1,0.5,1,0.17329545454545456
13,9,min_max,1,0.5,1,0.20657703488372092
14,0,min_max,1,0.5,1,0.06913527397260275
14,1,min_max,1,0.5,1,0.225
14,2,min_max,1,0.5,1,0.20833333333333334
14,3,min_max,1,0.5,1,0.26026785714285716
14,4,min_max,1,0.5,1,0.18876689189189189
14,5,min_max,1,0.5,1,0.17845394736842105
14,6,min_max,1,0.5,1,0.23151408450704225
14,7,min_max,1,0.5,1,0.21744791666666666
14,8,min_max,1,0.5,1,0.18915719696969696
14,9,min_max,1,0.5,1,0.21057412790697674
15,0,min_max,1,0.5,1,0.08261986301369863
15,1,min_max,1,0.5,1,0.2161764705882353
15,2,min_max,1,0.5,1,0.21800595238095238
15,3,min_max,1,0.5,1,0.2520089285714286
15,4,min_max,1,0.5,1,0.20439189189189189
15,5,min_max,1,0.5,1,0.1886513157894737
15,6,min_max,1,0.5,1,0.25858274647887325
15,7,min_max,1,0.5,1,0.23133680555555555
15,8,min_max,1,0.5,1,0.22632575757575757
15,9,min_max,1,0.5,1,0.21202761627906977
16,0,min_max,1,0.5,1,0.0841181506849315
16,1,min_max,1,0.5,1,0.24724264705882354
16,2,min_max,1,0.5,1,0.24441964285714285
16,3,min_max,1,0.5,1,0.26138392857142856
16,4,min_max,1,0.5,1,0.20502533783783783
16,5,min_max,1,0.5,1,0.22467105263157894
16,6,min_max,1,0.5,1,0.25110035211267606
16,7,min_max,1,0.5,1,0.23893229166666666
16,8,min_max,1,0.5,1,0.21756628787878787
16,9,min_max,1,0.5,1,0.22819767441860464
17,0,min_max,1,0.5,1,0.08347602739726027
17,1,min_max,1,0.5,1,0.246875
17,2,min_max,1,0.5,1,0.22284226190476192
17,3,min_max,1,0.5,1,0.2819196428571429
17,4,min_max,1,0.5,1,0.21980574324324326
17,5,min_max,1,0.5,1,0.21480263157894736
17,6,min_max,1,0.5,1,0.24075704225352113
17,7,min_max,1,0.5,1,0.2094184027777778
17,8,min_max,1,0.5,1,0.21117424242424243
17,9,min_max,1,0.5,1,0.24182412790697674
18,0,min_max,1,0.5,1,0.06999143835616438
18,1,min_max,1,0.5,1,0.27647058823529413
18,2,min_max,1,0.5,1,0.25483630952380953
18,3,min_max,1,0.5,1,0.2236607142857143
18,4,min_max,1,0.5,1,0.20206925675675674
18,5,min_max,1,0.5,1,0.2348684210526316
18,6,min_max,1,0.5,1,0.273987676056338
18,7,min_max,1,0.5,1,0.2743055555555556
18,8,min_max,1,0.5,1,0.21496212121212122
18,9,min_max,1,0.5,1,0.2449127906976744
19,0,min_max,1,0.5,1,0.11686643835616438
19,1,min_max,1,0.5,1,0.26066176470588237
19,2,min_max,1,0.5,1,0.2663690476190476
19,3,min_max,1,0.5,1,0.2935267857142857
19,4,min_max,1,0.5,1,0.23479729729729729
19,5,min_max,1,0.5,1,0.20953947368421053
19,6,min_max,1,0.5,1,0.2805897887323944
19,7,min_max,1,0.5,1,0.2638888888888889
19,8,min_max,1,0.5,1,0.2256155303030303
19,9,min_max,1,0.5,1,0.23782703488372092
20,0,min_max,1,0.5,1,0.0956763698630137
20,1,min_max,1,0.5,1,0.27591911764705884
20,2,min_max,1,0.5,1,0.27492559523809523
20,3,min_max,1,0.5,1,0.24933035714285715
20,4,min_max,1,0.5,1,0.21114864864864866
20,5,min_max,1,0.5,1,0.2118421052631579
20,6,min_max,1,0.5,1,0.2632042253521127
20,7,min_max,1,0.5,1,0.2649739583333333
20,8,min_max,1,0.5,1,0.2440814393939394
20,9,min_max,1,0.5,1,0.23001453488372092
21,0,min_max,1,0.5,1,0.11622431506849315
21,1,min_max,1,0.5,1,0.2577205882352941
21,2,min_max,1,0.5,1,0.27641369047619047
21,3,min_max,1,0.5,1,0.28125
21,4,min_max,1,0.5,1,0.22191722972972974
21,5,min_max,1,0.5,1,0.24769736842105264
21,6,min_max,1,0.5,1,0.2695862676056338
21,7,min_max,1,0.5,1,0.2645399305555556
21,8,min_max,1,0.5,1,0.22348484848484848
21,9,min_max,1,0.5,1,0.2129360465116279
22,0,min_max,1,0.5,1,0.07705479452054795
22,1,min_max,1,0.5,1,0.28051470588235294
22,2,min_max,1,0.5,1,0.2786458333333333
22,3,min_max,1,0.5,1,0.2819196428571429
22,4,min_max,1,0.5,1,0.22508445945945946
22,5,min_max,1,0.5,1,0.228125
22,6,min_max,1,0.5,1,0.2737676056338028
22,7,min_max,1,0.5,1,0.2732204861111111
22,8,min_max,1,0.5,1,0.24952651515151514
22,9,min_max,1,0.5,1,0.2527252906976744
23,0,min_max,1,0.5,1,0.0898972602739726
23,1,min_max,1,0.5,1,0.2827205882352941
23,2,min_max,1,0.5,1,0.28366815476190477
23,3,min_max,1,0.5,1,0.28236607142857145
23,4,min_max,1,0.5,1,0.24239864864864866
23,5,min_max,1,0.5,1,0.25296052631578947
23,6,min_max,1,0.5,1,0.277068661971831
23,7,min_max,1,0.5,1,0.2717013888888889
23,8,min_max,1,0.5,1,0.23011363636363635
23,9,min_max,1,0.5,1,0.25944767441860467
24,0,min_max,1,0.5,1,0.11643835616438356
24,1,min_max,1,0.5,1,0.2650735294117647
24,2,min_max,1,0.5,1,0.29259672619047616
24,3,min_max,1,0.5,1,0.296875
24,4,min_max,1,0.5,1,0.2544341216216216
24,5,min_max,1,0.5,1,0.25509868421052634
24,6,min_max,1,0.5,1,0.2836707746478873
24,7,min_max,1,0.5,1,0.2779947916666667
24,8,min_max,1,0.5,1,0.24976325757575757
24,9,min_max,1,0.5,1,0.25872093023255816
25,0,min_max,1,0.5,1,0.14704623287671234
25,1,min_max,1,0.5,1,0.2841911764705882
25,2,min_max,1,0.5,1,0.30636160714285715
25,3,min_max,1,0.5,1,0.28415178571428573
25,4,min_max,1,0.5,1,0.24852195945945946
25,5,min_max,1,0.5,1,0.2835526315789474
25,6,min_max,1,0.5,1,0.29071302816901406
25,7,min_max,1,0.5,1,0.2541232638888889
25,8,min_max,1,0.5,1,0.24455492424242425
25,9,min_max,1,0.5,1,0.25090843023255816
26,0,min_max,1,0.5,1,0.10423801369863013
26,1,min_max,1,0.5,1,0.3090073529411765
26,2,min_max,1,0.5,1,0.30431547619047616
26,3,min_max,1,0.5,1,0.2872767857142857
26,4,min_max,1,0.5,1,0.24429898648648649
26,5,min_max,1,0.5,1,0.24671052631578946
26,6,min_max,1,0.5,1,0.3023767605633803
26,7,min_max,1,0.5,1,0.2944878472222222
26,8,min_max,1,0.5,1,0.24573863636363635
26,9,min_max,1,0.5,1,0.2547238372093023
27,0,min_max,1,0.5,1,0.11472602739726027
27,1,min_max,1,0.5,1,0.3005514705882353
27,2,min_max,1,0.5,1,0.29129464285714285
27,3,min_max,1,0.5,1,0.30691964285714285
27,4,min_max,1,0.5,1,0.2734375
27,5,min_max,1,0.5,1,0.26414473684210527
27,6,min_max,1,0.5,1,0.31139964788732394
27,7,min_max,1,0.5,1,0.3029513888888889
27,8,min_max,1,0.5,1,0.2481060606060606
27,9,min_max,1,0.5,1,0.26598837209302323
28,0,min_max,1,0.5,1,0.09375
28,1,min_max,1,0.5,1,0.29209558823529413
28,2,min_max,1,0.5,1,0.28478422619047616
28,3,min_max,1,0.5,1,0.31339285714285714
28,4,min_max,1,0.5,1,0.2825168918918919
28,5,min_max,1,0.5,1,0.27960526315789475
28,6,min_max,1,0.5,1,0.3058978873239437
28,7,min_max,1,0.5,1,0.3033854166666667
28,8,min_max,1,0.5,1,0.26136363636363635
28,9,min_max,1,0.5,1,0.26308139534883723
29,0,min_max,1,0.5,1,0.12200342465753425
29,1,min_max,1,0.5,1,0.3095588235294118
