round,attack,seed,alpha,num_byzantine,test_accuracy
1,min_max,1,0.5,1,0.0105
2,min_max,1,0.5,1,0.0177
3,min_max,1,0.5,1,0.0428
4,min_max,1,0.5,1,0.0565
5,min_max,1,0.5,1,0.0677
6,min_max,1,0.5,1,0.089
7,min_max,1,0.5,1,0.0951
8,min_max,1,0.5,1,0.1054
9,min_max,1,0.5,1,0.1286
10,min_max,1,0.5,1,0.1381
11,min_max,1,0.5,1,0.1411
12,min_max,1,0.5,1,0.1548
13,min_max,1,0.5,1,0.1621
14,min_max,1,0.5,1,0.1738
15,min_max,1,0.5,1,0.168
16,min_max,1,0.5,1,0.186
17,min_max,1,0.5,1,0.1833
18,min_max,1,0.5,1,0.1955
19,min_max,1,0.5,1,0.1943
20,min_max,1,0.5,1,0.2104
21,min_max,1,0.5,1,0.211
22,min_max,1,0.5,1,0.2098
23,min_max,1,0.5,1,0.2228
24,min_max,1,0.5,1,0.2354
25,min_max,1,0.5,1,0.2315
26,min_max,1,0.5,1,0.2378
27,min_max,1,0.5,1,0.2452
28,min_max,1,0.5,1,0.2394
29,min_max,1,0.5,1,0.2459
30,min_max,1,0.5,1,0.2562
31,min_max,1,0.5,1,0.2513
32,min_max,1,0.5,1,0.2578
33,min_max,1,0.5,1,0.2578
34,min_max,1,0.5,1,0.257
35,min_max,1,0.5,1,0.2559
36,min_max,1,0.5,1,0.2637
37,min_max,1,0.5,1,0.2686
38,min_max,1,0.5,1,0.272
39,min_max,1,0.5,1,0.2748
40,min_max,1,0.5,1,0.2805
41,min_max,1,0.5,1,0.2773
42,min_max,1,0.5,1,0.2828
43,min_max,1,0.5,1,0.2868
44,min_max,1,0.5,1,0.289
45,min_max,1,0.5,1,0.2879
46,min_max,1,0.5,1,0.2949
47,min_max,1,0.5,1,0.2966
48,min_max,1,0.5,1,0.2957
49,min_max,1,0.5,1,0.3009
50,min_max,1,0.5,1,0.2969
51,min_max,1,0.5,1,0.2993
52,min_max,1,0.5,1,0.3034
53,min_max,1,0.5,1,0.307
54,min_max,1,0.5,1,0.3073
55,min_max,1,0.5,1,0.3053
56,min_max,1,0.5,1,0.3137
57,min_max,1,0.5,1,0.3144
58,min_max,1,0.5,1,0.3194
59,min_max,1,0.5,1,0.3212
60,min_max,1,0.5,1,0.3204
61,min_max,1,0.5,1,0.3204
62,min_max,1,0.5,1,0.3216
63,min_max,1,0.5,1,0.3288
64,min_max,1,0.5,1,0.3329
65,min_max,1,0.5,1,0.3283
66,min_max,1,0.5,1,0.3298
67,min_max,1,0.5,1,0.3315
68,min_max,1,0.5,1,0.3301
69,min_max,1,0.5,1,0.3301
70,min_max,1,0.5,1,0.3393
71,min_max,1,0.5,1,0.3391
72,min_max,1,0.5,1,0.3407
73,min_max,1,0.5,1,0.3405
74,min_max,1,0.5,1,0.3432
75,min_max,1,0.5,1,0.3396
76,min_max,1,0.5,1,0.3451
77,min_max,1,0.5,1,0.3388
78,min_max,1,0.5,1,0.3484
79,min_max,1,0.5,1,0.3489
80,min_max,1,0.5,1,0.3513
81,min_max,1,0.5,1,0.3514
82,min_max,1,0.5,1,0.3543
83,min_max,1,0.5,1,0.3558
84,min_max,1,0.5,1,0.3615
85,min_max,1,0.5,1,0.358
86,min_max,1,0.5,1,0.3578
87,min_max,1,0.5,1,0.3639
88,min_max,1,0.5,1,0.3631
89,min_max,1,0.5,1,0.3685
90,min_max,1,0.5,1,0.3664
91,min_max,1,0.5,1,0.365
92,min_max,1,0.5,1,0.3605
93,min_max,1,0.5,1,0.3697
94,min_max,1,0.5,1,0.3684
95,min_max,1,0.5,1,0.3712
96,min_max,1,0.5,1,0.3715
97,min_max,1,0.5,1,0.3705
98,min_max,1,0.5,1,0.3695
99,min_max,1,0.5,1,0.3712
100,min_max,1,0.5,1,0.3785
