round,attack,seed,alpha,num_byzantine,test_accuracy
1,min_sum,1,0.5,2,0.0105
2,min_sum,1,0.5,2,0.0177
3,min_sum,1,0.5,2,0.0422
4,min_sum,1,0.5,2,0.0508
5,min_sum,1,0.5,2,0.0756
6,min_sum,1,0.5,2,0.0816
7,min_sum,1,0.5,2,0.0856
8,min_sum,1,0.5,2,0.0995
9,min_sum,1,0.5,2,0.1112
10,min_sum,1,0.5,2,0.1146
11,min_sum,1,0.5,2,0.1275
12,min_sum,1,0.5,2,0.1314
13,min_sum,1,0.5,2,0.1377
14,min_sum,1,0.5,2,0.1476
15,min_sum,1,0.5,2,0.1462
16,min_sum,1,0.5,2,0.1566
17,min_sum,1,0.5,2,0.1642
18,min_sum,1,0.5,2,0.1709
19,min_sum,1,0.5,2,0.1763
20,min_sum,1,0.5,2,0.1874
21,min_sum,1,0.5,2,0.1868
22,min_sum,1,0.5,2,0.1879
23,min_sum,1,0.5,2,0.1919
24,min_sum,1,0.5,2,0.2062
25,min_sum,1,0.5,2,0.207
26,min_sum,1,0.5,2,0.2134
27,min_sum,1,0.5,2,0.2166
28,min_sum,1,0.5,2,0.222
29,min_sum,1,0.5,2,0.2241
30,min_sum,1,0.5,2,0.2275
31,min_sum,1,0.5,2,0.2319
32,min_sum,1,0.5,2,0.2326
33,min_sum,1,0.5,2,0.2338
34,min_sum,1,0.5,2,0.2361
35,min_sum,1,0.5,2,0.2342
36,min_sum,1,0.5,2,0.2401
37,min_sum,1,0.5,2,0.2431
38,min_sum,1,0.5,2,0.2488
39,min_sum,1,0.5,2,0.2454
40,min_sum,1,0.5,2,0.2523
41,min_sum,1,0.5,2,0.2489
42,min_sum,1,0.5,2,0.253
43,min_sum,1,0.5,2,0.2593
44,min_sum,1,0.5,2,0.2589
45,min_sum,1,0.5,2,0.2616
46,min_sum,1,0.5,2,0.2634
47,min_sum,1,0.5,2,0.2682
48,min_sum,1,0.5,2,0.2727
49,min_sum,1,0.5,2,0.2711
50,min_sum,1,0.5,2,0.2683
51,min_sum,1,0.5,2,0.2702
52,min_sum,1,0.5,2,0.2744
53,min_sum,1,0.5,2,0.2742
54,min_sum,1,0.5,2,0.2767
55,min_sum,1,0.5,2,0.2789
56,min_sum,1,0.5,2,0.2824
57,min_sum,1,0.5,2,0.2841
58,min_sum,1,0.5,2,0.293
59,min_sum,1,0.5,2,0.2846
60,min_sum,1,0.5,2,0.2883
61,min_sum,1,0.5,2,0.2918
62,min_sum,1,0.5,2,0.292
63,min_sum,1,0.5,2,0.2916
64,min_sum,1,0.5,2,0.2942
65,min_sum,1,0.5,2,0.2987
66,min_sum,1,0.5,2,0.3002
67,min_sum,1,0.5,2,0.2993
68,min_sum,1,0.5,2,0.2999
69,min_sum,1,0.5,2,0.3036
70,min_sum,1,0.5,2,0.3065
71,min_sum,1,0.5,2,0.3035
72,min_sum,1,0.5,2,0.3066
73,min_sum,1,0.5,2,0.3077
74,min_sum,1,0.5,2,0.3084
75,min_sum,1,0.5,2,0.3056
76,min_sum,1,0.5,2,0.3094
77,min_sum,1,0.5,2,0.3075
78,min_sum,1,0.5,2,0.3109
79,min_sum,1,0.5,2,0.3157
80,min_sum,1,0.5,2,0.3158
81,min_sum,1,0.5,2,0.3179
82,min_sum,1,0.5,2,0.319
83,min_sum,1,0.5,2,0.3252
84,min_sum,1,0.5,2,0.3252
85,min_sum,1,0.5,2,0.3294
86,min_sum,1,0.5,2,0.3264
87,min_sum,1,0.5,2,0.3257
88,min_sum,1,0.5,2,0.3242
89,min_sum,1,0.5,2,0.3301
90,min_sum,1,0.5,2,0.3242
91,min_sum,1,0.5,2,0.3288
92,min_sum,1,0.5,2,0.3299
93,min_sum,1,0.5,2,0.3372
94,min_sum,1,0.5,2,0.334
95,min_sum,1,0.5,2,0.3358
96,min_sum,1,0.5,2,0.3401
97,min_sum,1,0.5,2,0.3353
98,min_sum,1,0.5,2,0.3341
99,min_sum,1,0.5,2,0.3345
100,min_sum,1,0.5,2,0.3353
