round,attack,seed,alpha,num_byzantine,test_accuracy
1,minmax,1,0.5,1,0.0105
2,minmax,1,0.5,1,0.0177
3,minmax,1,0.5,1,0.0422
4,minmax,1,0.5,1,0.0508
5,minmax,1,0.5,1,0.0756
6,minmax,1,0.5,1,0.0857
7,minmax,1,0.5,1,0.0898
8,minmax,1,0.5,1,0.1117
9,minmax,1,0.5,1,0.1285
10,minmax,1,0.5,1,0.1396
11,minmax,1,0.5,1,0.1479
12,minmax,1,0.5,1,0.1569
13,minmax,1,0.5,1,0.1656
14,minmax,1,0.5,1,0.1788
15,minmax,1,0.5,1,0.1702
16,minmax,1,0.5,1,0.1865
17,minmax,1,0.5,1,0.1941
18,minmax,1,0.5,1,0.2001
19,minmax,1,0.5,1,0.2036
20,minmax,1,0.5,1,0.2076
21,minmax,1,0.5,1,0.2145
22,minmax,1,0.5,1,0.2108
23,minmax,1,0.5,1,0.2205
24,minmax,1,0.5,1,0.2338
25,minmax,1,0.5,1,0.2341
26,minmax,1,0.5,1,0.2411
27,minmax,1,0.5,1,0.2486
28,minmax,1,0.5,1,0.2482
29,minmax,1,0.5,1,0.2513
30,minmax,1,0.5,1,0.2566
31,minmax,1,0.5,1,0.2588
32,minmax,1,0.5,1,0.2685
33,minmax,1,0.5,1,0.263
34,minmax,1,0.5,1,0.2668
35,minmax,1,0.5,1,0.268
36,minmax,1,0.5,1,0.2725
37,minmax,1,0.5,1,0.2806
38,minmax,1,0.5,1,0.2838
39,minmax,1,0.5,1,0.2821
40,minmax,1,0.5,1,0.2861
41,minmax,1,0.5,1,0.2871
42,minmax,1,0.5,1,0.2923
43,minmax,1,0.5,1,0.2984
44,minmax,1,0.5,1,0.2962
45,minmax,1,0.5,1,0.2972
46,minmax,1,0.5,1,0.3029
47,minmax,1,0.5,1,0.3074
48,minmax,1,0.5,1,0.3071
49,minmax,1,0.5,1,0.3102
50,minmax,1,0.5,1,0.3078
51,minmax,1,0.5,1,0.3106
52,minmax,1,0.5,1,0.3196
53,minmax,1,0.5,1,0.3194
54,minmax,1,0.5,1,0.3222
55,minmax,1,0.5,1,0.322
56,minmax,1,0.5,1,0.3248
57,minmax,1,0.5,1,0.3326
58,minmax,1,0.5,1,0.3315
59,minmax,1,0.5,1,0.3291
60,minmax,1,0.5,1,0.3329
61,minmax,1,0.5,1,0.3349
62,minmax,1,0.5,1,0.3411
63,minmax,1,0.5,1,0.342
64,minmax,1,0.5,1,0.3423
65,minmax,1,0.5,1,0.3391
66,minmax,1,0.5,1,0.3397
67,minmax,1,0.5,1,0.348
68,minmax,1,0.5,1,0.3486
69,minmax,1,0.5,1,0.3551
70,minmax,1,0.5,1,0.362
71,minmax,1,0.5,1,0.3518
72,minmax,1,0.5,1,0.3521
73,minmax,1,0.5,1,0.3524
74,minmax,1,0.5,1,0.3568
75,minmax,1,0.5,1,0.3571
76,minmax,1,0.5,1,0.3626
77,minmax,1,0.5,1,0.3581
78,minmax,1,0.5,1,0.3649
79,minmax,1,0.5,1,0.3661
80,minmax,1,0.5,1,0.3636
81,minmax,1,0.5,1,0.3679
82,minmax,1,0.5,1,0.3716
83,minmax,1,0.5,1,0.3724
84,minmax,1,0.5,1,0.3726
85,minmax,1,0.5,1,0.3751
86,minmax,1,0.5,1,0.3787
87,minmax,1,0.5,1,0.3764
88,minmax,1,0.5,1,0.3827
89,minmax,1,0.5,1,0.3849
90,minmax,1,0.5,1,0.3814
91,minmax,1,0.5,1,0.3846
92,minmax,1,0.5,1,0.3859
93,minmax,1,0.5,1,0.3843
94,minmax,1,0.5,1,0.3796
95,minmax,1,0.5,1,0.3874
96,minmax,1,0.5,1,0.3857
97,minmax,1,0.5,1,0.3817
98,minmax,1,0.5,1,0.3881
99,minmax,1,0.5,1,0.3895
100,minmax,1,0.5,1,0.3924
