round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,minsum,1,0.5,2,0.10059931506849315
1,1,minsum,1,0.5,2,0.10349264705882352
1,2,minsum,1,0.5,2,0.09635416666666667
1,3,minsum,1,0.5,2,0.10357142857142858
1,4,minsum,1,0.5,2,0.07981418918918919
1,5,minsum,1,0.5,2,0.08240131578947368
1,6,minsum,1,0.5,2,0.10431338028169014
1,7,minsum,1,0.5,2,0.09136284722222222
1,8,minsum,1,0.5,2,0.07954545454545454
1,9,minsum,1,0.5,2,0.08902616279069768
2,0,minsum,1,0.5,2,0.11237157534246575
2,1,minsum,1,0.5,2,0.16378676470588235
2,2,minsum,1,0.5,2,0.12332589285714286
2,3,minsum,1,0.5,2,0.16183035714285715
2,4,minsum,1,0.5,2,0.09565033783783784
2,5,minsum,1,0.5,2,0.084375
2,6,minsum,1,0.5,2,0.11993838028169014
2,7,minsum,1,0.5,2,0.12782118055555555
2,8,minsum,1,0.5,2,0.10582386363636363
2,9,minsum,1,0.5,2,0.13408430232558138
3,0,minsum,1,0.5,2,0.1211472602739726
3,1,minsum,1,0.5,2,0.15
3,2,minsum,1,0.5,2,0.14267113095238096
3,3,minsum,1,0.5,2,0.15602678571428572
3,4,minsum,1,0.5,2,0.11423141891891891
3,5,minsum,1,0.5,2,0.11266447368421052
3,6,minsum,1,0.5,2,0.15977112676056338
3,7,minsum,1,0.5,2,0.15147569444444445
3,8,minsum,1,0.5,2,0.1278409090909091
3,9,minsum,1,0.5,2,0.1159156976744186
4,0,minsum,1,0.5,2,0.1577482876712329
4,1,minsum,1,0.5,2,0.17886029411764706
4,2,minsum,1,0.5,2,0.17354910714285715
4,3,minsum,1,0.5,2,0.17723214285714287
4,4,minsum,1,0.5,2,0.10430743243243243
4,5,minsum,1,0.5,2,0.1256578947368421
4,6,minsum,1,0.5,2,0.17077464788732394
4,7,minsum,1,0.5,2,0.1616753472222222
4,8,minsum,1,0.5,2,0.11600378787878787
4,9,minsum,1,0.5,2,0.10882994186046512
5,0,minsum,1,0.5,2,0.1658818493150685
5,1,minsum,1,0.5,2,0.17555147058823528
