round,client,attack,seed,alpha,num_byzantine,raw_score,softmax_weight,update_norm
1,0,minsum,1,0.5,2,0.3640477657318115,0.09795404970645905,0.7142667770385742
1,1,minsum,1,0.5,2,0.3760462999343872,0.09913643449544907,0.7128218412399292
1,2,minsum,1,0.5,2,0.43338561058044434,0.10498698055744171,0.7290700674057007
1,3,minsum,1,0.5,2,0.31297218799591064,0.09307661652565002,0.7078238725662231
1,4,minsum,1,0.5,2,0.3684682846069336,0.09838801622390747,0.6945441961288452
1,5,minsum,1,0.5,2,0.3786150813102722,0.09939142316579819,0.7440954446792603
1,6,minsum,1,0.5,2,0.46918147802352905,0.10881315171718597,0.7406467199325562
1,7,minsum,1,0.5,2,0.416654109954834,0.10324500501155853,0.7300897836685181
1,8,minsum,1,0.5,2,0.34289228916168213,0.09590355306863785,0.684784471988678
1,9,minsum,1,0.5,2,0.3757268786430359,0.09910476952791214,0.7193026542663574
2,0,minsum,1,0.5,2,0.3073098659515381,0.09667470306158066,0.7104567885398865
2,1,minsum,1,0.5,2,0.3591030240058899,0.10181372612714767,0.72208571434021
2,2,minsum,1,0.5,2,0.37901222705841064,0.10386107116937637,0.7275457978248596
2,3,minsum,1,0.5,2,0.29129648208618164,0.09513894468545914,0.7398623824119568
2,4,minsum,1,0.5,2,0.3639674186706543,0.1023101955652237,0.7036485075950623
2,5,minsum,1,0.5,2,0.33474647998809814,0.09936385601758957,0.7489853501319885
2,6,minsum,1,0.5,2,0.3754798173904419,0.10349483788013458,0.7124516367912292
2,7,minsum,1,0.5,2,0.34097665548324585,0.09998483955860138,0.7212256789207458
2,8,minsum,1,0.5,2,0.3242858648300171,0.09832986444234848,0.7182657718658447
2,9,minsum,1,0.5,2,0.33136045932769775,0.09902797639369965,0.7439741492271423
3,0,minsum,1,0.5,2,0.3063961863517761,0.09782692044973373,0.6932311058044434
3,1,minsum,1,0.5,2,0.34348297119140625,0.10152312368154526,0.7095677256584167
3,2,minsum,1,0.5,2,0.35575854778289795,0.10277705639600754,0.6945309042930603
3,3,minsum,1,0.5,2,0.2969892621040344,0.0969109833240509,0.7163115739822388
3,4,minsum,1,0.5,2,0.34337806701660156,0.10151246935129166,0.7010276317596436
3,5,minsum,1,0.5,2,0.347805380821228,0.10196289420127869,0.7410104870796204
3,6,minsum,1,0.5,2,0.33973389863967896,0.10114321857690811,0.7061290144920349
3,7,minsum,1,0.5,2,0.3221278190612793,0.0993780642747879,0.7015844583511353
3,8,minsum,1,0.5,2,0.3058745265007019,0.097775898873806,0.6949869394302368
3,9,minsum,1,0.5,2,0.32022732496261597,0.0991893783211708,0.7050072550773621
4,0,minsum,1,0.5,2,0.28537291288375854,0.09734682738780975,0.7016942501068115
4,1,minsum,1,0.5,2,0.2960548400878906,0.09839224815368652,0.6904764771461487
4,2,minsum,1,0.5,2,0.34563714265823364,0.10339373350143433,0.6845043301582336
4,3,minsum,1,0.5,2,0.272022545337677,0.09605585038661957,0.7053713798522949
4,4,minsum,1,0.5,2,0.3159959316253662,0.10037399083375931,0.6718135476112366
4,5,minsum,1,0.5,2,0.3401668071746826,0.10282967984676361,0.7142559885978699
4,6,minsum,1,0.5,2,0.3367738723754883,0.10248137265443802,0.6847423315048218
4,7,minsum,1,0.5,2,0.31781965494155884,0.10055721551179886,0.6823245286941528
4,8,minsum,1,0.5,2,0.28778642416000366,0.09758205711841583,0.6743225455284119
4,9,minsum,1,0.5,2,0.3220856189727783,0.10098710656166077,0.7081596851348877
5,0,minsum,1,0.5,2,0.305919885635376,0.10021495819091797,0.6894906163215637
5,1,minsum,1,0.5,2,0.33901160955429077,0.10358671844005585,0.6824933886528015
5,2,minsum,1,0.5,2,0.29762357473373413,0.09938697516918182,0.6743647456169128
5,3,minsum,1,0.5,2,0.2767382860183716,0.09733277559280396,0.7055616974830627
5,4,minsum,1,0.5,2,0.3032304644584656,0.0999457910656929,0.659655749797821
5,5,minsum,1,0.5,2,0.3023974895477295,0.09986257553100586,0.7012590169906616
5,6,minsum,1,0.5,2,0.3035019040107727,0.0999729260802269,0.6591380834579468
5,7,minsum,1,0.5,2,0.3007029891014099,0.09969349950551987,0.6648932099342346
5,8,minsum,1,0.5,2,0.31768369674682617,0.10140082240104675,0.6634606122970581
5,9,minsum,1,0.5,2,0.2897050976753235,0.09860309213399887,0.6857754588127136
6,0,minsum,1,0.5,2,0.32905644178390503,0.10379527509212494,0.6810116171836853
6,1,minsum,1,0.5,2,0.25936442613601685,0.09680788218975067,0.6640833020210266
6,2,minsum,1,0.5,2,0.26276206970214844,0.09713736176490784,0.659098207950592
6,3,minsum,1,0.5,2,0.2791672945022583,0.09874406456947327,0.6817400455474854
6,4,minsum,1,0.5,2,0.31377190351486206,0.10222087800502777,0.6640812754631042
6,5,minsum,1,0.5,2,0.3062898516654968,0.10145890712738037,0.6870768666267395
6,6,minsum,1,0.5,2,0.26752930879592896,0.09760154038667679,0.6398113965988159
6,7,minsum,1,0.5,2,0.3114274740219116,0.1019815057516098,0.6671297550201416
6,8,minsum,1,0.5,2,0.26098281145095825,0.09696468710899353,0.6487709879875183
6,9,minsum,1,0.5,2,0.3241562247276306,0.10328789800405502,0.6854934692382812
7,0,minsum,1,0.5,2,0.2656337022781372,0.09800854325294495,0.6426330804824829
7,1,minsum,1,0.5,2,0.2924894690513611,0.10067629814147949,0.6671141386032104
7,2,minsum,1,0.5,2,0.329095721244812,0.10442996770143509,0.6636006236076355
7,3,minsum,1,0.5,2,0.23199081420898438,0.09476610273122787,0.6711108088493347
7,4,minsum,1,0.5,2,0.2995597720146179,0.10139063000679016,0.6324091553688049
7,5,minsum,1,0.5,2,0.2926792502403259,0.1006954088807106,0.6755760908126831
7,6,minsum,1,0.5,2,0.2972445487976074,0.10115616768598557,0.6506527662277222
7,7,minsum,1,0.5,2,0.26459890604019165,0.0979071781039238,0.6434009075164795
7,8,minsum,1,0.5,2,0.2860094904899597,0.10002603381872177,0.6445432901382446
7,9,minsum,1,0.5,2,0.295141339302063,0.10094363987445831,0.6849106550216675
8,0,minsum,1,0.5,2,0.25705230236053467,0.09775840491056442,0.6365386247634888
8,1,minsum,1,0.5,2,0.32604342699050903,0.10474096983671188,0.6500413417816162
8,2,minsum,1,0.5,2,0.29495149850845337,0.10153447836637497,0.6284165978431702
8,3,minsum,1,0.5,2,0.2367132306098938,0.09579017758369446,0.6517522931098938
8,4,minsum,1,0.5,2,0.26268482208251953,0.09831058979034424,0.629940927028656
8,5,minsum,1,0.5,2,0.2926247715950012,0.1012985110282898,0.6708024144172668
8,6,minsum,1,0.5,2,0.2447836995124817,0.09656637907028198,0.6367050409317017
8,7,minsum,1,0.5,2,0.3025134205818176,0.10230518132448196,0.6425687074661255
8,8,minsum,1,0.5,2,0.27976351976394653,0.10000402480363846,0.6435043811798096
8,9,minsum,1,0.5,2,0.2964944839477539,0.10169126838445663,0.6710774302482605
9,0,minsum,1,0.5,2,0.28138267993927,0.10016258805990219,0.6452102065086365
9,1,minsum,1,0.5,2,0.2350461483001709,0.09562729299068451,0.6339502930641174
9,2,minsum,1,0.5,2,0.21257400512695312,0.09350230544805527,0.62144535779953
9,3,minsum,1,0.5,2,0.31072163581848145,0.10314478725194931,0.6807301640510559
9,4,minsum,1,0.5,2,0.31802815198898315,0.10390117764472961,0.6241188049316406
9,5,minsum,1,0.5,2,0.3260185122489929,0.10473471134901047,0.6739500164985657
9,6,minsum,1,0.5,2,0.2986321449279785,0.10190533101558685,0.6366828680038452
9,7,minsum,1,0.5,2,0.26270145177841187,0.09830880165100098,0.6481241583824158
9,8,minsum,1,0.5,2,0.2943151593208313,0.1014663502573967,0.637932300567627
9,9,minsum,1,0.5,2,0.25183820724487305,0.09724663197994232,0.6550318598747253
10,0,minsum,1,0.5,2,0.26410233974456787,0.09966307133436203,0.63735431432724
10,1,minsum,1,0.5,2,0.2876872420310974,0.10204154998064041,0.6387946605682373
10,2,minsum,1,0.5,2,0.2716864347457886,0.10042179375886917,0.6362574696540833
10,3,minsum,1,0.5,2,0.19365054368972778,0.09288325160741806,0.6477437615394592
10,4,minsum,1,0.5,2,0.2637706398963928,0.09963001310825348,0.622357964515686
10,5,minsum,1,0.5,2,0.2862004041671753,0.1018899455666542,0.6599479913711548
10,6,minsum,1,0.5,2,0.2700660824775696,0.1002592071890831,0.6296882629394531
10,7,minsum,1,0.5,2,0.2794395685195923,0.10120340436697006,0.6252880096435547
10,8,minsum,1,0.5,2,0.2694511413574219,0.10019757598638535,0.6381921768188477
10,9,minsum,1,0.5,2,0.28541815280914307,0.1018102690577507,0.6756969094276428
11,0,minsum,1,0.5,2,0.2681875228881836,0.10018644481897354,0.6289757490158081
11,1,minsum,1,0.5,2,0.23338204622268677,0.09675939381122589,0.6366646885871887
11,2,minsum,1,0.5,2,0.3055065870285034,0.10399594902992249,0.6154153943061829
11,3,minsum,1,0.5,2,0.2430570125579834,0.0977000817656517,0.6460002064704895
11,4,minsum,1,0.5,2,0.2702113389968872,0.10038940608501434,0.6267074942588806
11,5,minsum,1,0.5,2,0.2543392777442932,0.09880859404802322,0.6584462523460388
11,6,minsum,1,0.5,2,0.29436421394348145,0.10284361988306046,0.6127574443817139
11,7,minsum,1,0.5,2,0.25988197326660156,0.09935778379440308,0.6173693537712097
11,8,minsum,1,0.5,2,0.25998455286026,0.09936798363924026,0.6353952884674072
11,9,minsum,1,0.5,2,0.2722141742706299,0.10059067606925964,0.6541700959205627
12,0,minsum,1,0.5,2,0.26833099126815796,0.10012593865394592,0.6437816023826599
12,1,minsum,1,0.5,2,0.3182259202003479,0.10524845123291016,0.6446468234062195
12,2,minsum,1,0.5,2,0.28152990341186523,0.10145625472068787,0.6185916066169739
12,3,minsum,1,0.5,2,0.21828186511993408,0.09523806720972061,0.6464961171150208
12,4,minsum,1,0.5,2,0.2478964924812317,0.0981006845831871,0.6119520664215088
12,5,minsum,1,0.5,2,0.2629586458206177,0.09958947449922562,0.6553191542625427
12,6,minsum,1,0.5,2,0.3004460334777832,0.10339368134737015,0.624558687210083
12,7,minsum,1,0.5,2,0.22439074516296387,0.09582164138555527,0.6312864422798157
12,8,minsum,1,0.5,2,0.26879143714904785,0.10017205774784088,0.6305449604988098
12,9,minsum,1,0.5,2,0.275573194026947,0.10085370391607285,0.6440151333808899
13,0,minsum,1,0.5,2,0.23339807987213135,0.09698468446731567,0.6398596167564392
13,1,minsum,1,0.5,2,0.2501542568206787,0.09862346947193146,0.6326910257339478
13,2,minsum,1,0.5,2,0.23244601488113403,0.09689239412546158,0.6068333983421326
13,3,minsum,1,0.5,2,0.2683480381965637,0.10043422877788544,0.6666138172149658
13,4,minsum,1,0.5,2,0.28759515285491943,0.10238601267337799,0.6202546954154968
13,5,minsum,1,0.5,2,0.2716597318649292,0.10076738148927689,0.6660056710243225
13,6,minsum,1,0.5,2,0.256020188331604,0.0992036834359169,0.6117634773254395
13,7,minsum,1,0.5,2,0.3025761842727661,0.10393141210079193,0.6333270072937012
13,8,minsum,1,0.5,2,0.2695353031158447,0.10055354237556458,0.6193946599960327
13,9,minsum,1,0.5,2,0.2662442922592163,0.10022316128015518,0.6486696004867554
14,0,minsum,1,0.5,2,0.23870480060577393,0.09763751178979874,0.6426565647125244
