round,attack,seed,alpha,num_byzantine,test_accuracy
1,minsum,1,0.5,2,0.0107
2,minsum,1,0.5,2,0.0208
3,minsum,1,0.5,2,0.0383
4,minsum,1,0.5,2,0.0555
5,minsum,1,0.5,2,0.072
6,minsum,1,0.5,2,0.0886
7,minsum,1,0.5,2,0.1019
8,minsum,1,0.5,2,0.1213
9,minsum,1,0.5,2,0.1312
10,minsum,1,0.5,2,0.1416
11,minsum,1,0.5,2,0.1506
12,minsum,1,0.5,2,0.1625
13,minsum,1,0.5,2,0.1764
14,minsum,1,0.5,2,0.1856
15,minsum,1,0.5,2,0.1843
16,minsum,1,0.5,2,0.2017
17,minsum,1,0.5,2,0.2039
18,minsum,1,0.5,2,0.2001
19,minsum,1,0.5,2,0.2094
20,minsum,1,0.5,2,0.2191
21,minsum,1,0.5,2,0.2209
22,minsum,1,0.5,2,0.2176
23,minsum,1,0.5,2,0.2269
24,minsum,1,0.5,2,0.2346
25,minsum,1,0.5,2,0.2396
26,minsum,1,0.5,2,0.2408
27,minsum,1,0.5,2,0.2527
28,minsum,1,0.5,2,0.2504
29,minsum,1,0.5,2,0.2511
30,minsum,1,0.5,2,0.2635
31,minsum,1,0.5,2,0.2626
32,minsum,1,0.5,2,0.2692
33,minsum,1,0.5,2,0.266
34,minsum,1,0.5,2,0.2743
35,minsum,1,0.5,2,0.2733
36,minsum,1,0.5,2,0.2776
37,minsum,1,0.5,2,0.2816
38,minsum,1,0.5,2,0.2849
39,minsum,1,0.5,2,0.2879
40,minsum,1,0.5,2,0.2924
41,minsum,1,0.5,2,0.2949
42,minsum,1,0.5,2,0.2988
43,minsum,1,0.5,2,0.3018
44,minsum,1,0.5,2,0.2977
45,minsum,1,0.5,2,0.3082
46,minsum,1,0.5,2,0.3103
47,minsum,1,0.5,2,0.3151
48,minsum,1,0.5,2,0.313
49,minsum,1,0.5,2,0.3145
50,minsum,1,0.5,2,0.3156
51,minsum,1,0.5,2,0.3171
52,minsum,1,0.5,2,0.3203
53,minsum,1,0.5,2,0.3229
54,minsum,1,0.5,2,0.3209
55,minsum,1,0.5,2,0.3321
56,minsum,1,0.5,2,0.3345
57,minsum,1,0.5,2,0.333
58,minsum,1,0.5,2,0.337
59,minsum,1,0.5,2,0.3354
60,minsum,1,0.5,2,0.3342
61,minsum,1,0.5,2,0.337
62,minsum,1,0.5,2,0.345
63,minsum,1,0.5,2,0.3448
64,minsum,1,0.5,2,0.3447
65,minsum,1,0.5,2,0.3466
66,minsum,1,0.5,2,0.3485
67,minsum,1,0.5,2,0.351
68,minsum,1,0.5,2,0.346
69,minsum,1,0.5,2,0.3525
70,minsum,1,0.5,2,0.3608
71,minsum,1,0.5,2,0.3586
72,minsum,1,0.5,2,0.3595
73,minsum,1,0.5,2,0.3564
74,minsum,1,0.5,2,0.3598
75,minsum,1,0.5,2,0.356
76,minsum,1,0.5,2,0.3638
77,minsum,1,0.5,2,0.3621
78,minsum,1,0.5,2,0.3659
79,minsum,1,0.5,2,0.3743
80,minsum,1,0.5,2,0.3643
81,minsum,1,0.5,2,0.3707
82,minsum,1,0.5,2,0.3711
83,minsum,1,0.5,2,0.3712
84,minsum,1,0.5,2,0.3773
85,minsum,1,0.5,2,0.3779
86,minsum,1,0.5,2,0.3758
87,minsum,1,0.5,2,0.3743
88,minsum,1,0.5,2,0.3811
89,minsum,1,0.5,2,0.3851
90,minsum,1,0.5,2,0.3824
91,minsum,1,0.5,2,0.3798
92,minsum,1,0.5,2,0.3853
93,minsum,1,0.5,2,0.3846
94,minsum,1,0.5,2,0.3816
95,minsum,1,0.5,2,0.3857
96,minsum,1,0.5,2,0.3864
97,minsum,1,0.5,2,0.3811
98,minsum,1,0.5,2,0.3842
99,minsum,1,0.5,2,0.3875
100,minsum,1,0.5,2,0.3921
