round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,mod_gauss,1,0.5,1,0.10059931506849315
1,1,mod_gauss,1,0.5,1,0.10349264705882352
1,2,mod_gauss,1,0.5,1,0.09635416666666667
1,3,mod_gauss,1,0.5,1,0.10357142857142858
1,4,mod_gauss,1,0.5,1,0.07981418918918919
1,5,mod_gauss,1,0.5,1,0.08453947368421053
1,6,mod_gauss,1,0.5,1,0.10431338028169014
1,7,mod_gauss,1,0.5,1,0.057074652777777776
1,8,mod_gauss,1,0.5,1,0.07954545454545454
1,9,mod_gauss,1,0.5,1,0.08902616279069768
2,0,mod_gauss,1,0.5,1,0.13591609589041095
2,1,mod_gauss,1,0.5,1,0.171875
2,2,mod_gauss,1,0.5,1,0.11793154761904762
2,3,mod_gauss,1,0.5,1,0.1484375
2,4,mod_gauss,1,0.5,1,0.0867820945945946
2,5,mod_gauss,1,0.5,1,0.08651315789473685
2,6,mod_gauss,1,0.5,1,0.14348591549295775
2,7,mod_gauss,1,0.5,1,0.14453125
2,8,mod_gauss,1,0.5,1,0.12144886363636363
2,9,mod_gauss,1,0.5,1,0.1119186046511628
3,0,mod_gauss,1,0.5,1,0.1485445205479452
3,1,mod_gauss,1,0.5,1,0.1454044117647059
3,2,mod_gauss,1,0.5,1,0.13448660714285715
3,3,mod_gauss,1,0.5,1,0.1845982142857143
3,4,mod_gauss,1,0.5,1,0.12309966216216216
3,5,mod_gauss,1,0.5,1,0.10526315789473684
3,6,mod_gauss,1,0.5,1,0.1619718309859155
3,7,mod_gauss,1,0.5,1,0.15538194444444445
3,8,mod_gauss,1,0.5,1,0.10345643939393939
3,9,mod_gauss,1,0.5,1,0.12463662790697674
4,0,mod_gauss,1,0.5,1,0.17508561643835616
4,1,mod_gauss,1,0.5,1,0.17904411764705883
4,2,mod_gauss,1,0.5,1,0.1761532738095238
4,3,mod_gauss,1,0.5,1,0.18125
4,4,mod_gauss,1,0.5,1,0.08150337837837837
4,5,mod_gauss,1,0.5,1,0.13815789473684212
4,6,mod_gauss,1,0.5,1,0.13556338028169015
4,7,mod_gauss,1,0.5,1,0.15169270833333334
4,8,mod_gauss,1,0.5,1,0.1268939393939394
4,9,mod_gauss,1,0.5,1,0.12863372093023256
5,0,mod_gauss,1,0.5,1,0.1521832191780822
5,1,mod_gauss,1,0.5,1,0.16286764705882353
5,2,mod_gauss,1,0.5,1,0.15513392857142858
5,3,mod_gauss,1,0.5,1,0.20334821428571428
5,4,mod_gauss,1,0.5,1,0.12288851351351351
5,5,mod_gauss,1,0.5,1,0.13815789473684212
5,6,mod_gauss,1,0.5,1,0.17209507042253522
5,7,mod_gauss,1,0.5,1,0.1801215277777778
5,8,mod_gauss,1,0.5,1,0.1328125
5,9,mod_gauss,1,0.5,1,0.16279069767441862
6,0,mod_gauss,1,0.5,1,0.14790239726027396
6,1,mod_gauss,1,0.5,1,0.18988970588235293
6,2,mod_gauss,1,0.5,1,0.16592261904761904
6,3,mod_gauss,1,0.5,1,0.20401785714285714
6,4,mod_gauss,1,0.5,1,0.14083614864864866
6,5,mod_gauss,1,0.5,1,0.15970394736842106
6,6,mod_gauss,1,0.5,1,0.1800176056338028
6,7,mod_gauss,1,0.5,1,0.18033854166666666
6,8,mod_gauss,1,0.5,1,0.15364583333333334
6,9,mod_gauss,1,0.5,1,0.16369912790697674
7,0,mod_gauss,1,0.5,1,0.19456335616438356
7,1,mod_gauss,1,0.5,1,0.17904411764705883
7,2,mod_gauss,1,0.5,1,0.18359375
7,3,mod_gauss,1,0.5,1,0.21026785714285715
7,4,mod_gauss,1,0.5,1,0.15223817567567569
7,5,mod_gauss,1,0.5,1,0.12911184210526316
7,6,mod_gauss,1,0.5,1,0.1912411971830986
7,7,mod_gauss,1,0.5,1,0.1957465277777778
7,8,mod_gauss,1,0.5,1,0.1299715909090909
7,9,mod_gauss,1,0.5,1,0.17587209302325582
8,0,mod_gauss,1,0.5,1,0.17829623287671234
8,1,mod_gauss,1,0.5,1,0.22040441176470588
8,2,mod_gauss,1,0.5,1,0.19549851190476192
8,3,mod_gauss,1,0.5,1,0.23526785714285714
8,4,mod_gauss,1,0.5,1,0.15266047297297297
8,5,mod_gauss,1,0.5,1,0.14671052631578949
8,6,mod_gauss,1,0.5,1,0.18860035211267606
8,7,mod_gauss,1,0.5,1,0.2105034722222222
8,8,mod_gauss,1,0.5,1,0.16619318181818182
8,9,mod_gauss,1,0.5,1,0.17732558139534885
9,0,mod_gauss,1,0.5,1,0.18471746575342465
9,1,mod_gauss,1,0.5,1,0.21525735294117648
9,2,mod_gauss,1,0.5,1,0.19642857142857142
9,3,mod_gauss,1,0.5,1,0.22209821428571427
9,4,mod_gauss,1,0.5,1,0.1632179054054054
9,5,mod_gauss,1,0.5,1,0.17269736842105263
9,6,mod_gauss,1,0.5,1,0.222931338028169
9,7,mod_gauss,1,0.5,1,0.1953125
9,8,mod_gauss,1,0.5,1,0.14393939393939395
9,9,mod_gauss,1,0.5,1,0.18259447674418605
10,0,mod_gauss,1,0.5,1,0.22752568493150685
10,1,mod_gauss,1,0.5,1,0.22922794117647058
10,2,mod_gauss,1,0.5,1,0.23567708333333334
10,3,mod_gauss,1,0.5,1,0.21026785714285715
10,4,mod_gauss,1,0.5,1,0.17419763513513514
10,5,mod_gauss,1,0.5,1,0.16447368421052633
10,6,mod_gauss,1,0.5,1,0.2268926056338028
10,7,mod_gauss,1,0.5,1,0.1948784722222222
10,8,mod_gauss,1,0.5,1,0.1787405303030303
10,9,mod_gauss,1,0.5,1,0.19040697674418605
11,0,mod_gauss,1,0.5,1,0.21982020547945205
11,1,mod_gauss,1,0.5,1,0.19283088235294119
11,2,mod_gauss,1,0.5,1,0.21428571428571427
11,3,mod_gauss,1,0.5,1,0.19285714285714287
11,4,mod_gauss,1,0.5,1,0.17483108108108109
11,5,mod_gauss,1,0.5,1,0.17516447368421054
11,6,mod_gauss,1,0.5,1,0.2306338028169014
11,7,mod_gauss,1,0.5,1,0.20833333333333334
11,8,mod_gauss,1,0.5,1,0.17945075757575757
11,9,mod_gauss,1,0.5,1,0.19113372093023256
12,0,mod_gauss,1,0.5,1,0.19798801369863014
12,1,mod_gauss,1,0.5,1,0.24136029411764706
12,2,mod_gauss,1,0.5,1,0.23418898809523808
12,3,mod_gauss,1,0.5,1,0.24977678571428572
12,4,mod_gauss,1,0.5,1,0.19320101351351351
12,5,mod_gauss,1,0.5,1,0.18618421052631579
12,6,mod_gauss,1,0.5,1,0.22909330985915494
12,7,mod_gauss,1,0.5,1,0.22200520833333334
12,8,mod_gauss,1,0.5,1,0.1934185606060606
12,9,mod_gauss,1,0.5,1,0.2038517441860465
13,0,mod_gauss,1,0.5,1,0.22923801369863014
13,1,mod_gauss,1,0.5,1,0.21268382352941176
13,2,mod_gauss,1,0.5,1,0.23046875
13,3,mod_gauss,1,0.5,1,0.25558035714285715
13,4,mod_gauss,1,0.5,1,0.19172297297297297
13,5,mod_gauss,1,0.5,1,0.17203947368421052
13,6,mod_gauss,1,0.5,1,0.24537852112676056
13,7,mod_gauss,1,0.5,1,0.23307291666666666
13,8,mod_gauss,1,0.5,1,0.17211174242424243
13,9,mod_gauss,1,0.5,1,0.19349563953488372
14,0,mod_gauss,1,0.5,1,0.22795376712328766
14,1,mod_gauss,1,0.5,1,0.22463235294117648
14,2,mod_gauss,1,0.5,1,0.21726190476190477
14,3,mod_gauss,1,0.5,1,0.27232142857142855
14,4,mod_gauss,1,0.5,1,0.18771114864864866
14,5,mod_gauss,1,0.5,1,0.1930921052631579
14,6,mod_gauss,1,0.5,1,0.2577024647887324
14,7,mod_gauss,1,0.5,1,0.22005208333333334
14,8,mod_gauss,1,0.5,1,0.19412878787878787
14,9,mod_gauss,1,0.5,1,0.20857558139534885
15,0,mod_gauss,1,0.5,1,0.2534246575342466
15,1,mod_gauss,1,0.5,1,0.22794117647058823
15,2,mod_gauss,1,0.5,1,0.25
15,3,mod_gauss,1,0.5,1,0.27723214285714287
15,4,mod_gauss,1,0.5,1,0.20629222972972974
15,5,mod_gauss,1,0.5,1,0.20740131578947368
15,6,mod_gauss,1,0.5,1,0.24493838028169015
15,7,mod_gauss,1,0.5,1,0.2250434027777778
15,8,mod_gauss,1,0.5,1,0.22514204545454544
15,9,mod_gauss,1,0.5,1,0.22111191860465115
16,0,mod_gauss,1,0.5,1,0.22902397260273974
16,1,mod_gauss,1,0.5,1,0.2672794117647059
16,2,mod_gauss,1,0.5,1,0.24348958333333334
16,3,mod_gauss,1,0.5,1,0.21674107142857144
16,4,mod_gauss,1,0.5,1,0.2248733108108108
16,5,mod_gauss,1,0.5,1,0.23519736842105263
16,6,mod_gauss,1,0.5,1,0.2640845070422535
16,7,mod_gauss,1,0.5,1,0.2497829861111111
16,8,mod_gauss,1,0.5,1,0.21709280303030304
16,9,mod_gauss,1,0.5,1,0.21402616279069767
17,0,mod_gauss,1,0.5,1,0.2478595890410959
17,1,mod_gauss,1,0.5,1,0.25863970588235297
17,2,mod_gauss,1,0.5,1,0.23325892857142858
17,3,mod_gauss,1,0.5,1,0.2779017857142857
17,4,mod_gauss,1,0.5,1,0.21917229729729729
17,5,mod_gauss,1,0.5,1,0.2069078947368421
17,6,mod_gauss,1,0.5,1,0.2207306338028169
17,7,mod_gauss,1,0.5,1,0.2263454861111111
17,8,mod_gauss,1,0.5,1,0.23058712121212122
17,9,mod_gauss,1,0.5,1,0.24073401162790697
18,0,mod_gauss,1,0.5,1,0.2658390410958904
18,1,mod_gauss,1,0.5,1,0.2737132352941177
18,2,mod_gauss,1,0.5,1,0.27771577380952384
18,3,mod_gauss,1,0.5,1,0.2453125
18,4,mod_gauss,1,0.5,1,0.20713682432432431
18,5,mod_gauss,1,0.5,1,0.22138157894736843
18,6,mod_gauss,1,0.5,1,0.26650528169014087
18,7,mod_gauss,1,0.5,1,0.2730034722222222
18,8,mod_gauss,1,0.5,1,0.2021780303030303
18,9,mod_gauss,1,0.5,1,0.24200581395348839
19,0,mod_gauss,1,0.5,1,0.2382277397260274
19,1,mod_gauss,1,0.5,1,0.27738970588235295
19,2,mod_gauss,1,0.5,1,0.27176339285714285
19,3,mod_gauss,1,0.5,1,0.2921875
19,4,mod_gauss,1,0.5,1,0.23543074324324326
19,5,mod_gauss,1,0.5,1,0.23207236842105264
19,6,mod_gauss,1,0.5,1,0.29159330985915494
19,7,mod_gauss,1,0.5,1,0.2345920138888889
19,8,mod_gauss,1,0.5,1,0.23863636363636365
19,9,mod_gauss,1,0.5,1,0.23201308139534885
20,0,mod_gauss,1,0.5,1,0.2553510273972603
20,1,mod_gauss,1,0.5,1,0.2887867647058823
20,2,mod_gauss,1,0.5,1,0.26357886904761907
20,3,mod_gauss,1,0.5,1,0.2598214285714286
20,4,mod_gauss,1,0.5,1,0.2326858108108108
20,5,mod_gauss,1,0.5,1,0.19983552631578946
20,6,mod_gauss,1,0.5,1,0.2607834507042254
20,7,mod_gauss,1,0.5,1,0.2643229166666667
