round,attack,seed,alpha,num_byzantine,test_accuracy
1,mod_gauss,1,0.5,1,0.0114
2,mod_gauss,1,0.5,1,0.0187
3,mod_gauss,1,0.5,1,0.0438
4,mod_gauss,1,0.5,1,0.0573
5,mod_gauss,1,0.5,1,0.0781
6,mod_gauss,1,0.5,1,0.0925
7,mod_gauss,1,0.5,1,0.1055
8,mod_gauss,1,0.5,1,0.1162
9,mod_gauss,1,0.5,1,0.136
10,mod_gauss,1,0.5,1,0.144
11,mod_gauss,1,0.5,1,0.146
12,mod_gauss,1,0.5,1,0.1596
13,mod_gauss,1,0.5,1,0.1698
14,mod_gauss,1,0.5,1,0.1764
15,mod_gauss,1,0.5,1,0.1749
16,mod_gauss,1,0.5,1,0.1837
17,mod_gauss,1,0.5,1,0.1907
18,mod_gauss,1,0.5,1,0.208
19,mod_gauss,1,0.5,1,0.201
20,mod_gauss,1,0.5,1,0.2159
21,mod_gauss,1,0.5,1,0.2209
22,mod_gauss,1,0.5,1,0.2185
23,mod_gauss,1,0.5,1,0.2276
24,mod_gauss,1,0.5,1,0.2379
25,mod_gauss,1,0.5,1,0.2393
26,mod_gauss,1,0.5,1,0.2458
27,mod_gauss,1,0.5,1,0.2493
28,mod_gauss,1,0.5,1,0.2486
29,mod_gauss,1,0.5,1,0.2516
30,mod_gauss,1,0.5,1,0.2596
31,mod_gauss,1,0.5,1,0.2652
32,mod_gauss,1,0.5,1,0.2671
33,mod_gauss,1,0.5,1,0.2705
34,mod_gauss,1,0.5,1,0.262
35,mod_gauss,1,0.5,1,0.272
36,mod_gauss,1,0.5,1,0.2773
37,mod_gauss,1,0.5,1,0.2848
38,mod_gauss,1,0.5,1,0.2803
39,mod_gauss,1,0.5,1,0.2879
40,mod_gauss,1,0.5,1,0.2937
41,mod_gauss,1,0.5,1,0.2918
42,mod_gauss,1,0.5,1,0.2948
43,mod_gauss,1,0.5,1,0.2972
44,mod_gauss,1,0.5,1,0.3037
45,mod_gauss,1,0.5,1,0.3037
46,mod_gauss,1,0.5,1,0.3089
47,mod_gauss,1,0.5,1,0.3106
48,mod_gauss,1,0.5,1,0.3089
49,mod_gauss,1,0.5,1,0.3145
50,mod_gauss,1,0.5,1,0.3117
51,mod_gauss,1,0.5,1,0.3169
52,mod_gauss,1,0.5,1,0.3259
53,mod_gauss,1,0.5,1,0.3212
54,mod_gauss,1,0.5,1,0.3264
55,mod_gauss,1,0.5,1,0.3288
56,mod_gauss,1,0.5,1,0.3298
57,mod_gauss,1,0.5,1,0.3323
58,mod_gauss,1,0.5,1,0.3393
59,mod_gauss,1,0.5,1,0.3358
60,mod_gauss,1,0.5,1,0.3381
61,mod_gauss,1,0.5,1,0.3382
62,mod_gauss,1,0.5,1,0.3426
63,mod_gauss,1,0.5,1,0.3469
64,mod_gauss,1,0.5,1,0.3437
65,mod_gauss,1,0.5,1,0.3486
66,mod_gauss,1,0.5,1,0.3487
67,mod_gauss,1,0.5,1,0.3462
68,mod_gauss,1,0.5,1,0.3459
69,mod_gauss,1,0.5,1,0.3527
70,mod_gauss,1,0.5,1,0.3609
71,mod_gauss,1,0.5,1,0.3536
72,mod_gauss,1,0.5,1,0.3585
73,mod_gauss,1,0.5,1,0.365
74,mod_gauss,1,0.5,1,0.36
75,mod_gauss,1,0.5,1,0.3584
76,mod_gauss,1,0.5,1,0.3628
77,mod_gauss,1,0.5,1,0.3633
78,mod_gauss,1,0.5,1,0.3685
79,mod_gauss,1,0.5,1,0.3682
80,mod_gauss,1,0.5,1,0.372
81,mod_gauss,1,0.5,1,0.3713
82,mod_gauss,1,0.5,1,0.3716
83,mod_gauss,1,0.5,1,0.3736
84,mod_gauss,1,0.5,1,0.378
85,mod_gauss,1,0.5,1,0.375
86,mod_gauss,1,0.5,1,0.376
87,mod_gauss,1,0.5,1,0.3796
88,mod_gauss,1,0.5,1,0.3855
89,mod_gauss,1,0.5,1,0.3851
90,mod_gauss,1,0.5,1,0.3856
91,mod_gauss,1,0.5,1,0.3849
92,mod_gauss,1,0.5,1,0.3868
93,mod_gauss,1,0.5,1,0.3826
94,mod_gauss,1,0.5,1,0.3843
95,mod_gauss,1,0.5,1,0.3893
96,mod_gauss,1,0.5,1,0.3892
97,mod_gauss,1,0.5,1,0.3844
98,mod_gauss,1,0.5,1,0.3893
99,mod_gauss,1,0.5,1,0.3964
100,mod_gauss,1,0.5,1,0.3954
