round,attack,seed,alpha,num_byzantine,test_accuracy
1,mod_gaussian,1,0.1,1,0.0093
2,mod_gaussian,1,0.1,1,0.0167
3,mod_gaussian,1,0.1,1,0.0247
4,mod_gaussian,1,0.1,1,0.0409
5,mod_gaussian,1,0.1,1,0.0515
6,mod_gaussian,1,0.1,1,0.0592
7,mod_gaussian,1,0.1,1,0.0766
8,mod_gaussian,1,0.1,1,0.0893
9,mod_gaussian,1,0.1,1,0.1048
10,mod_gaussian,1,0.1,1,0.1089
11,mod_gaussian,1,0.1,1,0.117
12,mod_gaussian,1,0.1,1,0.1372
13,mod_gaussian,1,0.1,1,0.1362
14,mod_gaussian,1,0.1,1,0.1465
15,mod_gaussian,1,0.1,1,0.16
16,mod_gaussian,1,0.1,1,0.1594
17,mod_gaussian,1,0.1,1,0.1682
18,mod_gaussian,1,0.1,1,0.1768
19,mod_gaussian,1,0.1,1,0.1773
20,mod_gaussian,1,0.1,1,0.1758
21,mod_gaussian,1,0.1,1,0.1826
22,mod_gaussian,1,0.1,1,0.1935
23,mod_gaussian,1,0.1,1,0.1977
24,mod_gaussian,1,0.1,1,0.2043
25,mod_gaussian,1,0.1,1,0.2062
26,mod_gaussian,1,0.1,1,0.2062
27,mod_gaussian,1,0.1,1,0.2094
28,mod_gaussian,1,0.1,1,0.2182
29,mod_gaussian,1,0.1,1,0.2231
30,mod_gaussian,1,0.1,1,0.2272
31,mod_gaussian,1,0.1,1,0.2227
32,mod_gaussian,1,0.1,1,0.2227
33,mod_gaussian,1,0.1,1,0.2292
34,mod_gaussian,1,0.1,1,0.2311
35,mod_gaussian,1,0.1,1,0.235
36,mod_gaussian,1,0.1,1,0.2389
37,mod_gaussian,1,0.1,1,0.2393
38,mod_gaussian,1,0.1,1,0.2453
39,mod_gaussian,1,0.1,1,0.2502
40,mod_gaussian,1,0.1,1,0.2493
41,mod_gaussian,1,0.1,1,0.2545
42,mod_gaussian,1,0.1,1,0.2601
43,mod_gaussian,1,0.1,1,0.2616
44,mod_gaussian,1,0.1,1,0.2624
45,mod_gaussian,1,0.1,1,0.2675
46,mod_gaussian,1,0.1,1,0.2686
47,mod_gaussian,1,0.1,1,0.2682
48,mod_gaussian,1,0.1,1,0.2743
49,mod_gaussian,1,0.1,1,0.2692
50,mod_gaussian,1,0.1,1,0.2724
51,mod_gaussian,1,0.1,1,0.2714
52,mod_gaussian,1,0.1,1,0.2772
53,mod_gaussian,1,0.1,1,0.2753
54,mod_gaussian,1,0.1,1,0.2832
55,mod_gaussian,1,0.1,1,0.2874
56,mod_gaussian,1,0.1,1,0.2841
57,mod_gaussian,1,0.1,1,0.2877
58,mod_gaussian,1,0.1,1,0.2846
59,mod_gaussian,1,0.1,1,0.2891
60,mod_gaussian,1,0.1,1,0.2929
61,mod_gaussian,1,0.1,1,0.2974
62,mod_gaussian,1,0.1,1,0.3019
63,mod_gaussian,1,0.1,1,0.2984
64,mod_gaussian,1,0.1,1,0.3019
65,mod_gaussian,1,0.1,1,0.2971
66,mod_gaussian,1,0.1,1,0.3032
67,mod_gaussian,1,0.1,1,0.3006
68,mod_gaussian,1,0.1,1,0.3038
69,mod_gaussian,1,0.1,1,0.3055
70,mod_gaussian,1,0.1,1,0.3094
71,mod_gaussian,1,0.1,1,0.305
72,mod_gaussian,1,0.1,1,0.3086
73,mod_gaussian,1,0.1,1,0.3116
74,mod_gaussian,1,0.1,1,0.3157
75,mod_gaussian,1,0.1,1,0.3172
76,mod_gaussian,1,0.1,1,0.3191
77,mod_gaussian,1,0.1,1,0.3181
78,mod_gaussian,1,0.1,1,0.32
79,mod_gaussian,1,0.1,1,0.3202
80,mod_gaussian,1,0.1,1,0.3199
81,mod_gaussian,1,0.1,1,0.3182
82,mod_gaussian,1,0.1,1,0.3276
83,mod_gaussian,1,0.1,1,0.3254
84,mod_gaussian,1,0.1,1,0.3319
85,mod_gaussian,1,0.1,1,0.3286
86,mod_gaussian,1,0.1,1,0.331
87,mod_gaussian,1,0.1,1,0.3329
88,mod_gaussian,1,0.1,1,0.3357
89,mod_gaussian,1,0.1,1,0.3299
90,mod_gaussian,1,0.1,1,0.3338
91,mod_gaussian,1,0.1,1,0.3333
92,mod_gaussian,1,0.1,1,0.3366
93,mod_gaussian,1,0.1,1,0.3368
94,mod_gaussian,1,0.1,1,0.3436
95,mod_gaussian,1,0.1,1,0.3389
96,mod_gaussian,1,0.1,1,0.348
97,mod_gaussian,1,0.1,1,0.3403
98,mod_gaussian,1,0.1,1,0.3464
99,mod_gaussian,1,0.1,1,0.3427
100,mod_gaussian,1,0.1,1,0.3425
