round,attack,seed,alpha,num_byzantine,test_accuracy
1,none,1,0.1,0,0.0105
2,none,1,0.1,0,0.0131
3,none,1,0.1,0,0.0227
4,none,1,0.1,0,0.045
5,none,1,0.1,0,0.0548
6,none,1,0.1,0,0.0618
7,none,1,0.1,0,0.0825
8,none,1,0.1,0,0.0991
9,none,1,0.1,0,0.1021
10,none,1,0.1,0,0.1207
11,none,1,0.1,0,0.1316
12,none,1,0.1,0,0.141
13,none,1,0.1,0,0.1423
14,none,1,0.1,0,0.1529
15,none,1,0.1,0,0.17
16,none,1,0.1,0,0.1718
17,none,1,0.1,0,0.1733
18,none,1,0.1,0,0.1788
19,none,1,0.1,0,0.1856
20,none,1,0.1,0,0.193
21,none,1,0.1,0,0.1943
22,none,1,0.1,0,0.2035
23,none,1,0.1,0,0.2049
24,none,1,0.1,0,0.2098
25,none,1,0.1,0,0.2144
26,none,1,0.1,0,0.2147
27,none,1,0.1,0,0.2173
28,none,1,0.1,0,0.2227
29,none,1,0.1,0,0.2279
30,none,1,0.1,0,0.2338
31,none,1,0.1,0,0.2317
32,none,1,0.1,0,0.2294
33,none,1,0.1,0,0.2315
34,none,1,0.1,0,0.2345
35,none,1,0.1,0,0.2356
36,none,1,0.1,0,0.2379
37,none,1,0.1,0,0.2417
38,none,1,0.1,0,0.2503
39,none,1,0.1,0,0.2515
40,none,1,0.1,0,0.2508
41,none,1,0.1,0,0.2588
42,none,1,0.1,0,0.2629
43,none,1,0.1,0,0.2646
44,none,1,0.1,0,0.263
45,none,1,0.1,0,0.2679
46,none,1,0.1,0,0.2697
47,none,1,0.1,0,0.2661
48,none,1,0.1,0,0.2733
49,none,1,0.1,0,0.2694
50,none,1,0.1,0,0.2728
51,none,1,0.1,0,0.2743
52,none,1,0.1,0,0.2796
53,none,1,0.1,0,0.2803
54,none,1,0.1,0,0.2836
55,none,1,0.1,0,0.2859
56,none,1,0.1,0,0.2844
57,none,1,0.1,0,0.2869
58,none,1,0.1,0,0.2844
59,none,1,0.1,0,0.2896
60,none,1,0.1,0,0.292
61,none,1,0.1,0,0.2945
62,none,1,0.1,0,0.3017
63,none,1,0.1,0,0.2972
64,none,1,0.1,0,0.3036
65,none,1,0.1,0,0.2991
66,none,1,0.1,0,0.3045
67,none,1,0.1,0,0.3017
68,none,1,0.1,0,0.3091
69,none,1,0.1,0,0.2978
70,none,1,0.1,0,0.3142
71,none,1,0.1,0,0.3089
72,none,1,0.1,0,0.3165
73,none,1,0.1,0,0.3191
74,none,1,0.1,0,0.3163
75,none,1,0.1,0,0.3235
76,none,1,0.1,0,0.3202
77,none,1,0.1,0,0.3226
78,none,1,0.1,0,0.3287
79,none,1,0.1,0,0.3226
80,none,1,0.1,0,0.3236
81,none,1,0.1,0,0.3269
82,none,1,0.1,0,0.3297
83,none,1,0.1,0,0.3224
84,none,1,0.1,0,0.3269
85,none,1,0.1,0,0.3228
86,none,1,0.1,0,0.3325
87,none,1,0.1,0,0.3296
88,none,1,0.1,0,0.3346
89,none,1,0.1,0,0.3325
90,none,1,0.1,0,0.3322
91,none,1,0.1,0,0.3334
92,none,1,0.1,0,0.337
93,none,1,0.1,0,0.3361
94,none,1,0.1,0,0.3428
95,none,1,0.1,0,0.3442
96,none,1,0.1,0,0.3487
97,none,1,0.1,0,0.3474
98,none,1,0.1,0,0.3443
99,none,1,0.1,0,0.3413
100,none,1,0.1,0,0.3461
