round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,none,1,1,0,0.08153735632183907
1,1,none,1,1,0,0.07495777027027027
1,2,none,1,1,0,0.059533227848101264
1,3,none,1,1,0,0.07645833333333334
1,4,none,1,1,0,0.07887801204819277
1,5,none,1,1,0,0.07318037974683544
1,6,none,1,1,0,0.09604166666666666
1,7,none,1,1,0,0.06983901515151515
1,8,none,1,1,0,0.09415584415584416
1,9,none,1,1,0,0.08680555555555555
2,0,none,1,1,0,0.09428879310344827
2,1,none,1,1,0,0.10578547297297297
2,2,none,1,1,0,0.07080696202531646
2,3,none,1,1,0,0.08666666666666667
2,4,none,1,1,0,0.08226656626506024
2,5,none,1,1,0,0.0836629746835443
2,6,none,1,1,0,0.105625
2,7,none,1,1,0,0.07315340909090909
2,8,none,1,1,0,0.10896915584415584
2,9,none,1,1,0,0.09915123456790123
3,0,none,1,1,0,0.07237787356321838
3,1,none,1,1,0,0.1163429054054054
3,2,none,1,1,0,0.08702531645569621
3,3,none,1,1,0,0.09229166666666666
3,4,none,1,1,0,0.11784638554216867
3,5,none,1,1,0,0.10977056962025317
3,6,none,1,1,0,0.14
3,7,none,1,1,0,0.11079545454545454
3,8,none,1,1,0,0.11302759740259741
3,9,none,1,1,0,0.09664351851851852
4,0,none,1,1,0,0.12679597701149425
4,1,none,1,1,0,0.12141047297297297
4,2,none,1,1,0,0.10858386075949367
4,3,none,1,1,0,0.12208333333333334
4,4,none,1,1,0,0.12575301204819278
4,5,none,1,1,0,0.12717563291139242
4,6,none,1,1,0,0.12
4,7,none,1,1,0,0.12357954545454546
4,8,none,1,1,0,0.13129058441558442
4,9,none,1,1,0,0.12692901234567902
5,0,none,1,1,0,0.12176724137931035
5,1,none,1,1,0,0.09755067567567567
5,2,none,1,1,0,0.1295490506329114
5,3,none,1,1,0,0.12229166666666667
5,4,none,1,1,0,0.1280120481927711
5,5,none,1,1,0,0.13093354430379747
5,6,none,1,1,0,0.150625
5,7,none,1,1,0,0.11197916666666667
5,8,none,1,1,0,0.1523944805194805
5,9,none,1,1,0,0.11998456790123457
6,0,none,1,1,0,0.10398706896551724
6,1,none,1,1,0,0.14463682432432431
6,2,none,1,1,0,0.12104430379746836
6,3,none,1,1,0,0.11604166666666667
6,4,none,1,1,0,0.1251882530120482
6,5,none,1,1,0,0.12242879746835443
6,6,none,1,1,0,0.15270833333333333
6,7,none,1,1,0,0.12452651515151515
6,8,none,1,1,0,0.15746753246753248
6,9,none,1,1,0,0.13136574074074073
7,0,none,1,1,0,0.14098419540229884
7,1,none,1,1,0,0.14041385135135134
7,2,none,1,1,0,0.1105617088607595
7,3,none,1,1,0,0.14145833333333332
7,4,none,1,1,0,0.14137801204819278
7,5,none,1,1,0,0.12084651898734178
7,6,none,1,1,0,0.17541666666666667
7,7,none,1,1,0,0.12002840909090909
7,8,none,1,1,0,0.13392857142857142
7,9,none,1,1,0,0.14332561728395063
8,0,none,1,1,0,0.13254310344827586
8,1,none,1,1,0,0.14864864864864866
8,2,none,1,1,0,0.14556962025316456
8,3,none,1,1,0,0.15479166666666666
8,4,none,1,1,0,0.16716867469879518
8,5,none,1,1,0,0.15446993670886075
8,6,none,1,1,0,0.181875
8,7,none,1,1,0,0.12215909090909091
8,8,none,1,1,0,0.17715097402597402
8,9,none,1,1,0,0.15084876543209877
9,0,none,1,1,0,0.1470905172413793
9,1,none,1,1,0,0.15920608108108109
9,2,none,1,1,0,0.1517009493670886
9,3,none,1,1,0,0.16020833333333334
9,4,none,1,1,0,0.18298192771084337
9,5,none,1,1,0,0.15130537974683544
9,6,none,1,1,0,0.189375
9,7,none,1,1,0,0.13541666666666666
9,8,none,1,1,0,0.1702516233766234
9,9,none,1,1,0,0.16820987654320987
10,0,none,1,1,0,0.1221264367816092
10,1,none,1,1,0,0.16638513513513514
10,2,none,1,1,0,0.15526107594936708
10,3,none,1,1,0,0.15645833333333334
10,4,none,1,1,0,0.1692394578313253
10,5,none,1,1,0,0.16969936708860758
10,6,none,1,1,0,0.17354166666666668
10,7,none,1,1,0,0.16477272727272727
10,8,none,1,1,0,0.16558441558441558
10,9,none,1,1,0,0.15104166666666666
11,0,none,1,1,0,0.13344109195402298
11,1,none,1,1,0,0.19404560810810811
11,2,none,1,1,0,0.17167721518987342
11,3,none,1,1,0,0.16229166666666667
11,4,none,1,1,0,0.18260542168674698
11,5,none,1,1,0,0.1805775316455696
11,6,none,1,1,0,0.19458333333333333
11,7,none,1,1,0,0.13044507575757575
11,8,none,1,1,0,0.1966314935064935
11,9,none,1,1,0,0.1707175925925926
12,0,none,1,1,0,0.16936063218390804
12,1,none,1,1,0,0.17630912162162163
12,2,none,1,1,0,0.16159018987341772
12,3,none,1,1,0,0.165
12,4,none,1,1,0,0.18825301204819278
12,5,none,1,1,0,0.17029272151898733
12,6,none,1,1,0,0.20833333333333334
12,7,none,1,1,0,0.18110795454545456
12,8,none,1,1,0,0.20170454545454544
12,9,none,1,1,0,0.19232253086419754
13,0,none,1,1,0,0.17618534482758622
13,1,none,1,1,0,0.16976351351351351
13,2,none,1,1,0,0.16435917721518986
13,3,none,1,1,0,0.17229166666666668
13,4,none,1,1,0,0.19484186746987953
13,5,none,1,1,0,0.18670886075949367
13,6,none,1,1,0,0.198125
13,7,none,1,1,0,0.16524621212121213
13,8,none,1,1,0,0.19155844155844157
13,9,none,1,1,0,0.2065972222222222
14,0,none,1,1,0,0.17744252873563218
14,1,none,1,1,0,0.20185810810810811
14,2,none,1,1,0,0.17029272151898733
14,3,none,1,1,0,0.15395833333333334
14,4,none,1,1,0,0.17846385542168675
14,5,none,1,1,0,0.18809335443037975
14,6,none,1,1,0,0.19229166666666667
14,7,none,1,1,0,0.16051136363636365
14,8,none,1,1,0,0.1984577922077922
14,9,none,1,1,0,0.18557098765432098
15,0,none,1,1,0,0.19001436781609196
15,1,none,1,1,0,0.20418074324324326
15,2,none,1,1,0,0.17662183544303797
15,3,none,1,1,0,0.19895833333333332
15,4,none,1,1,0,0.21027861445783133
15,5,none,1,1,0,0.17286392405063292
15,6,none,1,1,0,0.20645833333333333
15,7,none,1,1,0,0.18110795454545456
15,8,none,1,1,0,0.23843344155844157
15,9,none,1,1,0,0.2013888888888889
16,0,none,1,1,0,0.18372844827586207
16,1,none,1,1,0,0.19869087837837837
16,2,none,1,1,0,0.1805775316455696
16,3,none,1,1,0,0.20979166666666665
16,4,none,1,1,0,0.20256024096385541
16,5,none,1,1,0,0.20846518987341772
16,6,none,1,1,0,0.20770833333333333
16,7,none,1,1,0,0.19839015151515152
16,8,none,1,1,0,0.2132711038961039
16,9,none,1,1,0,0.19637345679012347
17,0,none,1,1,0,0.20132902298850575
17,1,none,1,1,0,0.20122466216216217
17,2,none,1,1,0,0.18156645569620253
17,3,none,1,1,0,0.213125
17,4,none,1,1,0,0.22025602409638553
17,5,none,1,1,0,0.205498417721519
17,6,none,1,1,0,0.2325
17,7,none,1,1,0,0.21022727272727273
17,8,none,1,1,0,0.23214285714285715
17,9,none,1,1,0,0.20794753086419754
18,0,none,1,1,0,0.2216235632183908
18,1,none,1,1,0,0.18707770270270271
18,2,none,1,1,0,0.1750395569620253
18,3,none,1,1,0,0.21104166666666666
18,4,none,1,1,0,0.23079819277108435
18,5,none,1,1,0,0.21518987341772153
18,6,none,1,1,0,0.22333333333333333
18,7,none,1,1,0,0.17945075757575757
18,8,none,1,1,0,0.23214285714285715
18,9,none,1,1,0,0.2309027777777778
19,0,none,1,1,0,0.2137212643678161
19,1,none,1,1,0,0.21135979729729729
19,2,none,1,1,0,0.19046677215189872
19,3,none,1,1,0,0.22833333333333333
19,4,none,1,1,0,0.24322289156626506
19,5,none,1,1,0,0.22685917721518986
19,6,none,1,1,0,0.23645833333333333
19,7,none,1,1,0,0.20549242424242425
19,8,none,1,1,0,0.24411525974025974
19,9,none,1,1,0,0.22858796296296297
20,0,none,1,1,0,0.20869252873563218
20,1,none,1,1,0,0.2204391891891892
20,2,none,1,1,0,0.20905854430379747
20,3,none,1,1,0,0.21125
20,4,none,1,1,0,0.24905873493975902
20,5,none,1,1,0,0.2142009493670886
20,6,none,1,1,0,0.25583333333333336
20,7,none,1,1,0,0.19791666666666666
20,8,none,1,1,0,0.257711038961039
20,9,none,1,1,0,0.24131944444444445
21,0,none,1,1,0,0.19791666666666666
21,1,none,1,1,0,0.21917229729729729
21,2,none,1,1,0,0.22468354430379747
21,3,none,1,1,0,0.22645833333333334
21,4,none,1,1,0,0.24849397590361447
21,5,none,1,1,0,0.21340981012658228
21,6,none,1,1,0,0.25708333333333333
21,7,none,1,1,0,0.2294034090909091
21,8,none,1,1,0,0.2305194805194805
21,9,none,1,1,0,0.2309027777777778
22,0,none,1,1,0,0.2065373563218391
22,1,none,1,1,0,0.2326858108108108
22,2,none,1,1,0,0.19798259493670886
22,3,none,1,1,0,0.23125
22,4,none,1,1,0,0.23908132530120482
22,5,none,1,1,0,0.22962816455696203
22,6,none,1,1,0,0.23041666666666666
22,7,none,1,1,0,0.23839962121212122
22,8,none,1,1,0,0.265625
22,9,none,1,1,0,0.23244598765432098
23,0,none,1,1,0,0.20420258620689655
23,1,none,1,1,0,0.2531672297297297
23,2,none,1,1,0,0.21934335443037975
23,3,none,1,1,0,0.24833333333333332
23,4,none,1,1,0,0.25903614457831325
23,5,none,1,1,0,0.22072784810126583
23,6,none,1,1,0,0.25458333333333333
23,7,none,1,1,0,0.2372159090909091
23,8,none,1,1,0,0.27455357142857145
23,9,none,1,1,0,0.24575617283950618
24,0,none,1,1,0,0.23006465517241378
24,1,none,1,1,0,0.24767736486486486
24,2,none,1,1,0,0.23615506329113925
24,3,none,1,1,0,0.21729166666666666
24,4,none,1,1,0,0.23776355421686746
24,5,none,1,1,0,0.23397943037974683
24,6,none,1,1,0,0.269375
24,7,none,1,1,0,0.22088068181818182
24,8,none,1,1,0,0.2571022727272727
24,9,none,1,1,0,0.2465277777777778
25,0,none,1,1,0,0.21964798850574713
25,1,none,1,1,0,0.24028716216216217
25,2,none,1,1,0,0.2412974683544304
25,3,none,1,1,0,0.21104166666666666
25,4,none,1,1,0,0.2710843373493976
25,5,none,1,1,0,0.24940664556962025
25,6,none,1,1,0,0.2758333333333333
25,7,none,1,1,0,0.24455492424242425
25,8,none,1,1,0,0.2688717532467532
25,9,none,1,1,0,0.2503858024691358
26,0,none,1,1,0,0.2377873563218391
