round,attack,seed,alpha,num_byzantine,test_accuracy
1,none,1,1,0,0.0129
2,none,1,1,0,0.0174
3,none,1,1,0,0.0415
4,none,1,1,0,0.0689
5,none,1,1,0,0.0797
6,none,1,1,0,0.0982
7,none,1,1,0,0.115
8,none,1,1,0,0.1166
9,none,1,1,0,0.128
10,none,1,1,0,0.138
11,none,1,1,0,0.1625
12,none,1,1,0,0.1684
13,none,1,1,0,0.1726
14,none,1,1,0,0.1821
15,none,1,1,0,0.188
16,none,1,1,0,0.2051
17,none,1,1,0,0.2048
18,none,1,1,0,0.206
19,none,1,1,0,0.213
20,none,1,1,0,0.2159
21,none,1,1,0,0.228
22,none,1,1,0,0.2356
23,none,1,1,0,0.2318
24,none,1,1,0,0.2398
25,none,1,1,0,0.2441
26,none,1,1,0,0.2458
27,none,1,1,0,0.2476
28,none,1,1,0,0.2562
29,none,1,1,0,0.2552
30,none,1,1,0,0.2592
31,none,1,1,0,0.2693
32,none,1,1,0,0.2695
33,none,1,1,0,0.2712
34,none,1,1,0,0.2751
35,none,1,1,0,0.2792
36,none,1,1,0,0.2873
37,none,1,1,0,0.2831
38,none,1,1,0,0.2903
39,none,1,1,0,0.2892
40,none,1,1,0,0.2907
41,none,1,1,0,0.2931
42,none,1,1,0,0.2974
43,none,1,1,0,0.3015
44,none,1,1,0,0.2976
45,none,1,1,0,0.3081
46,none,1,1,0,0.309
47,none,1,1,0,0.3132
48,none,1,1,0,0.3175
49,none,1,1,0,0.32
50,none,1,1,0,0.3226
51,none,1,1,0,0.3247
52,none,1,1,0,0.3274
53,none,1,1,0,0.3256
54,none,1,1,0,0.3269
55,none,1,1,0,0.3292
56,none,1,1,0,0.3294
57,none,1,1,0,0.3352
58,none,1,1,0,0.3354
59,none,1,1,0,0.341
60,none,1,1,0,0.3435
61,none,1,1,0,0.3383
62,none,1,1,0,0.34
63,none,1,1,0,0.3481
64,none,1,1,0,0.3508
65,none,1,1,0,0.351
66,none,1,1,0,0.3464
67,none,1,1,0,0.3536
68,none,1,1,0,0.3561
69,none,1,1,0,0.3569
70,none,1,1,0,0.3554
71,none,1,1,0,0.3586
72,none,1,1,0,0.3596
73,none,1,1,0,0.3653
74,none,1,1,0,0.3685
75,none,1,1,0,0.3705
76,none,1,1,0,0.3691
77,none,1,1,0,0.3719
78,none,1,1,0,0.3703
79,none,1,1,0,0.3754
80,none,1,1,0,0.3747
81,none,1,1,0,0.3816
82,none,1,1,0,0.3805
83,none,1,1,0,0.3797
84,none,1,1,0,0.3796
85,none,1,1,0,0.387
86,none,1,1,0,0.3839
87,none,1,1,0,0.3828
88,none,1,1,0,0.385
89,none,1,1,0,0.3868
90,none,1,1,0,0.3877
91,none,1,1,0,0.3913
92,none,1,1,0,0.3859
93,none,1,1,0,0.3957
94,none,1,1,0,0.3912
95,none,1,1,0,0.3925
96,none,1,1,0,0.3954
97,none,1,1,0,0.4002
98,none,1,1,0,0.3997
99,none,1,1,0,0.403
100,none,1,1,0,0.4072
