round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,orthogonal_gaussian,1,0.5,1,0.10059931506849315
1,1,orthogonal_gaussian,1,0.5,1,0.10349264705882352
1,2,orthogonal_gaussian,1,0.5,1,0.09635416666666667
1,3,orthogonal_gaussian,1,0.5,1,0.10379464285714286
1,4,orthogonal_gaussian,1,0.5,1,0.07981418918918919
1,5,orthogonal_gaussian,1,0.5,1,0.08453947368421053
1,6,orthogonal_gaussian,1,0.5,1,0.10431338028169014
1,7,orthogonal_gaussian,1,0.5,1,0.09136284722222222
1,8,orthogonal_gaussian,1,0.5,1,0.07954545454545454
1,9,orthogonal_gaussian,1,0.5,1,0.08902616279069768
2,0,orthogonal_gaussian,1,0.5,1,0.12178938356164383
2,1,orthogonal_gaussian,1,0.5,1,0.1411764705882353
2,2,orthogonal_gaussian,1,0.5,1,0.12425595238095238
2,3,orthogonal_gaussian,1,0.5,1,0.15513392857142858
2,4,orthogonal_gaussian,1,0.5,1,0.06756756756756757
2,5,orthogonal_gaussian,1,0.5,1,0.0868421052631579
2,6,orthogonal_gaussian,1,0.5,1,0.12279929577464789
2,7,orthogonal_gaussian,1,0.5,1,0.1362847222222222
2,8,orthogonal_gaussian,1,0.5,1,0.11434659090909091
2,9,orthogonal_gaussian,1,0.5,1,0.1224563953488372
3,0,orthogonal_gaussian,1,0.5,1,0.13142123287671234
3,1,orthogonal_gaussian,1,0.5,1,0.14963235294117647
3,2,orthogonal_gaussian,1,0.5,1,0.12816220238095238
3,3,orthogonal_gaussian,1,0.5,1,0.1611607142857143
3,4,orthogonal_gaussian,1,0.5,1,0.10874155405405406
3,5,orthogonal_gaussian,1,0.5,1,0.11118421052631579
3,6,orthogonal_gaussian,1,0.5,1,0.1327024647887324
3,7,orthogonal_gaussian,1,0.5,1,0.1330295138888889
3,8,orthogonal_gaussian,1,0.5,1,0.11931818181818182
3,9,orthogonal_gaussian,1,0.5,1,0.1373546511627907
4,0,orthogonal_gaussian,1,0.5,1,0.1618150684931507
4,1,orthogonal_gaussian,1,0.5,1,0.16231617647058824
4,2,orthogonal_gaussian,1,0.5,1,0.14639136904761904
4,3,orthogonal_gaussian,1,0.5,1,0.18125
4,4,orthogonal_gaussian,1,0.5,1,0.11169763513513513
4,5,orthogonal_gaussian,1,0.5,1,0.12730263157894736
4,6,orthogonal_gaussian,1,0.5,1,0.1467869718309859
4,7,orthogonal_gaussian,1,0.5,1,0.16276041666666666
4,8,orthogonal_gaussian,1,0.5,1,0.12168560606060606
4,9,orthogonal_gaussian,1,0.5,1,0.10356104651162791
5,0,orthogonal_gaussian,1,0.5,1,0.14897260273972604
5,1,orthogonal_gaussian,1,0.5,1,0.17150735294117647
5,2,orthogonal_gaussian,1,0.5,1,0.15383184523809523
5,3,orthogonal_gaussian,1,0.5,1,0.19330357142857144
5,4,orthogonal_gaussian,1,0.5,1,0.12985641891891891
5,5,orthogonal_gaussian,1,0.5,1,0.14161184210526315
5,6,orthogonal_gaussian,1,0.5,1,0.18441901408450703
5,7,orthogonal_gaussian,1,0.5,1,0.1558159722222222
5,8,orthogonal_gaussian,1,0.5,1,0.13683712121212122
5,9,orthogonal_gaussian,1,0.5,1,0.15079941860465115
6,0,orthogonal_gaussian,1,0.5,1,0.02461472602739726
6,1,orthogonal_gaussian,1,0.5,1,0.1854779411764706
6,2,orthogonal_gaussian,1,0.5,1,0.17243303571428573
6,3,orthogonal_gaussian,1,0.5,1,0.19620535714285714
6,4,orthogonal_gaussian,1,0.5,1,0.13661317567567569
6,5,orthogonal_gaussian,1,0.5,1,0.15032894736842106
6,6,orthogonal_gaussian,1,0.5,1,0.17209507042253522
6,7,orthogonal_gaussian,1,0.5,1,0.18663194444444445
6,8,orthogonal_gaussian,1,0.5,1,0.13991477272727273
6,9,orthogonal_gaussian,1,0.5,1,0.16042877906976744
7,0,orthogonal_gaussian,1,0.5,1,0.02504280821917808
7,1,orthogonal_gaussian,1,0.5,1,0.022058823529411766
