round,attack,seed,alpha,num_byzantine,test_accuracy
1,orthogonal_gaussian,1,0.5,1,0.0106
2,orthogonal_gaussian,1,0.5,1,0.0212
3,orthogonal_gaussian,1,0.5,1,0.0371
4,orthogonal_gaussian,1,0.5,1,0.0571
5,orthogonal_gaussian,1,0.5,1,0.0723
6,orthogonal_gaussian,1,0.5,1,0.01
7,orthogonal_gaussian,1,0.5,1,0.0102
8,orthogonal_gaussian,1,0.5,1,0.0091
9,orthogonal_gaussian,1,0.5,1,0.0099
10,orthogonal_gaussian,1,0.5,1,0.0078
11,orthogonal_gaussian,1,0.5,1,0.009
12,orthogonal_gaussian,1,0.5,1,0.0087
13,orthogonal_gaussian,1,0.5,1,0.0114
14,orthogonal_gaussian,1,0.5,1,0.0084
15,orthogonal_gaussian,1,0.5,1,0.0101
16,orthogonal_gaussian,1,0.5,1,0.0093
17,orthogonal_gaussian,1,0.5,1,0.0088
18,orthogonal_gaussian,1,0.5,1,0.0092
19,orthogonal_gaussian,1,0.5,1,0.0111
20,orthogonal_gaussian,1,0.5,1,0.0101
21,orthogonal_gaussian,1,0.5,1,0.0109
22,orthogonal_gaussian,1,0.5,1,0.0097
23,orthogonal_gaussian,1,0.5,1,0.0144
24,orthogonal_gaussian,1,0.5,1,0.0123
25,orthogonal_gaussian,1,0.5,1,0.0129
26,orthogonal_gaussian,1,0.5,1,0.0129
27,orthogonal_gaussian,1,0.5,1,0.0117
28,orthogonal_gaussian,1,0.5,1,0.0106
29,orthogonal_gaussian,1,0.5,1,0.0086
30,orthogonal_gaussian,1,0.5,1,0.0083
31,orthogonal_gaussian,1,0.5,1,0.0104
32,orthogonal_gaussian,1,0.5,1,0.0076
33,orthogonal_gaussian,1,0.5,1,0.0099
34,orthogonal_gaussian,1,0.5,1,0.0134
35,orthogonal_gaussian,1,0.5,1,0.0088
36,orthogonal_gaussian,1,0.5,1,0.011
37,orthogonal_gaussian,1,0.5,1,0.0095
38,orthogonal_gaussian,1,0.5,1,0.0078
39,orthogonal_gaussian,1,0.5,1,0.0084
40,orthogonal_gaussian,1,0.5,1,0.0083
41,orthogonal_gaussian,1,0.5,1,0.0134
42,orthogonal_gaussian,1,0.5,1,0.0085
43,orthogonal_gaussian,1,0.5,1,0.0053
44,orthogonal_gaussian,1,0.5,1,0.0094
45,orthogonal_gaussian,1,0.5,1,0.0078
46,orthogonal_gaussian,1,0.5,1,0.0132
47,orthogonal_gaussian,1,0.5,1,0.0101
48,orthogonal_gaussian,1,0.5,1,0.0085
49,orthogonal_gaussian,1,0.5,1,0.009
50,orthogonal_gaussian,1,0.5,1,0.0103
51,orthogonal_gaussian,1,0.5,1,0.0124
52,orthogonal_gaussian,1,0.5,1,0.0085
53,orthogonal_gaussian,1,0.5,1,0.0105
54,orthogonal_gaussian,1,0.5,1,0.0107
55,orthogonal_gaussian,1,0.5,1,0.0095
56,orthogonal_gaussian,1,0.5,1,0.0103
57,orthogonal_gaussian,1,0.5,1,0.0093
58,orthogonal_gaussian,1,0.5,1,0.0086
59,orthogonal_gaussian,1,0.5,1,0.0104
60,orthogonal_gaussian,1,0.5,1,0.0128
61,orthogonal_gaussian,1,0.5,1,0.0119
62,orthogonal_gaussian,1,0.5,1,0.0103
63,orthogonal_gaussian,1,0.5,1,0.0101
64,orthogonal_gaussian,1,0.5,1,0.0097
65,orthogonal_gaussian,1,0.5,1,0.0086
66,orthogonal_gaussian,1,0.5,1,0.008
67,orthogonal_gaussian,1,0.5,1,0.009
68,orthogonal_gaussian,1,0.5,1,0.0136
69,orthogonal_gaussian,1,0.5,1,0.0131
70,orthogonal_gaussian,1,0.5,1,0.015
71,orthogonal_gaussian,1,0.5,1,0.0116
72,orthogonal_gaussian,1,0.5,1,0.0094
73,orthogonal_gaussian,1,0.5,1,0.0099
74,orthogonal_gaussian,1,0.5,1,0.0101
75,orthogonal_gaussian,1,0.5,1,0.0102
76,orthogonal_gaussian,1,0.5,1,0.0096
77,orthogonal_gaussian,1,0.5,1,0.0098
78,orthogonal_gaussian,1,0.5,1,0.0105
79,orthogonal_gaussian,1,0.5,1,0.0106
80,orthogonal_gaussian,1,0.5,1,0.0102
81,orthogonal_gaussian,1,0.5,1,0.015
82,orthogonal_gaussian,1,0.5,1,0.0109
83,orthogonal_gaussian,1,0.5,1,0.0113
84,orthogonal_gaussian,1,0.5,1,0.0122
85,orthogonal_gaussian,1,0.5,1,0.0108
86,orthogonal_gaussian,1,0.5,1,0.0118
87,orthogonal_gaussian,1,0.5,1,0.0107
88,orthogonal_gaussian,1,0.5,1,0.0132
89,orthogonal_gaussian,1,0.5,1,0.0092
90,orthogonal_gaussian,1,0.5,1,0.0092
91,orthogonal_gaussian,1,0.5,1,0.0081
92,orthogonal_gaussian,1,0.5,1,0.0095
93,orthogonal_gaussian,1,0.5,1,0.0096
94,orthogonal_gaussian,1,0.5,1,0.0108
95,orthogonal_gaussian,1,0.5,1,0.0103
96,orthogonal_gaussian,1,0.5,1,0.015
97,orthogonal_gaussian,1,0.5,1,0.0097
98,orthogonal_gaussian,1,0.5,1,0.0099
99,orthogonal_gaussian,1,0.5,1,0.0108
100,orthogonal_gaussian,1,0.5,1,0.0107
