round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,random,1,0.5,2,0.10059931506849315
1,1,random,1,0.5,2,0.10349264705882352
1,2,random,1,0.5,2,0.09635416666666667
1,3,random,1,0.5,2,0.09665178571428572
1,4,random,1,0.5,2,0.07981418918918919
1,5,random,1,0.5,2,0.08453947368421053
1,6,random,1,0.5,2,0.10431338028169014
1,7,random,1,0.5,2,0.09136284722222222
1,8,random,1,0.5,2,0.07954545454545454
1,9,random,1,0.5,2,0.08884447674418605
2,0,random,1,0.5,2,0.125
2,1,random,1,0.5,2,0.15735294117647058
2,2,random,1,0.5,2,0.12816220238095238
2,3,random,1,0.5,2,0.13683035714285716
2,4,random,1,0.5,2,0.10620777027027027
2,5,random,1,0.5,2,0.08223684210526316
2,6,random,1,0.5,2,0.11421654929577464
2,7,random,1,0.5,2,0.1369357638888889
2,8,random,1,0.5,2,0.11600378787878787
2,9,random,1,0.5,2,0.12390988372093023
3,0,random,1,0.5,2,0.12992294520547945
3,1,random,1,0.5,2,0.16084558823529413
3,2,random,1,0.5,2,0.15736607142857142
3,3,random,1,0.5,2,0.16071428571428573
3,4,random,1,0.5,2,0.12141047297297297
3,5,random,1,0.5,2,0.11134868421052632
3,6,random,1,0.5,2,0.1463468309859155
3,7,random,1,0.5,2,0.14453125
3,8,random,1,0.5,2,0.12026515151515152
3,9,random,1,0.5,2,0.11264534883720931
4,0,random,1,0.5,2,0.1637414383561644
4,1,random,1,0.5,2,0.17573529411764705
4,2,random,1,0.5,2,0.17373511904761904
4,3,random,1,0.5,2,0.175
4,4,random,1,0.5,2,0.11085304054054054
4,5,random,1,0.5,2,0.1399671052631579
4,6,random,1,0.5,2,0.15404929577464788
4,7,random,1,0.5,2,0.13736979166666666
4,8,random,1,0.5,2,0.12571022727272727
4,9,random,1,0.5,2,0.09593023255813954
5,0,random,1,0.5,2,0.1521832191780822
5,1,random,1,0.5,2,0.16746323529411763
5,2,random,1,0.5,2,0.18489583333333334
5,3,random,1,0.5,2,0.1888392857142857
5,4,random,1,0.5,2,0.125
5,5,random,1,0.5,2,0.14259868421052632
5,6,random,1,0.5,2,0.1850792253521127
5,7,random,1,0.5,2,0.1694878472222222
5,8,random,1,0.5,2,0.12547348484848486
5,9,random,1,0.5,2,0.1647892441860465
6,0,random,1,0.5,2,0.0547945205479452
6,1,random,1,0.5,2,0.06985294117647059
6,2,random,1,0.5,2,0.17782738095238096
6,3,random,1,0.5,2,0.20133928571428572
6,4,random,1,0.5,2,0.15308277027027026
6,5,random,1,0.5,2,0.15213815789473684
6,6,random,1,0.5,2,0.17847711267605634
6,7,random,1,0.5,2,0.1714409722222222
6,8,random,1,0.5,2,0.15175189393939395
6,9,random,1,0.5,2,0.15534156976744187
7,0,random,1,0.5,2,0.06014554794520548
7,1,random,1,0.5,2,0.0625
7,2,random,1,0.5,2,0.17485119047619047
7,3,random,1,0.5,2,0.19419642857142858
7,4,random,1,0.5,2,0.14442567567567569
7,5,random,1,0.5,2,0.1300986842105263
7,6,random,1,0.5,2,0.17891725352112675
7,7,random,1,0.5,2,0.18641493055555555
7,8,random,1,0.5,2,0.12973484848484848
