round,attack,seed,alpha,num_byzantine,test_accuracy
1,random,1,0.5,2,0.01
2,random,1,0.5,2,0.018
3,random,1,0.5,2,0.039
4,random,1,0.5,2,0.0552
5,random,1,0.5,2,0.0843
6,random,1,0.5,2,0.0813
7,random,1,0.5,2,0.0844
8,random,1,0.5,2,0.1051
9,random,1,0.5,2,0.1213
10,random,1,0.5,2,0.1252
11,random,1,0.5,2,0.1299
12,random,1,0.5,2,0.1448
13,random,1,0.5,2,0.1453
14,random,1,0.5,2,0.1575
15,random,1,0.5,2,0.1544
16,random,1,0.5,2,0.1675
17,random,1,0.5,2,0.1772
18,random,1,0.5,2,0.1771
19,random,1,0.5,2,0.1852
20,random,1,0.5,2,0.1926
21,random,1,0.5,2,0.2024
22,random,1,0.5,2,0.1975
23,random,1,0.5,2,0.2026
24,random,1,0.5,2,0.2196
25,random,1,0.5,2,0.2219
26,random,1,0.5,2,0.2235
27,random,1,0.5,2,0.2282
28,random,1,0.5,2,0.2347
29,random,1,0.5,2,0.2346
30,random,1,0.5,2,0.24
31,random,1,0.5,2,0.2444
32,random,1,0.5,2,0.2466
33,random,1,0.5,2,0.247
34,random,1,0.5,2,0.2491
35,random,1,0.5,2,0.2497
36,random,1,0.5,2,0.2524
37,random,1,0.5,2,0.2543
38,random,1,0.5,2,0.2588
39,random,1,0.5,2,0.2635
40,random,1,0.5,2,0.2622
41,random,1,0.5,2,0.2684
42,random,1,0.5,2,0.2696
43,random,1,0.5,2,0.2732
44,random,1,0.5,2,0.2758
45,random,1,0.5,2,0.2779
46,random,1,0.5,2,0.2821
47,random,1,0.5,2,0.2881
48,random,1,0.5,2,0.2874
49,random,1,0.5,2,0.2846
50,random,1,0.5,2,0.2854
51,random,1,0.5,2,0.2877
52,random,1,0.5,2,0.2895
53,random,1,0.5,2,0.2907
54,random,1,0.5,2,0.2976
55,random,1,0.5,2,0.2989
56,random,1,0.5,2,0.2974
57,random,1,0.5,2,0.3056
58,random,1,0.5,2,0.3079
59,random,1,0.5,2,0.3061
60,random,1,0.5,2,0.3109
61,random,1,0.5,2,0.3143
62,random,1,0.5,2,0.3195
63,random,1,0.5,2,0.3158
64,random,1,0.5,2,0.3194
65,random,1,0.5,2,0.3171
66,random,1,0.5,2,0.3162
67,random,1,0.5,2,0.3205
68,random,1,0.5,2,0.3249
69,random,1,0.5,2,0.3261
70,random,1,0.5,2,0.3294
71,random,1,0.5,2,0.3259
72,random,1,0.5,2,0.3286
73,random,1,0.5,2,0.3296
74,random,1,0.5,2,0.3294
75,random,1,0.5,2,0.328
76,random,1,0.5,2,0.3384
77,random,1,0.5,2,0.3298
78,random,1,0.5,2,0.3365
79,random,1,0.5,2,0.338
80,random,1,0.5,2,0.34
81,random,1,0.5,2,0.3414
82,random,1,0.5,2,0.3409
83,random,1,0.5,2,0.3439
84,random,1,0.5,2,0.3482
85,random,1,0.5,2,0.351
86,random,1,0.5,2,0.3517
87,random,1,0.5,2,0.3485
88,random,1,0.5,2,0.3527
89,random,1,0.5,2,0.3555
90,random,1,0.5,2,0.3536
91,random,1,0.5,2,0.3535
92,random,1,0.5,2,0.359
93,random,1,0.5,2,0.3621
94,random,1,0.5,2,0.3571
95,random,1,0.5,2,0.3581
96,random,1,0.5,2,0.3562
97,random,1,0.5,2,0.3569
98,random,1,0.5,2,0.3574
99,random,1,0.5,2,0.3591
100,random,1,0.5,2,0.3621
