round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,scaling,1,0.5,1,0.10059931506849315
1,1,scaling,1,0.5,1,0.10349264705882352
1,2,scaling,1,0.5,1,0.09635416666666667
1,3,scaling,1,0.5,1,0.10357142857142858
1,4,scaling,1,0.5,1,0.07981418918918919
1,5,scaling,1,0.5,1,0.08453947368421053
1,6,scaling,1,0.5,1,0.10431338028169014
1,7,scaling,1,0.5,1,0.09136284722222222
1,8,scaling,1,0.5,1,0.07954545454545454
1,9,scaling,1,0.5,1,0.08902616279069768
2,0,scaling,1,0.5,1,0.13356164383561644
2,1,scaling,1,0.5,1,0.17113970588235294
2,2,scaling,1,0.5,1,0.13113839285714285
2,3,scaling,1,0.5,1,0.16339285714285715
2,4,scaling,1,0.5,1,0.10029560810810811
2,5,scaling,1,0.5,1,0.09111842105263158
2,6,scaling,1,0.5,1,0.1192781690140845
2,7,scaling,1,0.5,1,0.1506076388888889
2,8,scaling,1,0.5,1,0.10203598484848485
2,9,scaling,1,0.5,1,0.11773255813953488
3,0,scaling,1,0.5,1,0.1500428082191781
3,1,scaling,1,0.5,1,0.15551470588235294
3,2,scaling,1,0.5,1,0.14750744047619047
3,3,scaling,1,0.5,1,0.175
3,4,scaling,1,0.5,1,0.11613175675675676
3,5,scaling,1,0.5,1,0.11858552631578947
3,6,scaling,1,0.5,1,0.1542693661971831
3,7,scaling,1,0.5,1,0.134765625
3,8,scaling,1,0.5,1,0.12334280303030302
3,9,scaling,1,0.5,1,0.11900436046511628
4,0,scaling,1,0.5,1,0.15560787671232876
4,1,scaling,1,0.5,1,0.18290441176470587
4,2,scaling,1,0.5,1,0.14546130952380953
4,3,scaling,1,0.5,1,0.17544642857142856
4,4,scaling,1,0.5,1,0.11549831081081081
4,5,scaling,1,0.5,1,0.12532894736842104
4,6,scaling,1,0.5,1,0.15118838028169015
4,7,scaling,1,0.5,1,0.14952256944444445
4,8,scaling,1,0.5,1,0.1103219696969697
4,9,scaling,1,0.5,1,0.1224563953488372
5,0,scaling,1,0.5,1,0.1778681506849315
5,1,scaling,1,0.5,1,0.17738970588235295
5,2,scaling,1,0.5,1,0.16108630952380953
5,3,scaling,1,0.5,1,0.19508928571428572
5,4,scaling,1,0.5,1,0.13640202702702703
5,5,scaling,1,0.5,1,0.13651315789473684
5,6,scaling,1,0.5,1,0.17473591549295775
5,7,scaling,1,0.5,1,0.1579861111111111
5,8,scaling,1,0.5,1,0.13446969696969696
5,9,scaling,1,0.5,1,0.14444040697674418
6,0,scaling,1,0.5,1,0.02461472602739726
6,1,scaling,1,0.5,1,0.18676470588235294
6,2,scaling,1,0.5,1,0.18582589285714285
6,3,scaling,1,0.5,1,0.19263392857142858
