round,attack,seed,alpha,num_byzantine,test_accuracy
1,signflip,1,0.1,2,0.0093
2,signflip,1,0.1,2,0.0161
3,signflip,1,0.1,2,0.027
4,signflip,1,0.1,2,0.0356
5,signflip,1,0.1,2,0.0519
6,signflip,1,0.1,2,0.0466
7,signflip,1,0.1,2,0.0592
8,signflip,1,0.1,2,0.0671
9,signflip,1,0.1,2,0.0698
10,signflip,1,0.1,2,0.0752
11,signflip,1,0.1,2,0.0772
12,signflip,1,0.1,2,0.0851
13,signflip,1,0.1,2,0.0924
14,signflip,1,0.1,2,0.0906
15,signflip,1,0.1,2,0.0958
16,signflip,1,0.1,2,0.0932
17,signflip,1,0.1,2,0.0936
18,signflip,1,0.1,2,0.0932
19,signflip,1,0.1,2,0.0855
20,signflip,1,0.1,2,0.1
21,signflip,1,0.1,2,0.0841
22,signflip,1,0.1,2,0.0823
23,signflip,1,0.1,2,0.0916
24,signflip,1,0.1,2,0.0838
25,signflip,1,0.1,2,0.0875
26,signflip,1,0.1,2,0.0792
27,signflip,1,0.1,2,0.0999
28,signflip,1,0.1,2,0.0993
29,signflip,1,0.1,2,0.103
30,signflip,1,0.1,2,0.0965
31,signflip,1,0.1,2,0.1006
32,signflip,1,0.1,2,0.0945
33,signflip,1,0.1,2,0.0961
34,signflip,1,0.1,2,0.1097
35,signflip,1,0.1,2,0.1143
36,signflip,1,0.1,2,0.1161
37,signflip,1,0.1,2,0.1236
38,signflip,1,0.1,2,0.0917
39,signflip,1,0.1,2,0.1105
40,signflip,1,0.1,2,0.1223
41,signflip,1,0.1,2,0.0917
42,signflip,1,0.1,2,0.0984
43,signflip,1,0.1,2,0.1006
44,signflip,1,0.1,2,0.116
45,signflip,1,0.1,2,0.1033
46,signflip,1,0.1,2,0.0831
47,signflip,1,0.1,2,0.0922
48,signflip,1,0.1,2,0.0931
49,signflip,1,0.1,2,0.0857
50,signflip,1,0.1,2,0.1061
51,signflip,1,0.1,2,0.1006
52,signflip,1,0.1,2,0.0854
53,signflip,1,0.1,2,0.0913
54,signflip,1,0.1,2,0.0743
55,signflip,1,0.1,2,0.1057
56,signflip,1,0.1,2,0.0877
57,signflip,1,0.1,2,0.0803
58,signflip,1,0.1,2,0.1201
59,signflip,1,0.1,2,0.1007
60,signflip,1,0.1,2,0.0773
61,signflip,1,0.1,2,0.1022
62,signflip,1,0.1,2,0.0471
63,signflip,1,0.1,2,0.093
64,signflip,1,0.1,2,0.0825
65,signflip,1,0.1,2,0.0922
66,signflip,1,0.1,2,0.0539
67,signflip,1,0.1,2,0.0946
68,signflip,1,0.1,2,0.046
69,signflip,1,0.1,2,0.0567
70,signflip,1,0.1,2,0.0576
71,signflip,1,0.1,2,0.0794
72,signflip,1,0.1,2,0.0732
73,signflip,1,0.1,2,0.0788
74,signflip,1,0.1,2,0.0474
75,signflip,1,0.1,2,0.0753
76,signflip,1,0.1,2,0.0268
77,signflip,1,0.1,2,0.0873
78,signflip,1,0.1,2,0.0617
79,signflip,1,0.1,2,0.0703
80,signflip,1,0.1,2,0.0569
81,signflip,1,0.1,2,0.0696
82,signflip,1,0.1,2,0.0765
83,signflip,1,0.1,2,0.0399
84,signflip,1,0.1,2,0.0618
85,signflip,1,0.1,2,0.0319
86,signflip,1,0.1,2,0.0325
87,signflip,1,0.1,2,0.0398
88,signflip,1,0.1,2,0.0416
89,signflip,1,0.1,2,0.0443
90,signflip,1,0.1,2,0.0379
91,signflip,1,0.1,2,0.0403
92,signflip,1,0.1,2,0.0242
93,signflip,1,0.1,2,0.0545
94,signflip,1,0.1,2,0.0413
95,signflip,1,0.1,2,0.0501
96,signflip,1,0.1,2,0.0468
97,signflip,1,0.1,2,0.0355
98,signflip,1,0.1,2,0.0224
99,signflip,1,0.1,2,0.0316
100,signflip,1,0.1,2,0.0293
