round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,signflip,1,1.0,2,0.08153735632183907
1,1,signflip,1,1.0,2,0.07495777027027027
1,2,signflip,1,1.0,2,0.059533227848101264
1,3,signflip,1,1.0,2,0.07645833333333334
1,4,signflip,1,1.0,2,0.08471385542168675
1,5,signflip,1,1.0,2,0.07318037974683544
1,6,signflip,1,1.0,2,0.09604166666666666
1,7,signflip,1,1.0,2,0.06983901515151515
1,8,signflip,1,1.0,2,0.09415584415584416
1,9,signflip,1,1.0,2,0.0943287037037037
2,0,signflip,1,1.0,2,0.08818247126436782
2,1,signflip,1,1.0,2,0.0929054054054054
2,2,signflip,1,1.0,2,0.07990506329113924
2,3,signflip,1,1.0,2,0.07770833333333334
2,4,signflip,1,1.0,2,0.08019578313253012
2,5,signflip,1,1.0,2,0.09276107594936708
2,6,signflip,1,1.0,2,0.11166666666666666
2,7,signflip,1,1.0,2,0.09375
2,8,signflip,1,1.0,2,0.09943181818181818
2,9,signflip,1,1.0,2,0.09953703703703703
3,0,signflip,1,1.0,2,0.08045977011494253
3,1,signflip,1,1.0,2,0.11402027027027027
3,2,signflip,1,1.0,2,0.10284810126582279
3,3,signflip,1,1.0,2,0.0975
3,4,signflip,1,1.0,2,0.10523343373493976
3,5,signflip,1,1.0,2,0.11115506329113924
3,6,signflip,1,1.0,2,0.126875
3,7,signflip,1,1.0,2,0.09398674242424243
3,8,signflip,1,1.0,2,0.11607142857142858
3,9,signflip,1,1.0,2,0.10609567901234568
4,0,signflip,1,1.0,2,0.11673850574712644
4,1,signflip,1,1.0,2,0.1258445945945946
4,2,signflip,1,1.0,2,0.11570411392405064
4,3,signflip,1,1.0,2,0.11666666666666667
4,4,signflip,1,1.0,2,0.11088102409638555
4,5,signflip,1,1.0,2,0.10977056962025317
4,6,signflip,1,1.0,2,0.11
4,7,signflip,1,1.0,2,0.12665719696969696
4,8,signflip,1,1.0,2,0.12459415584415584
4,9,signflip,1,1.0,2,0.13290895061728394
5,0,signflip,1,1.0,2,0.12033045977011494
5,1,signflip,1,1.0,2,0.12141047297297297
5,2,signflip,1,1.0,2,0.12084651898734178
5,3,signflip,1,1.0,2,0.11791666666666667
5,4,signflip,1,1.0,2,0.12594126506024098
5,5,signflip,1,1.0,2,0.11016613924050633
5,6,signflip,1,1.0,2,0.16145833333333334
5,7,signflip,1,1.0,2,0.11482007575757576
5,8,signflip,1,1.0,2,0.14853896103896103
5,9,signflip,1,1.0,2,0.12885802469135801
6,0,signflip,1,1.0,2,0.008620689655172414
6,1,signflip,1,1.0,2,0.009079391891891891
6,2,signflip,1,1.0,2,0.1216376582278481
6,3,signflip,1,1.0,2,0.111875
6,4,signflip,1,1.0,2,0.15192018072289157
6,5,signflip,1,1.0,2,0.13469145569620253
6,6,signflip,1,1.0,2,0.14770833333333333
6,7,signflip,1,1.0,2,0.13825757575757575
6,8,signflip,1,1.0,2,0.16233766233766234
6,9,signflip,1,1.0,2,0.1284722222222222
7,0,signflip,1,1.0,2,0.011135057471264368
7,1,signflip,1,1.0,2,0.006123310810810811
7,2,signflip,1,1.0,2,0.12321993670886076
7,3,signflip,1,1.0,2,0.148125
7,4,signflip,1,1.0,2,0.15173192771084337
7,5,signflip,1,1.0,2,0.12875791139240506
7,6,signflip,1,1.0,2,0.15625
7,7,signflip,1,1.0,2,0.11387310606060606
7,8,signflip,1,1.0,2,0.12094155844155845
7,9,signflip,1,1.0,2,0.1394675925925926
8,0,signflip,1,1.0,2,0.010775862068965518
8,1,signflip,1,1.0,2,0.01245777027027027
8,2,signflip,1,1.0,2,0.142998417721519
8,3,signflip,1,1.0,2,0.153125
8,4,signflip,1,1.0,2,0.15681475903614459
8,5,signflip,1,1.0,2,0.1461629746835443
8,6,signflip,1,1.0,2,0.161875
8,7,signflip,1,1.0,2,0.12902462121212122
8,8,signflip,1,1.0,2,0.17918019480519481
8,9,signflip,1,1.0,2,0.13252314814814814
9,0,signflip,1,1.0,2,0.004849137931034483
9,1,signflip,1,1.0,2,0.002533783783783784
9,2,signflip,1,1.0,2,0.13844936708860758
9,3,signflip,1,1.0,2,0.14291666666666666
9,4,signflip,1,1.0,2,0.15267319277108435
9,5,signflip,1,1.0,2,0.1439873417721519
9,6,signflip,1,1.0,2,0.14458333333333334
9,7,signflip,1,1.0,2,0.14512310606060605
9,8,signflip,1,1.0,2,0.1424512987012987
9,9,signflip,1,1.0,2,0.15856481481481483
10,0,signflip,1,1.0,2,0.008800287356321839
10,1,signflip,1,1.0,2,0.005489864864864865
10,2,signflip,1,1.0,2,0.14240506329113925
10,3,signflip,1,1.0,2,0.14270833333333333
10,4,signflip,1,1.0,2,0.14533132530120482
10,5,signflip,1,1.0,2,0.1661392405063291
10,6,signflip,1,1.0,2,0.18708333333333332
10,7,signflip,1,1.0,2,0.14464962121212122
10,8,signflip,1,1.0,2,0.16416396103896103
10,9,signflip,1,1.0,2,0.15895061728395063
11,0,signflip,1,1.0,2,0.0077227011494252875
11,1,signflip,1,1.0,2,0.007390202702702703
11,2,signflip,1,1.0,2,0.15407436708860758
11,3,signflip,1,1.0,2,0.158125
11,4,signflip,1,1.0,2,0.16396837349397592
11,5,signflip,1,1.0,2,0.17345727848101267
11,6,signflip,1,1.0,2,0.18104166666666666
11,7,signflip,1,1.0,2,0.15482954545454544
11,8,signflip,1,1.0,2,0.16680194805194806
11,9,signflip,1,1.0,2,0.13560956790123457
12,0,signflip,1,1.0,2,0.011494252873563218
12,1,signflip,1,1.0,2,0.012035472972972973
12,2,signflip,1,1.0,2,0.16119462025316456
12,3,signflip,1,1.0,2,0.15520833333333334
12,4,signflip,1,1.0,2,0.18411144578313254
12,5,signflip,1,1.0,2,0.1663370253164557
12,6,signflip,1,1.0,2,0.20166666666666666
12,7,signflip,1,1.0,2,0.171875
12,8,signflip,1,1.0,2,0.2015016233766234
12,9,signflip,1,1.0,2,0.17824074074074073
13,0,signflip,1,1.0,2,0.0073635057471264365
13,1,signflip,1,1.0,2,0.013302364864864864
13,2,signflip,1,1.0,2,0.15783227848101267
13,3,signflip,1,1.0,2,0.17520833333333333
13,4,signflip,1,1.0,2,0.17601656626506024
13,5,signflip,1,1.0,2,0.1663370253164557
13,6,signflip,1,1.0,2,0.18895833333333334
13,7,signflip,1,1.0,2,0.16879734848484848
13,8,signflip,1,1.0,2,0.18120941558441558
13,9,signflip,1,1.0,2,0.1574074074074074
14,0,signflip,1,1.0,2,0.024964080459770114
14,1,signflip,1,1.0,2,0.007390202702702703
14,2,signflip,1,1.0,2,0.1649525316455696
14,3,signflip,1,1.0,2,0.13916666666666666
14,4,signflip,1,1.0,2,0.17564006024096385
14,5,signflip,1,1.0,2,0.16337025316455697
14,6,signflip,1,1.0,2,0.196875
14,7,signflip,1,1.0,2,0.1621685606060606
14,8,signflip,1,1.0,2,0.1846590909090909
14,9,signflip,1,1.0,2,0.16030092592592593
15,0,signflip,1,1.0,2,0.009698275862068966
15,1,signflip,1,1.0,2,0.013091216216216216
15,2,signflip,1,1.0,2,0.16574367088607594
15,3,signflip,1,1.0,2,0.19729166666666667
15,4,signflip,1,1.0,2,0.20877259036144577
15,5,signflip,1,1.0,2,0.17207278481012658
15,6,signflip,1,1.0,2,0.21125
15,7,signflip,1,1.0,2,0.17945075757575757
15,8,signflip,1,1.0,2,0.22301136363636365
15,9,signflip,1,1.0,2,0.18287037037037038
16,0,signflip,1,1.0,2,0.018318965517241378
16,1,signflip,1,1.0,2,0.0078125
16,2,signflip,1,1.0,2,0.18492879746835442
16,3,signflip,1,1.0,2,0.20604166666666668
16,4,signflip,1,1.0,2,0.19578313253012047
16,5,signflip,1,1.0,2,0.19501582278481014
16,6,signflip,1,1.0,2,0.195
16,7,signflip,1,1.0,2,0.18797348484848486
16,8,signflip,1,1.0,2,0.22179383116883117
16,9,signflip,1,1.0,2,0.17766203703703703
17,0,signflip,1,1.0,2,0.017061781609195404
17,1,signflip,1,1.0,2,0.016047297297297296
17,2,signflip,1,1.0,2,0.18334651898734178
17,3,signflip,1,1.0,2,0.198125
17,4,signflip,1,1.0,2,0.2053840361445783
17,5,signflip,1,1.0,2,0.1663370253164557
17,6,signflip,1,1.0,2,0.22020833333333334
17,7,signflip,1,1.0,2,0.18205492424242425
17,8,signflip,1,1.0,2,0.22077922077922077
17,9,signflip,1,1.0,2,0.19251543209876543
18,0,signflip,1,1.0,2,0.015625
18,1,signflip,1,1.0,2,0.011824324324324325
18,2,signflip,1,1.0,2,0.17405063291139242
18,3,signflip,1,1.0,2,0.19354166666666667
18,4,signflip,1,1.0,2,0.21969126506024098
18,5,signflip,1,1.0,2,0.1962025316455696
18,6,signflip,1,1.0,2,0.22583333333333333
18,7,signflip,1,1.0,2,0.15411931818181818
18,8,signflip,1,1.0,2,0.23031655844155843
18,9,signflip,1,1.0,2,0.1876929012345679
19,0,signflip,1,1.0,2,0.02173132183908046
19,1,signflip,1,1.0,2,0.020903716216216218
19,2,signflip,1,1.0,2,0.18037974683544303
19,3,signflip,1,1.0,2,0.20645833333333333
19,4,signflip,1,1.0,2,0.22025602409638553
19,5,signflip,1,1.0,2,0.20292721518987342
19,6,signflip,1,1.0,2,0.23208333333333334
19,7,signflip,1,1.0,2,0.16808712121212122
19,8,signflip,1,1.0,2,0.23396915584415584
19,9,signflip,1,1.0,2,0.2173996913580247
20,0,signflip,1,1.0,2,0.007004310344827586
20,1,signflip,1,1.0,2,0.02005912162162162
20,2,signflip,1,1.0,2,0.1875
20,3,signflip,1,1.0,2,0.18666666666666668
20,4,signflip,1,1.0,2,0.2289156626506024
20,5,signflip,1,1.0,2,0.21162974683544303
20,6,signflip,1,1.0,2,0.231875
20,7,signflip,1,1.0,2,0.2040719696969697
20,8,signflip,1,1.0,2,0.21895292207792208
20,9,signflip,1,1.0,2,0.2056327160493827
21,0,signflip,1,1.0,2,0.019755747126436782
21,1,signflip,1,1.0,2,0.019636824324324325
21,2,signflip,1,1.0,2,0.18928006329113925
21,3,signflip,1,1.0,2,0.19041666666666668
21,4,signflip,1,1.0,2,0.2164909638554217
21,5,signflip,1,1.0,2,0.20846518987341772
21,6,signflip,1,1.0,2,0.23708333333333334
21,7,signflip,1,1.0,2,0.20170454545454544
21,8,signflip,1,1.0,2,0.20556006493506493
21,9,signflip,1,1.0,2,0.2197145061728395
22,0,signflip,1,1.0,2,0.014547413793103448
22,1,signflip,1,1.0,2,0.02153716216216216
22,2,signflip,1,1.0,2,0.20213607594936708
22,3,signflip,1,1.0,2,0.209375
22,4,signflip,1,1.0,2,0.22759789156626506
22,5,signflip,1,1.0,2,0.21459651898734178
22,6,signflip,1,1.0,2,0.230625
22,7,signflip,1,1.0,2,0.22182765151515152
22,8,signflip,1,1.0,2,0.22646103896103897
22,9,signflip,1,1.0,2,0.23070987654320987
23,0,signflip,1,1.0,2,0.018857758620689655
23,1,signflip,1,1.0,2,0.01984797297297297
23,2,signflip,1,1.0,2,0.2043117088607595
23,3,signflip,1,1.0,2,0.24041666666666667
23,4,signflip,1,1.0,2,0.21780873493975902
23,5,signflip,1,1.0,2,0.2132120253164557
23,6,signflip,1,1.0,2,0.23270833333333332
23,7,signflip,1,1.0,2,0.20857007575757575
23,8,signflip,1,1.0,2,0.2623782467532468
23,9,signflip,1,1.0,2,0.22376543209876543
24,0,signflip,1,1.0,2,0.028915229885057472
24,1,signflip,1,1.0,2,0.018158783783783782
24,2,signflip,1,1.0,2,0.20727848101265822
24,3,signflip,1,1.0,2,0.19770833333333335
24,4,signflip,1,1.0,2,0.21818524096385541
24,5,signflip,1,1.0,2,0.2088607594936709
24,6,signflip,1,1.0,2,0.2475
24,7,signflip,1,1.0,2,0.21306818181818182
24,8,signflip,1,1.0,2,0.22321428571428573
24,9,signflip,1,1.0,2,0.2204861111111111
25,0,signflip,1,1.0,2,0.02029454022988506
25,1,signflip,1,1.0,2,0.015413851351351352
25,2,signflip,1,1.0,2,0.2118275316455696
25,3,signflip,1,1.0,2,0.20666666666666667
25,4,signflip,1,1.0,2,0.25169427710843373
25,5,signflip,1,1.0,2,0.2310126582278481
25,6,signflip,1,1.0,2,0.26958333333333334
25,7,signflip,1,1.0,2,0.22017045454545456
25,8,signflip,1,1.0,2,0.27455357142857145
25,9,signflip,1,1.0,2,0.23823302469135801
26,0,signflip,1,1.0,2,0.02137212643678161
26,1,signflip,1,1.0,2,0.009079391891891891
26,2,signflip,1,1.0,2,0.23378164556962025
26,3,signflip,1,1.0,2,0.240625
26,4,signflip,1,1.0,2,0.2371987951807229
26,5,signflip,1,1.0,2,0.2221123417721519
26,6,signflip,1,1.0,2,0.265
