round,attack,seed,alpha,num_byzantine,test_accuracy
1,signflip,2,10,1,0.0104
2,signflip,2,10,1,0.0245
3,signflip,2,10,1,0.0446
4,signflip,2,10,1,0.0694
5,signflip,2,10,1,0.0858
6,signflip,2,10,1,0.0916
7,signflip,2,10,1,0.1009
8,signflip,2,10,1,0.122
9,signflip,2,10,1,0.1311
10,signflip,2,10,1,0.1342
11,signflip,2,10,1,0.1505
12,signflip,2,10,1,0.1507
13,signflip,2,10,1,0.1655
14,signflip,2,10,1,0.1831
15,signflip,2,10,1,0.1814
16,signflip,2,10,1,0.1854
17,signflip,2,10,1,0.1915
18,signflip,2,10,1,0.1969
19,signflip,2,10,1,0.2029
20,signflip,2,10,1,0.2067
21,signflip,2,10,1,0.2148
22,signflip,2,10,1,0.2228
23,signflip,2,10,1,0.2221
24,signflip,2,10,1,0.2258
25,signflip,2,10,1,0.2277
26,signflip,2,10,1,0.2329
27,signflip,2,10,1,0.2335
28,signflip,2,10,1,0.2398
29,signflip,2,10,1,0.249
30,signflip,2,10,1,0.2468
31,signflip,2,10,1,0.2449
32,signflip,2,10,1,0.2451
33,signflip,2,10,1,0.2542
34,signflip,2,10,1,0.2635
35,signflip,2,10,1,0.2611
36,signflip,2,10,1,0.261
37,signflip,2,10,1,0.269
38,signflip,2,10,1,0.2664
39,signflip,2,10,1,0.2712
40,signflip,2,10,1,0.2732
41,signflip,2,10,1,0.2755
42,signflip,2,10,1,0.2786
43,signflip,2,10,1,0.2792
44,signflip,2,10,1,0.2849
45,signflip,2,10,1,0.286
46,signflip,2,10,1,0.292
47,signflip,2,10,1,0.2917
48,signflip,2,10,1,0.2946
49,signflip,2,10,1,0.2918
50,signflip,2,10,1,0.3008
51,signflip,2,10,1,0.303
52,signflip,2,10,1,0.3026
53,signflip,2,10,1,0.3144
54,signflip,2,10,1,0.3153
55,signflip,2,10,1,0.3114
56,signflip,2,10,1,0.315
57,signflip,2,10,1,0.3187
58,signflip,2,10,1,0.3225
59,signflip,2,10,1,0.3187
60,signflip,2,10,1,0.3288
61,signflip,2,10,1,0.3194
62,signflip,2,10,1,0.3252
63,signflip,2,10,1,0.3319
64,signflip,2,10,1,0.3263
65,signflip,2,10,1,0.3341
66,signflip,2,10,1,0.331
67,signflip,2,10,1,0.3339
68,signflip,2,10,1,0.3362
69,signflip,2,10,1,0.3377
70,signflip,2,10,1,0.3417
71,signflip,2,10,1,0.3438
72,signflip,2,10,1,0.3486
73,signflip,2,10,1,0.3424
74,signflip,2,10,1,0.35
75,signflip,2,10,1,0.3514
76,signflip,2,10,1,0.3509
77,signflip,2,10,1,0.3475
78,signflip,2,10,1,0.3521
79,signflip,2,10,1,0.364
80,signflip,2,10,1,0.3606
81,signflip,2,10,1,0.364
82,signflip,2,10,1,0.3604
83,signflip,2,10,1,0.3637
84,signflip,2,10,1,0.3684
85,signflip,2,10,1,0.3702
86,signflip,2,10,1,0.3601
87,signflip,2,10,1,0.3685
88,signflip,2,10,1,0.371
89,signflip,2,10,1,0.3668
90,signflip,2,10,1,0.3726
91,signflip,2,10,1,0.3683
92,signflip,2,10,1,0.3717
93,signflip,2,10,1,0.3756
94,signflip,2,10,1,0.377
95,signflip,2,10,1,0.3766
96,signflip,2,10,1,0.3797
97,signflip,2,10,1,0.3783
98,signflip,2,10,1,0.3789
99,signflip,2,10,1,0.3791
100,signflip,2,10,1,0.3881
