round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,signflip,1,10,2,0.03551136363636364
1,1,signflip,1,10,2,0.03022203947368421
1,2,signflip,1,10,2,0.032407407407407406
1,3,signflip,1,10,2,0.0294921875
1,4,signflip,1,10,2,0.03895833333333333
1,5,signflip,1,10,2,0.039754746835443035
1,6,signflip,1,10,2,0.03125
1,7,signflip,1,10,2,0.03896604938271605
1,8,signflip,1,10,2,0.028927364864864864
1,9,signflip,1,10,2,0.0369140625
2,0,signflip,1,10,2,0.06818181818181818
2,1,signflip,1,10,2,0.05633223684210526
2,2,signflip,1,10,2,0.05015432098765432
2,3,signflip,1,10,2,0.05390625
2,4,signflip,1,10,2,0.045625
2,5,signflip,1,10,2,0.0490506329113924
2,6,signflip,1,10,2,0.03788527397260274
2,7,signflip,1,10,2,0.0466820987654321
2,8,signflip,1,10,2,0.05004222972972973
2,9,signflip,1,10,2,0.0623046875
3,0,signflip,1,10,2,0.0716314935064935
3,1,signflip,1,10,2,0.06846217105263158
3,2,signflip,1,10,2,0.06828703703703703
3,3,signflip,1,10,2,0.0580078125
3,4,signflip,1,10,2,0.06416666666666666
3,5,signflip,1,10,2,0.053401898734177215
3,6,signflip,1,10,2,0.05971746575342466
3,7,signflip,1,10,2,0.05478395061728395
3,8,signflip,1,10,2,0.05405405405405406
3,9,signflip,1,10,2,0.0638671875
4,0,signflip,1,10,2,0.08948863636363637
4,1,signflip,1,10,2,0.06599506578947369
4,2,signflip,1,10,2,0.060570987654320986
4,3,signflip,1,10,2,0.063671875
4,4,signflip,1,10,2,0.07875
4,5,signflip,1,10,2,0.06606012658227849
4,6,signflip,1,10,2,0.0605736301369863
4,7,signflip,1,10,2,0.08063271604938271
4,8,signflip,1,10,2,0.05342060810810811
4,9,signflip,1,10,2,0.05625
5,0,signflip,1,10,2,0.08745941558441558
5,1,signflip,1,10,2,0.07462993421052631
5,2,signflip,1,10,2,0.08275462962962964
5,3,signflip,1,10,2,0.07265625
5,4,signflip,1,10,2,0.08166666666666667
5,5,signflip,1,10,2,0.07397151898734178
5,6,signflip,1,10,2,0.0800513698630137
5,7,signflip,1,10,2,0.08024691358024691
5,8,signflip,1,10,2,0.06144425675675676
5,9,signflip,1,10,2,0.0830078125
6,0,signflip,1,10,2,0.020089285714285716
6,1,signflip,1,10,2,0.033717105263157895
