round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,gauss,1,0.5,1,0.10059931506849315
1,1,gauss,1,0.5,1,0.10349264705882352
1,2,gauss,1,0.5,1,0.09635416666666667
1,3,gauss,1,0.5,1,0.10357142857142858
1,4,gauss,1,0.5,1,0.07981418918918919
1,5,gauss,1,0.5,1,0.08453947368421053
1,6,gauss,1,0.5,1,0.10431338028169014
1,7,gauss,1,0.5,1,0.09136284722222222
1,8,gauss,1,0.5,1,0.07954545454545454
1,9,gauss,1,0.5,1,0.08902616279069768
2,0,gauss,1,0.5,1,0.10017123287671233
2,1,gauss,1,0.5,1,0.14650735294117648
2,2,gauss,1,0.5,1,0.1170014880952381
2,3,gauss,1,0.5,1,0.17098214285714286
2,4,gauss,1,0.5,1,0.1015625
2,5,gauss,1,0.5,1,0.09029605263157894
2,6,gauss,1,0.5,1,0.12962147887323944
2,7,gauss,1,0.5,1,0.1506076388888889
2,8,gauss,1,0.5,1,0.09730113636363637
2,9,gauss,1,0.5,1,0.12536337209302326
3,0,gauss,1,0.5,1,0.14190924657534246
3,1,gauss,1,0.5,1,0.15551470588235294
3,2,gauss,1,0.5,1,0.14081101190476192
3,3,gauss,1,0.5,1,0.17946428571428572
3,4,gauss,1,0.5,1,0.10684121621621621
3,5,gauss,1,0.5,1,0.10970394736842105
3,6,gauss,1,0.5,1,0.15184859154929578
3,7,gauss,1,0.5,1,0.13758680555555555
3,8,gauss,1,0.5,1,0.13328598484848486
3,9,gauss,1,0.5,1,0.13390261627906977
4,0,gauss,1,0.5,1,0.15732020547945205
4,1,gauss,1,0.5,1,0.16139705882352942
4,2,gauss,1,0.5,1,0.1644345238095238
4,3,gauss,1,0.5,1,0.18147321428571428
4,4,gauss,1,0.5,1,0.1258445945945946
4,5,gauss,1,0.5,1,0.12335526315789473
4,6,gauss,1,0.5,1,0.15404929577464788
4,7,gauss,1,0.5,1,0.15755208333333334
4,8,gauss,1,0.5,1,0.1268939393939394
4,9,gauss,1,0.5,1,0.1106468023255814
5,0,gauss,1,0.5,1,0.1622431506849315
5,1,gauss,1,0.5,1,0.17591911764705884
5,2,gauss,1,0.5,1,0.16238839285714285
5,3,gauss,1,0.5,1,0.19642857142857142
5,4,gauss,1,0.5,1,0.11296452702702703
5,5,gauss,1,0.5,1,0.12763157894736843
5,6,gauss,1,0.5,1,0.1894806338028169
5,7,gauss,1,0.5,1,0.1742621527777778
5,8,gauss,1,0.5,1,0.13802083333333334
5,9,gauss,1,0.5,1,0.14807412790697674
6,0,gauss,1,0.5,1,0.0062071917808219175
6,1,gauss,1,0.5,1,0.18474264705882354
6,2,gauss,1,0.5,1,0.16815476190476192
6,3,gauss,1,0.5,1,0.1984375
6,4,gauss,1,0.5,1,0.14336993243243243
6,5,gauss,1,0.5,1,0.14144736842105263
6,6,gauss,1,0.5,1,0.15625
6,7,gauss,1,0.5,1,0.17447916666666666
6,8,gauss,1,0.5,1,0.1474905303030303
6,9,gauss,1,0.5,1,0.1769622093023256
7,0,gauss,1,0.5,1,0.0194777397260274
7,1,gauss,1,0.5,1,0.1931985294117647
7,2,gauss,1,0.5,1,0.19419642857142858
7,3,gauss,1,0.5,1,0.19776785714285713
7,4,gauss,1,0.5,1,0.13555743243243243
7,5,gauss,1,0.5,1,0.13421052631578947
7,6,gauss,1,0.5,1,0.17297535211267606
7,7,gauss,1,0.5,1,0.1773003472222222
7,8,gauss,1,0.5,1,0.1434659090909091
7,9,gauss,1,0.5,1,0.16442587209302326
8,0,gauss,1,0.5,1,0.04452054794520548
8,1,gauss,1,0.5,1,0.18235294117647058
8,2,gauss,1,0.5,1,0.18043154761904762
8,3,gauss,1,0.5,1,0.20982142857142858
8,4,gauss,1,0.5,1,0.13619087837837837
8,5,gauss,1,0.5,1,0.14950657894736843
8,6,gauss,1,0.5,1,0.18617957746478872
8,7,gauss,1,0.5,1,0.171875
8,8,gauss,1,0.5,1,0.1512784090909091
8,9,gauss,1,0.5,1,0.1726017441860465
9,0,gauss,1,0.5,1,0.012842465753424657
9,1,gauss,1,0.5,1,0.20863970588235295
9,2,gauss,1,0.5,1,0.1722470238095238
9,3,gauss,1,0.5,1,0.20558035714285713
9,4,gauss,1,0.5,1,0.14083614864864866
9,5,gauss,1,0.5,1,0.1606907894736842
9,6,gauss,1,0.5,1,0.1949823943661972
9,7,gauss,1,0.5,1,0.17100694444444445
9,8,gauss,1,0.5,1,0.16382575757575757
9,9,gauss,1,0.5,1,0.16260901162790697
10,0,gauss,1,0.5,1,0.009631849315068493
10,1,gauss,1,0.5,1,0.20036764705882354
10,2,gauss,1,0.5,1,0.20070684523809523
10,3,gauss,1,0.5,1,0.18727678571428572
10,4,gauss,1,0.5,1,0.14020270270270271
10,5,gauss,1,0.5,1,0.16529605263157895
10,6,gauss,1,0.5,1,0.21566901408450703
10,7,gauss,1,0.5,1,0.19249131944444445
10,8,gauss,1,0.5,1,0.14464962121212122
10,9,gauss,1,0.5,1,0.15188953488372092
11,0,gauss,1,0.5,1,0.004922945205479452
11,1,gauss,1,0.5,1,0.1630514705882353
11,2,gauss,1,0.5,1,0.20107886904761904
11,3,gauss,1,0.5,1,0.221875
11,4,gauss,1,0.5,1,0.15519425675675674
11,5,gauss,1,0.5,1,0.1669407894736842
11,6,gauss,1,0.5,1,0.1899207746478873
11,7,gauss,1,0.5,1,0.16102430555555555
11,8,gauss,1,0.5,1,0.1640625
11,9,gauss,1,0.5,1,0.18622819767441862
12,0,gauss,1,0.5,1,0.0021404109589041095
12,1,gauss,1,0.5,1,0.21084558823529412
12,2,gauss,1,0.5,1,0.20535714285714285
12,3,gauss,1,0.5,1,0.1982142857142857
12,4,gauss,1,0.5,1,0.15941722972972974
12,5,gauss,1,0.5,1,0.16595394736842106
12,6,gauss,1,0.5,1,0.22095070422535212
12,7,gauss,1,0.5,1,0.19466145833333334
12,8,gauss,1,0.5,1,0.16524621212121213
12,9,gauss,1,0.5,1,0.15625
13,0,gauss,1,0.5,1,0.004066780821917808
13,1,gauss,1,0.5,1,0.20772058823529413
13,2,gauss,1,0.5,1,0.20293898809523808
13,3,gauss,1,0.5,1,0.2171875
13,4,gauss,1,0.5,1,0.16955236486486486
13,5,gauss,1,0.5,1,0.17286184210526315
13,6,gauss,1,0.5,1,0.2068661971830986
13,7,gauss,1,0.5,1,0.20572916666666666
13,8,gauss,1,0.5,1,0.15696022727272727
13,9,gauss,1,0.5,1,0.18604651162790697
14,0,gauss,1,0.5,1,0.023116438356164382
14,1,gauss,1,0.5,1,0.2172794117647059
14,2,gauss,1,0.5,1,0.18638392857142858
14,3,gauss,1,0.5,1,0.22477678571428572
14,4,gauss,1,0.5,1,0.1632179054054054
14,5,gauss,1,0.5,1,0.16924342105263157
14,6,gauss,1,0.5,1,0.2108274647887324
14,7,gauss,1,0.5,1,0.1987847222222222
14,8,gauss,1,0.5,1,0.1581439393939394
14,9,gauss,1,0.5,1,0.18695494186046513
15,0,gauss,1,0.5,1,0.04023972602739726
15,1,gauss,1,0.5,1,0.20147058823529412
15,2,gauss,1,0.5,1,0.19735863095238096
15,3,gauss,1,0.5,1,0.23392857142857143
15,4,gauss,1,0.5,1,0.17842060810810811
15,5,gauss,1,0.5,1,0.17615131578947368
15,6,gauss,1,0.5,1,0.22227112676056338
15,7,gauss,1,0.5,1,0.2209201388888889
15,8,gauss,1,0.5,1,0.18347537878787878
15,9,gauss,1,0.5,1,0.2005813953488372
16,0,gauss,1,0.5,1,0.0017123287671232876
16,1,gauss,1,0.5,1,0.21599264705882354
16,2,gauss,1,0.5,1,0.21930803571428573
16,3,gauss,1,0.5,1,0.23058035714285716
16,4,gauss,1,0.5,1,0.171875
16,5,gauss,1,0.5,1,0.17483552631578947
16,6,gauss,1,0.5,1,0.22887323943661972
16,7,gauss,1,0.5,1,0.19639756944444445
16,8,gauss,1,0.5,1,0.19318181818181818
16,9,gauss,1,0.5,1,0.17569040697674418
17,0,gauss,1,0.5,1,0.023116438356164382
17,1,gauss,1,0.5,1,0.21415441176470587
17,2,gauss,1,0.5,1,0.20591517857142858
17,3,gauss,1,0.5,1,0.2109375
17,4,gauss,1,0.5,1,0.17208614864864866
17,5,gauss,1,0.5,1,0.18141447368421051
17,6,gauss,1,0.5,1,0.18089788732394366
17,7,gauss,1,0.5,1,0.1953125
17,8,gauss,1,0.5,1,0.1650094696969697
17,9,gauss,1,0.5,1,0.1902252906976744
18,0,gauss,1,0.5,1,0.011986301369863013
18,1,gauss,1,0.5,1,0.22775735294117647
18,2,gauss,1,0.5,1,0.23102678571428573
18,3,gauss,1,0.5,1,0.23013392857142856
18,4,gauss,1,0.5,1,0.1805320945945946
18,5,gauss,1,0.5,1,0.19703947368421051
18,6,gauss,1,0.5,1,0.22557218309859156
18,7,gauss,1,0.5,1,0.22960069444444445
18,8,gauss,1,0.5,1,0.17305871212121213
18,9,gauss,1,0.5,1,0.2023982558139535
19,0,gauss,1,0.5,1,0.02889554794520548
19,1,gauss,1,0.5,1,0.24154411764705883
19,2,gauss,1,0.5,1,0.22805059523809523
19,3,gauss,1,0.5,1,0.23683035714285713
19,4,gauss,1,0.5,1,0.17736486486486486
19,5,gauss,1,0.5,1,0.18618421052631579
19,6,gauss,1,0.5,1,0.24779929577464788
19,7,gauss,1,0.5,1,0.2224392361111111
19,8,gauss,1,0.5,1,0.1903409090909091
19,9,gauss,1,0.5,1,0.21148255813953487
20,0,gauss,1,0.5,1,0.01348458904109589
20,1,gauss,1,0.5,1,0.22408088235294119
20,2,gauss,1,0.5,1,0.22730654761904762
20,3,gauss,1,0.5,1,0.2359375
20,4,gauss,1,0.5,1,0.16554054054054054
20,5,gauss,1,0.5,1,0.1674342105263158
20,6,gauss,1,0.5,1,0.22007042253521128
20,7,gauss,1,0.5,1,0.21419270833333334
20,8,gauss,1,0.5,1,0.18678977272727273
20,9,gauss,1,0.5,1,0.1933139534883721
21,0,gauss,1,0.5,1,0.020976027397260275
21,1,gauss,1,0.5,1,0.2295955882352941
21,2,gauss,1,0.5,1,0.23567708333333334
21,3,gauss,1,0.5,1,0.240625
21,4,gauss,1,0.5,1,0.18559966216216217
21,5,gauss,1,0.5,1,0.20657894736842106
21,6,gauss,1,0.5,1,0.23899647887323944
21,7,gauss,1,0.5,1,0.20052083333333334
21,8,gauss,1,0.5,1,0.20336174242424243
21,9,gauss,1,0.5,1,0.1816860465116279
22,0,gauss,1,0.5,1,0.028039383561643837
22,1,gauss,1,0.5,1,0.20643382352941175
22,2,gauss,1,0.5,1,0.25241815476190477
22,3,gauss,1,0.5,1,0.2265625
22,4,gauss,1,0.5,1,0.18433277027027026
22,5,gauss,1,0.5,1,0.2225328947368421
22,6,gauss,1,0.5,1,0.24669894366197184
22,7,gauss,1,0.5,1,0.23177083333333334
22,8,gauss,1,0.5,1,0.20383522727272727
22,9,gauss,1,0.5,1,0.20875726744186046
23,0,gauss,1,0.5,1,0.0136986301369863
23,1,gauss,1,0.5,1,0.24099264705882353
23,2,gauss,1,0.5,1,0.23716517857142858
23,3,gauss,1,0.5,1,0.2453125
23,4,gauss,1,0.5,1,0.20713682432432431
23,5,gauss,1,0.5,1,0.20296052631578948
23,6,gauss,1,0.5,1,0.23085387323943662
23,7,gauss,1,0.5,1,0.2261284722222222
23,8,gauss,1,0.5,1,0.2012310606060606
23,9,gauss,1,0.5,1,0.19367732558139536
24,0,gauss,1,0.5,1,0.0008561643835616438
24,1,gauss,1,0.5,1,0.2358455882352941
24,2,gauss,1,0.5,1,0.22526041666666666
24,3,gauss,1,0.5,1,0.2453125
24,4,gauss,1,0.5,1,0.18095439189189189
24,5,gauss,1,0.5,1,0.19950657894736842
24,6,gauss,1,0.5,1,0.2506602112676056
24,7,gauss,1,0.5,1,0.23350694444444445
24,8,gauss,1,0.5,1,0.2012310606060606
24,9,gauss,1,0.5,1,0.19767441860465115
25,0,gauss,1,0.5,1,0.02461472602739726
25,1,gauss,1,0.5,1,0.23841911764705884
25,2,gauss,1,0.5,1,0.23679315476190477
25,3,gauss,1,0.5,1,0.26138392857142856
25,4,gauss,1,0.5,1,0.1891891891891892
25,5,gauss,1,0.5,1,0.221875
25,6,gauss,1,0.5,1,0.24031690140845072
25,7,gauss,1,0.5,1,0.2458767361111111
25,8,gauss,1,0.5,1,0.1924715909090909
25,9,gauss,1,0.5,1,0.18986191860465115
26,0,gauss,1,0.5,1,0.04045376712328767
26,1,gauss,1,0.5,1,0.24558823529411763
26,2,gauss,1,0.5,1,0.23381696428571427
26,3,gauss,1,0.5,1,0.24642857142857144
26,4,gauss,1,0.5,1,0.2039695945945946
26,5,gauss,1,0.5,1,0.20559210526315788
26,6,gauss,1,0.5,1,0.24779929577464788
26,7,gauss,1,0.5,1,0.2482638888888889
26,8,gauss,1,0.5,1,0.18323863636363635
26,9,gauss,1,0.5,1,0.22020348837209303
27,0,gauss,1,0.5,1,0.012842465753424657
27,1,gauss,1,0.5,1,0.2722426470588235
27,2,gauss,1,0.5,1,0.25
27,3,gauss,1,0.5,1,0.24174107142857143
27,4,gauss,1,0.5,1,0.20903716216216217
27,5,gauss,1,0.5,1,0.21151315789473685
27,6,gauss,1,0.5,1,0.24075704225352113
27,7,gauss,1,0.5,1,0.2541232638888889
27,8,gauss,1,0.5,1,0.1943655303030303
27,9,gauss,1,0.5,1,0.22892441860465115
28,0,gauss,1,0.5,1,0.018621575342465755
28,1,gauss,1,0.5,1,0.22169117647058822
28,2,gauss,1,0.5,1,0.24088541666666666
28,3,gauss,1,0.5,1,0.25089285714285714
28,4,gauss,1,0.5,1,0.20967060810810811
28,5,gauss,1,0.5,1,0.2238486842105263
28,6,gauss,1,0.5,1,0.2566021126760563
28,7,gauss,1,0.5,1,0.22547743055555555
28,8,gauss,1,0.5,1,0.19270833333333334
28,9,gauss,1,0.5,1,0.21765988372093023
29,0,gauss,1,0.5,1,0.02482876712328767
29,1,gauss,1,0.5,1,0.24209558823529412
29,2,gauss,1,0.5,1,0.24125744047619047
29,3,gauss,1,0.5,1,0.2799107142857143
29,4,gauss,1,0.5,1,0.20692567567567569
29,5,gauss,1,0.5,1,0.21842105263157896
29,6,gauss,1,0.5,1,0.2581426056338028
29,7,gauss,1,0.5,1,0.2191840277777778
29,8,gauss,1,0.5,1,0.21070075757575757
29,9,gauss,1,0.5,1,0.2089389534883721
30,0,gauss,1,0.5,1,0.027183219178082193
30,1,gauss,1,0.5,1,0.2667279411764706
30,2,gauss,1,0.5,1,0.25297619047619047
30,3,gauss,1,0.5,1,0.265625
30,4,gauss,1,0.5,1,0.2039695945945946
30,5,gauss,1,0.5,1,0.22976973684210528
30,6,gauss,1,0.5,1,0.2557218309859155
30,7,gauss,1,0.5,1,0.21961805555555555
30,8,gauss,1,0.5,1,0.20383522727272727
30,9,gauss,1,0.5,1,0.21765988372093023
31,0,gauss,1,0.5,1,0.012842465753424657
31,1,gauss,1,0.5,1,0.2229779411764706
31,2,gauss,1,0.5,1,0.26655505952380953
31,3,gauss,1,0.5,1,0.2580357142857143
31,4,gauss,1,0.5,1,0.20967060810810811
31,5,gauss,1,0.5,1,0.2080592105263158
31,6,gauss,1,0.5,1,0.2676056338028169
31,7,gauss,1,0.5,1,0.259765625
31,8,gauss,1,0.5,1,0.20359848484848486
31,9,gauss,1,0.5,1,0.19876453488372092
32,0,gauss,1,0.5,1,0.010273972602739725
32,1,gauss,1,0.5,1,0.28088235294117647
32,2,gauss,1,0.5,1,0.26599702380952384
32,3,gauss,1,0.5,1,0.2674107142857143
32,4,gauss,1,0.5,1,0.20713682432432431
32,5,gauss,1,0.5,1,0.23273026315789475
32,6,gauss,1,0.5,1,0.277068661971831
32,7,gauss,1,0.5,1,0.2424045138888889
32,8,gauss,1,0.5,1,0.2159090909090909
32,9,gauss,1,0.5,1,0.22765261627906977
33,0,gauss,1,0.5,1,0.034674657534246575
33,1,gauss,1,0.5,1,0.24889705882352942
33,2,gauss,1,0.5,1,0.2630208333333333
33,3,gauss,1,0.5,1,0.2584821428571429
