round,attack,seed,alpha,num_byzantine,test_accuracy
1,gauss,1,0.5,3,0.01
2,gauss,1,0.5,3,0.0179
3,gauss,1,0.5,3,0.038
4,gauss,1,0.5,3,0.0584
5,gauss,1,0.5,3,0.0819
6,gauss,1,0.5,3,0.0384
7,gauss,1,0.5,3,0.0327
8,gauss,1,0.5,3,0.0343
9,gauss,1,0.5,3,0.0347
10,gauss,1,0.5,3,0.0328
11,gauss,1,0.5,3,0.0428
12,gauss,1,0.5,3,0.0494
13,gauss,1,0.5,3,0.0384
14,gauss,1,0.5,3,0.0442
15,gauss,1,0.5,3,0.0502
16,gauss,1,0.5,3,0.0544
17,gauss,1,0.5,3,0.0553
18,gauss,1,0.5,3,0.0647
19,gauss,1,0.5,3,0.0641
20,gauss,1,0.5,3,0.0671
21,gauss,1,0.5,3,0.0678
22,gauss,1,0.5,3,0.0721
23,gauss,1,0.5,3,0.0684
24,gauss,1,0.5,3,0.0755
25,gauss,1,0.5,3,0.075
26,gauss,1,0.5,3,0.0781
27,gauss,1,0.5,3,0.0777
28,gauss,1,0.5,3,0.0715
29,gauss,1,0.5,3,0.0841
30,gauss,1,0.5,3,0.0805
31,gauss,1,0.5,3,0.0793
32,gauss,1,0.5,3,0.0907
33,gauss,1,0.5,3,0.0888
34,gauss,1,0.5,3,0.0841
35,gauss,1,0.5,3,0.0824
36,gauss,1,0.5,3,0.0871
37,gauss,1,0.5,3,0.0913
38,gauss,1,0.5,3,0.0891
39,gauss,1,0.5,3,0.0989
40,gauss,1,0.5,3,0.0977
41,gauss,1,0.5,3,0.0942
42,gauss,1,0.5,3,0.1024
43,gauss,1,0.5,3,0.0959
44,gauss,1,0.5,3,0.0947
45,gauss,1,0.5,3,0.1001
46,gauss,1,0.5,3,0.0944
47,gauss,1,0.5,3,0.0941
48,gauss,1,0.5,3,0.1054
49,gauss,1,0.5,3,0.1013
50,gauss,1,0.5,3,0.0988
51,gauss,1,0.5,3,0.1046
52,gauss,1,0.5,3,0.1041
53,gauss,1,0.5,3,0.0985
54,gauss,1,0.5,3,0.1032
55,gauss,1,0.5,3,0.1075
56,gauss,1,0.5,3,0.1114
57,gauss,1,0.5,3,0.1063
58,gauss,1,0.5,3,0.104
59,gauss,1,0.5,3,0.1053
60,gauss,1,0.5,3,0.1022
61,gauss,1,0.5,3,0.1058
62,gauss,1,0.5,3,0.1132
63,gauss,1,0.5,3,0.1098
64,gauss,1,0.5,3,0.1149
65,gauss,1,0.5,3,0.1081
66,gauss,1,0.5,3,0.1036
67,gauss,1,0.5,3,0.1031
68,gauss,1,0.5,3,0.1093
69,gauss,1,0.5,3,0.1192
70,gauss,1,0.5,3,0.1156
71,gauss,1,0.5,3,0.1064
72,gauss,1,0.5,3,0.1054
73,gauss,1,0.5,3,0.1169
74,gauss,1,0.5,3,0.1172
75,gauss,1,0.5,3,0.1121
76,gauss,1,0.5,3,0.1138
77,gauss,1,0.5,3,0.1128
78,gauss,1,0.5,3,0.1146
79,gauss,1,0.5,3,0.1123
80,gauss,1,0.5,3,0.129
81,gauss,1,0.5,3,0.1173
82,gauss,1,0.5,3,0.1202
83,gauss,1,0.5,3,0.1119
84,gauss,1,0.5,3,0.1113
85,gauss,1,0.5,3,0.1156
86,gauss,1,0.5,3,0.108
87,gauss,1,0.5,3,0.1177
88,gauss,1,0.5,3,0.1174
89,gauss,1,0.5,3,0.1084
90,gauss,1,0.5,3,0.1149
91,gauss,1,0.5,3,0.1102
92,gauss,1,0.5,3,0.1098
93,gauss,1,0.5,3,0.1007
94,gauss,1,0.5,3,0.1207
95,gauss,1,0.5,3,0.1261
96,gauss,1,0.5,3,0.1193
97,gauss,1,0.5,3,0.1222
98,gauss,1,0.5,3,0.1323
99,gauss,1,0.5,3,0.1111
100,gauss,1,0.5,3,0.1233
