round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,lie,1,0.5,1,0.10059931506849315
1,1,lie,1,0.5,1,0.10349264705882352
1,2,lie,1,0.5,1,0.09635416666666667
1,3,lie,1,0.5,1,0.10357142857142858
1,4,lie,1,0.5,1,0.07981418918918919
1,5,lie,1,0.5,1,0.08453947368421053
1,6,lie,1,0.5,1,0.10431338028169014
1,7,lie,1,0.5,1,0.09136284722222222
1,8,lie,1,0.5,1,0.07954545454545454
1,9,lie,1,0.5,1,0.09102470930232558
2,0,lie,1,0.5,1,0.12264554794520548
2,1,lie,1,0.5,1,0.15992647058823528
2,2,lie,1,0.5,1,0.13188244047619047
2,3,lie,1,0.5,1,0.1669642857142857
2,4,lie,1,0.5,1,0.08699324324324324
2,5,lie,1,0.5,1,0.09111842105263158
2,6,lie,1,0.5,1,0.12610035211267606
2,7,lie,1,0.5,1,0.12890625
2,8,lie,1,0.5,1,0.10771780303030302
2,9,lie,1,0.5,1,0.10483284883720931
3,0,lie,1,0.5,1,0.13805650684931506
3,1,lie,1,0.5,1,0.13897058823529412
3,2,lie,1,0.5,1,0.13095238095238096
3,3,lie,1,0.5,1,0.16964285714285715
3,4,lie,1,0.5,1,0.10641891891891891
3,5,lie,1,0.5,1,0.10904605263157895
3,6,lie,1,0.5,1,0.1681338028169014
3,7,lie,1,0.5,1,0.13194444444444445
3,8,lie,1,0.5,1,0.12642045454545456
3,9,lie,1,0.5,1,0.12536337209302326
4,0,lie,1,0.5,1,0.16716609589041095
4,1,lie,1,0.5,1,0.16966911764705883
4,2,lie,1,0.5,1,0.16257440476190477
4,3,lie,1,0.5,1,0.1703125
4,4,lie,1,0.5,1,0.11507601351351351
4,5,lie,1,0.5,1,0.13240131578947367
4,6,lie,1,0.5,1,0.11421654929577464
4,7,lie,1,0.5,1,0.16341145833333334
4,8,lie,1,0.5,1,0.10203598484848485
4,9,lie,1,0.5,1,0.10773982558139535
5,0,lie,1,0.5,1,0.16095890410958905
5,1,lie,1,0.5,1,0.165625
5,2,lie,1,0.5,1,0.14620535714285715
5,3,lie,1,0.5,1,0.19375
5,4,lie,1,0.5,1,0.13555743243243243
5,5,lie,1,0.5,1,0.1424342105263158
5,6,lie,1,0.5,1,0.1793573943661972
5,7,lie,1,0.5,1,0.17274305555555555
5,8,lie,1,0.5,1,0.13044507575757575
5,9,lie,1,0.5,1,0.1504360465116279
6,0,lie,1,0.5,1,0.0430222602739726
6,1,lie,1,0.5,1,0.17849264705882353
6,2,lie,1,0.5,1,0.16871279761904762
6,3,lie,1,0.5,1,0.203125
6,4,lie,1,0.5,1,0.15076013513513514
6,5,lie,1,0.5,1,0.1524671052631579
6,6,lie,1,0.5,1,0.1780369718309859
6,7,lie,1,0.5,1,0.18880208333333334
6,8,lie,1,0.5,1,0.14393939393939395
6,9,lie,1,0.5,1,0.17078488372093023
7,0,lie,1,0.5,1,0.06014554794520548
7,1,lie,1,0.5,1,0.19871323529411763
7,2,lie,1,0.5,1,0.17875744047619047
7,3,lie,1,0.5,1,0.21294642857142856
7,4,lie,1,0.5,1,0.15878378378378377
7,5,lie,1,0.5,1,0.13486842105263158
7,6,lie,1,0.5,1,0.18309859154929578
7,7,lie,1,0.5,1,0.18294270833333334
7,8,lie,1,0.5,1,0.14607007575757575
7,9,lie,1,0.5,1,0.1691497093023256
8,0,lie,1,0.5,1,0.05928938356164384
8,1,lie,1,0.5,1,0.20202205882352942
8,2,lie,1,0.5,1,0.22507440476190477
8,3,lie,1,0.5,1,0.20691964285714284
8,4,lie,1,0.5,1,0.14505912162162163
8,5,lie,1,0.5,1,0.1450657894736842
8,6,lie,1,0.5,1,0.20158450704225353
8,7,lie,1,0.5,1,0.19618055555555555
8,8,lie,1,0.5,1,0.16264204545454544
8,9,lie,1,0.5,1,0.1855014534883721
9,0,lie,1,0.5,1,0.0545804794520548
9,1,lie,1,0.5,1,0.21985294117647058
9,2,lie,1,0.5,1,0.2034970238095238
9,3,lie,1,0.5,1,0.2450892857142857
9,4,lie,1,0.5,1,0.15688344594594594
9,5,lie,1,0.5,1,0.16661184210526317
9,6,lie,1,0.5,1,0.2227112676056338
9,7,lie,1,0.5,1,0.1937934027777778
9,8,lie,1,0.5,1,0.16169507575757575
9,9,lie,1,0.5,1,0.18568313953488372
10,0,lie,1,0.5,1,0.0779109589041096
10,1,lie,1,0.5,1,0.21801470588235294
10,2,lie,1,0.5,1,0.2222842261904762
10,3,lie,1,0.5,1,0.20558035714285713
10,4,lie,1,0.5,1,0.16216216216216217
10,5,lie,1,0.5,1,0.18388157894736842
10,6,lie,1,0.5,1,0.22359154929577466
10,7,lie,1,0.5,1,0.2124565972222222
10,8,lie,1,0.5,1,0.18323863636363635
10,9,lie,1,0.5,1,0.19222383720930233
11,0,lie,1,0.5,1,0.07534246575342465
11,1,lie,1,0.5,1,0.23069852941176472
11,2,lie,1,0.5,1,0.21614583333333334
11,3,lie,1,0.5,1,0.22678571428571428
11,4,lie,1,0.5,1,0.17694256756756757
11,5,lie,1,0.5,1,0.17105263157894737
11,6,lie,1,0.5,1,0.22733274647887325
11,7,lie,1,0.5,1,0.20789930555555555
11,8,lie,1,0.5,1,0.17803030303030304
11,9,lie,1,0.5,1,0.2005813953488372
12,0,lie,1,0.5,1,0.0761986301369863
12,1,lie,1,0.5,1,0.24558823529411763
12,2,lie,1,0.5,1,0.24014136904761904
12,3,lie,1,0.5,1,0.24620535714285716
12,4,lie,1,0.5,1,0.16659628378378377
12,5,lie,1,0.5,1,0.19358552631578949
12,6,lie,1,0.5,1,0.26276408450704225
12,7,lie,1,0.5,1,0.23893229166666666
12,8,lie,1,0.5,1,0.20075757575757575
12,9,lie,1,0.5,1,0.19295058139534885
13,0,lie,1,0.5,1,0.0819777397260274
13,1,lie,1,0.5,1,0.21286764705882352
13,2,lie,1,0.5,1,0.24460565476190477
13,3,lie,1,0.5,1,0.24375
13,4,lie,1,0.5,1,0.19024493243243243
13,5,lie,1,0.5,1,0.18733552631578948
13,6,lie,1,0.5,1,0.2383362676056338
13,7,lie,1,0.5,1,0.2341579861111111
13,8,lie,1,0.5,1,0.17163825757575757
13,9,lie,1,0.5,1,0.21002906976744187
14,0,lie,1,0.5,1,0.11750856164383562
14,1,lie,1,0.5,1,0.21893382352941176
14,2,lie,1,0.5,1,0.21168154761904762
14,3,lie,1,0.5,1,0.2736607142857143
14,4,lie,1,0.5,1,0.20016891891891891
14,5,lie,1,0.5,1,0.20164473684210527
14,6,lie,1,0.5,1,0.2548415492957746
14,7,lie,1,0.5,1,0.22178819444444445
14,8,lie,1,0.5,1,0.20738636363636365
14,9,lie,1,0.5,1,0.22311046511627908
15,0,lie,1,0.5,1,0.11023116438356165
15,1,lie,1,0.5,1,0.24761029411764707
15,2,lie,1,0.5,1,0.24534970238095238
15,3,lie,1,0.5,1,0.2671875
15,4,lie,1,0.5,1,0.20249155405405406
15,5,lie,1,0.5,1,0.2236842105263158
15,6,lie,1,0.5,1,0.22579225352112675
