round,attack,seed,alpha,num_byzantine,test_accuracy
1,lie,1,0.5,1,0.01
2,lie,1,0.5,1,0.0177
3,lie,1,0.5,1,0.0403
4,lie,1,0.5,1,0.0612
5,lie,1,0.5,1,0.0794
6,lie,1,0.5,1,0.0904
7,lie,1,0.5,1,0.0984
8,lie,1,0.5,1,0.1172
9,lie,1,0.5,1,0.1288
10,lie,1,0.5,1,0.1431
11,lie,1,0.5,1,0.1442
12,lie,1,0.5,1,0.1675
13,lie,1,0.5,1,0.1664
14,lie,1,0.5,1,0.1778
15,lie,1,0.5,1,0.1742
16,lie,1,0.5,1,0.1821
17,lie,1,0.5,1,0.1978
18,lie,1,0.5,1,0.1977
19,lie,1,0.5,1,0.2091
20,lie,1,0.5,1,0.2034
21,lie,1,0.5,1,0.209
22,lie,1,0.5,1,0.2139
23,lie,1,0.5,1,0.224
24,lie,1,0.5,1,0.2347
25,lie,1,0.5,1,0.2295
26,lie,1,0.5,1,0.235
27,lie,1,0.5,1,0.241
28,lie,1,0.5,1,0.2499
29,lie,1,0.5,1,0.2498
30,lie,1,0.5,1,0.2576
31,lie,1,0.5,1,0.2624
32,lie,1,0.5,1,0.2633
33,lie,1,0.5,1,0.2666
34,lie,1,0.5,1,0.2655
35,lie,1,0.5,1,0.2653
36,lie,1,0.5,1,0.2724
37,lie,1,0.5,1,0.2739
38,lie,1,0.5,1,0.2787
39,lie,1,0.5,1,0.2786
40,lie,1,0.5,1,0.2846
41,lie,1,0.5,1,0.2853
42,lie,1,0.5,1,0.2903
43,lie,1,0.5,1,0.2921
44,lie,1,0.5,1,0.2942
45,lie,1,0.5,1,0.2934
46,lie,1,0.5,1,0.301
47,lie,1,0.5,1,0.3029
48,lie,1,0.5,1,0.303
49,lie,1,0.5,1,0.3006
50,lie,1,0.5,1,0.2983
51,lie,1,0.5,1,0.3061
52,lie,1,0.5,1,0.3122
53,lie,1,0.5,1,0.3158
54,lie,1,0.5,1,0.3187
55,lie,1,0.5,1,0.3193
56,lie,1,0.5,1,0.3221
57,lie,1,0.5,1,0.3256
58,lie,1,0.5,1,0.3233
59,lie,1,0.5,1,0.3232
60,lie,1,0.5,1,0.3283
61,lie,1,0.5,1,0.3275
62,lie,1,0.5,1,0.3371
63,lie,1,0.5,1,0.3322
64,lie,1,0.5,1,0.3365
65,lie,1,0.5,1,0.3414
66,lie,1,0.5,1,0.3385
67,lie,1,0.5,1,0.34
68,lie,1,0.5,1,0.3448
69,lie,1,0.5,1,0.3462
70,lie,1,0.5,1,0.3494
71,lie,1,0.5,1,0.3482
72,lie,1,0.5,1,0.3509
73,lie,1,0.5,1,0.3506
74,lie,1,0.5,1,0.3505
75,lie,1,0.5,1,0.3492
76,lie,1,0.5,1,0.359
77,lie,1,0.5,1,0.3523
78,lie,1,0.5,1,0.3607
79,lie,1,0.5,1,0.3616
80,lie,1,0.5,1,0.3606
81,lie,1,0.5,1,0.3632
82,lie,1,0.5,1,0.3652
83,lie,1,0.5,1,0.3611
84,lie,1,0.5,1,0.3706
85,lie,1,0.5,1,0.3693
86,lie,1,0.5,1,0.3687
87,lie,1,0.5,1,0.3763
88,lie,1,0.5,1,0.3758
89,lie,1,0.5,1,0.3776
90,lie,1,0.5,1,0.3738
91,lie,1,0.5,1,0.3796
92,lie,1,0.5,1,0.3786
93,lie,1,0.5,1,0.3772
94,lie,1,0.5,1,0.3752
95,lie,1,0.5,1,0.3813
96,lie,1,0.5,1,0.3778
97,lie,1,0.5,1,0.3802
98,lie,1,0.5,1,0.3776
99,lie,1,0.5,1,0.3801
100,lie,1,0.5,1,0.387
