round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,min_max,1,0.5,1,0.10059931506849315
1,1,min_max,1,0.5,1,0.10349264705882352
1,2,min_max,1,0.5,1,0.09635416666666667
1,3,min_max,1,0.5,1,0.10803571428571429
1,4,min_max,1,0.5,1,0.07981418918918919
1,5,min_max,1,0.5,1,0.08453947368421053
1,6,min_max,1,0.5,1,0.10431338028169014
1,7,min_max,1,0.5,1,0.09136284722222222
1,8,min_max,1,0.5,1,0.07954545454545454
1,9,min_max,1,0.5,1,0.08902616279069768
2,0,min_max,1,0.5,1,0.12136130136986302
2,1,min_max,1,0.5,1,0.13768382352941178
2,2,min_max,1,0.5,1,0.12388392857142858
2,3,min_max,1,0.5,1,0.16183035714285715
2,4,min_max,1,0.5,1,0.08530405405405406
2,5,min_max,1,0.5,1,0.09177631578947368
2,6,min_max,1,0.5,1,0.1230193661971831
2,7,min_max,1,0.5,1,0.13736979166666666
2,8,min_max,1,0.5,1,0.08901515151515152
2,9,min_max,1,0.5,1,0.13172238372093023
3,0,min_max,1,0.5,1,0.1547517123287671
3,1,min_max,1,0.5,1,0.12996323529411766
3,2,min_max,1,0.5,1,0.15048363095238096
3,3,min_max,1,0.5,1,0.1689732142857143
3,4,min_max,1,0.5,1,0.11148648648648649
3,5,min_max,1,0.5,1,0.12335526315789473
3,6,min_max,1,0.5,1,0.16351232394366197
3,7,min_max,1,0.5,1,0.13606770833333334
3,8,min_max,1,0.5,1,0.11197916666666667
3,9,min_max,1,0.5,1,0.12045784883720931
4,0,min_max,1,0.5,1,0.1605308219178082
4,1,min_max,1,0.5,1,0.18125
4,2,min_max,1,0.5,1,0.17447916666666666
4,3,min_max,1,0.5,1,0.19933035714285716
4,4,min_max,1,0.5,1,0.1258445945945946
4,5,min_max,1,0.5,1,0.13157894736842105
4,6,min_max,1,0.5,1,0.1274207746478873
4,7,min_max,1,0.5,1,0.1430121527777778
4,8,min_max,1,0.5,1,0.12665719696969696
4,9,min_max,1,0.5,1,0.11046511627906977
5,0,min_max,1,0.5,1,0.16716609589041095
5,1,min_max,1,0.5,1,0.17904411764705883
5,2,min_max,1,0.5,1,0.15252976190476192
5,3,min_max,1,0.5,1,0.190625
5,4,min_max,1,0.5,1,0.11423141891891891
5,5,min_max,1,0.5,1,0.15328947368421053
5,6,min_max,1,0.5,1,0.1857394366197183
5,7,min_max,1,0.5,1,0.1740451388888889
5,8,min_max,1,0.5,1,0.1356534090909091
5,9,min_max,1,0.5,1,0.14098837209302326
6,0,min_max,1,0.5,1,0.055222602739726026
6,1,min_max,1,0.5,1,0.20551470588235293
6,2,min_max,1,0.5,1,0.16071428571428573
6,3,min_max,1,0.5,1,0.19888392857142856
6,4,min_max,1,0.5,1,0.13851351351351351
6,5,min_max,1,0.5,1,0.16266447368421053
6,6,min_max,1,0.5,1,0.18794014084507044
6,7,min_max,1,0.5,1,0.19639756944444445
6,8,min_max,1,0.5,1,0.1493844696969697
6,9,min_max,1,0.5,1,0.14734738372093023
7,0,min_max,1,0.5,1,0.029965753424657533
7,1,min_max,1,0.5,1,0.17573529411764705
7,2,min_max,1,0.5,1,0.18415178571428573
7,3,min_max,1,0.5,1,0.2044642857142857
7,4,min_max,1,0.5,1,0.14421452702702703
7,5,min_max,1,0.5,1,0.13256578947368422
7,6,min_max,1,0.5,1,0.18485915492957747
7,7,min_max,1,0.5,1,0.1775173611111111
7,8,min_max,1,0.5,1,0.14607007575757575
7,9,min_max,1,0.5,1,0.17550872093023256
8,0,min_max,1,0.5,1,0.0646404109589041
8,1,min_max,1,0.5,1,0.2025735294117647
8,2,min_max,1,0.5,1,0.2034970238095238
8,3,min_max,1,0.5,1,0.22299107142857144
8,4,min_max,1,0.5,1,0.14864864864864866
8,5,min_max,1,0.5,1,0.14407894736842106
8,6,min_max,1,0.5,1,0.1914612676056338
8,7,min_max,1,0.5,1,0.2109375
8,8,min_max,1,0.5,1,0.15577651515151514
8,9,min_max,1,0.5,1,0.16715116279069767
9,0,min_max,1,0.5,1,0.06164383561643835
9,1,min_max,1,0.5,1,0.19375
9,2,min_max,1,0.5,1,0.19401041666666666
9,3,min_max,1,0.5,1,0.2328125
9,4,min_max,1,0.5,1,0.15371621621621623
9,5,min_max,1,0.5,1,0.17335526315789473
9,6,min_max,1,0.5,1,0.2264524647887324
9,7,min_max,1,0.5,1,0.19401041666666666
9,8,min_max,1,0.5,1,0.17708333333333334
9,9,min_max,1,0.5,1,0.18023255813953487
10,0,min_max,1,0.5,1,0.05286815068493151
10,1,min_max,1,0.5,1,0.2145220588235294
10,2,min_max,1,0.5,1,0.19940476190476192
10,3,min_max,1,0.5,1,0.20133928571428572
10,4,min_max,1,0.5,1,0.17145270270270271
10,5,min_max,1,0.5,1,0.17434210526315788
10,6,min_max,1,0.5,1,0.20576584507042253
10,7,min_max,1,0.5,1,0.208984375
10,8,min_max,1,0.5,1,0.16761363636363635
10,9,min_max,1,0.5,1,0.18005087209302326
11,0,min_max,1,0.5,1,0.0740582191780822
11,1,min_max,1,0.5,1,0.18106617647058823
11,2,min_max,1,0.5,1,0.20126488095238096
11,3,min_max,1,0.5,1,0.19285714285714287
11,4,min_max,1,0.5,1,0.17525337837837837
11,5,min_max,1,0.5,1,0.1763157894736842
11,6,min_max,1,0.5,1,0.23283450704225353
11,7,min_max,1,0.5,1,0.1909722222222222
11,8,min_max,1,0.5,1,0.17897727272727273
11,9,min_max,1,0.5,1,0.1900436046511628
12,0,min_max,1,0.5,1,0.06870719178082192
12,1,min_max,1,0.5,1,0.23566176470588235
12,2,min_max,1,0.5,1,0.22637648809523808
12,3,min_max,1,0.5,1,0.22254464285714284
12,4,min_max,1,0.5,1,0.18369932432432431
12,5,min_max,1,0.5,1,0.1736842105263158
12,6,min_max,1,0.5,1,0.23217429577464788
12,7,min_max,1,0.5,1,0.22547743055555555
12,8,min_max,1,0.5,1,0.18489583333333334
12,9,min_max,1,0.5,1,0.16497093023255813
13,0,min_max,1,0.5,1,0.07726883561643835
13,1,min_max,1,0.5,1,0.2099264705882353
13,2,min_max,1,0.5,1,0.23586309523809523
13,3,min_max,1,0.5,1,0.2435267857142857
13,4,min_max,1,0.5,1,0.18454391891891891
13,5,min_max,1,0.5,1,0.17055921052631579
13,6,min_max,1,0.5,1,0.2306338028169014
13,7,min_max,1,0.5,1,0.22721354166666666
13,8,min_max,1,0.5,1,0.16619318181818182
13,9,min_max,1,0.5,1,0.2011264534883721
14,0,min_max,1,0.5,1,0.08176369863013698
14,1,min_max,1,0.5,1,0.20680147058823528
14,2,min_max,1,0.5,1,0.2347470238095238
14,3,min_max,1,0.5,1,0.25535714285714284
14,4,min_max,1,0.5,1,0.19721283783783783
14,5,min_max,1,0.5,1,0.19539473684210526
14,6,min_max,1,0.5,1,0.2559419014084507
14,7,min_max,1,0.5,1,0.22374131944444445
14,8,min_max,1,0.5,1,0.18584280303030304
14,9,min_max,1,0.5,1,0.20621366279069767
15,0,min_max,1,0.5,1,0.07748287671232877
15,1,min_max,1,0.5,1,0.2005514705882353
15,2,min_max,1,0.5,1,0.21242559523809523
15,3,min_max,1,0.5,1,0.24397321428571428
15,4,min_max,1,0.5,1,0.19826858108108109
15,5,min_max,1,0.5,1,0.2138157894736842
15,6,min_max,1,0.5,1,0.22909330985915494
15,7,min_max,1,0.5,1,0.24305555555555555
15,8,min_max,1,0.5,1,0.21448863636363635
15,9,min_max,1,0.5,1,0.20784883720930233
16,0,min_max,1,0.5,1,0.07555650684931507
16,1,min_max,1,0.5,1,0.25698529411764703
16,2,min_max,1,0.5,1,0.21968005952380953
16,3,min_max,1,0.5,1,0.21763392857142858
16,4,min_max,1,0.5,1,0.20840371621621623
16,5,min_max,1,0.5,1,0.22236842105263158
16,6,min_max,1,0.5,1,0.257262323943662
16,7,min_max,1,0.5,1,0.24348958333333334
16,8,min_max,1,0.5,1,0.18371212121212122
16,9,min_max,1,0.5,1,0.20621366279069767
17,0,min_max,1,0.5,1,0.0858304794520548
17,1,min_max,1,0.5,1,0.23345588235294118
17,2,min_max,1,0.5,1,0.20963541666666666
17,3,min_max,1,0.5,1,0.2526785714285714
17,4,min_max,1,0.5,1,0.21516047297297297
17,5,min_max,1,0.5,1,0.20657894736842106
17,6,min_max,1,0.5,1,0.23085387323943662
17,7,min_max,1,0.5,1,0.21571180555555555
17,8,min_max,1,0.5,1,0.22679924242424243
17,9,min_max,1,0.5,1,0.2323764534883721
18,0,min_max,1,0.5,1,0.0800513698630137
18,1,min_max,1,0.5,1,0.2702205882352941
18,2,min_max,1,0.5,1,0.25093005952380953
18,3,min_max,1,0.5,1,0.2375
18,4,min_max,1,0.5,1,0.20249155405405406
18,5,min_max,1,0.5,1,0.19424342105263157
18,6,min_max,1,0.5,1,0.24867957746478872
18,7,min_max,1,0.5,1,0.275390625
18,8,min_max,1,0.5,1,0.20691287878787878
18,9,min_max,1,0.5,1,0.2454578488372093
19,0,min_max,1,0.5,1,0.10466609589041095
19,1,min_max,1,0.5,1,0.26580882352941176
19,2,min_max,1,0.5,1,0.26357886904761907
19,3,min_max,1,0.5,1,0.28861607142857143
19,4,min_max,1,0.5,1,0.22614020270270271
19,5,min_max,1,0.5,1,0.22467105263157894
19,6,min_max,1,0.5,1,0.2832306338028169
19,7,min_max,1,0.5,1,0.2456597222222222
19,8,min_max,1,0.5,1,0.2265625
19,9,min_max,1,0.5,1,0.23255813953488372
20,0,min_max,1,0.5,1,0.11065924657534247
20,1,min_max,1,0.5,1,0.2681985294117647
20,2,min_max,1,0.5,1,0.25148809523809523
20,3,min_max,1,0.5,1,0.2625
20,4,min_max,1,0.5,1,0.2179054054054054
20,5,min_max,1,0.5,1,0.2069078947368421
20,6,min_max,1,0.5,1,0.2555017605633803
20,7,min_max,1,0.5,1,0.2638888888888889
20,8,min_max,1,0.5,1,0.2362689393939394
20,9,min_max,1,0.5,1,0.22438226744186046
21,0,min_max,1,0.5,1,0.11172945205479452
21,1,min_max,1,0.5,1,0.25496323529411763
21,2,min_max,1,0.5,1,0.2736235119047619
21,3,min_max,1,0.5,1,0.27589285714285716
21,4,min_max,1,0.5,1,0.19087837837837837
21,5,min_max,1,0.5,1,0.23289473684210527
21,6,min_max,1,0.5,1,0.28565140845070425
21,7,min_max,1,0.5,1,0.2495659722222222
21,8,min_max,1,0.5,1,0.21330492424242425
21,9,min_max,1,0.5,1,0.22765261627906977
22,0,min_max,1,0.5,1,0.08112157534246575
22,1,min_max,1,0.5,1,0.2722426470588235
22,2,min_max,1,0.5,1,0.2732514880952381
22,3,min_max,1,0.5,1,0.253125
22,4,min_max,1,0.5,1,0.20755912162162163
22,5,min_max,1,0.5,1,0.2299342105263158
22,6,min_max,1,0.5,1,0.2616637323943662
22,7,min_max,1,0.5,1,0.25
22,8,min_max,1,0.5,1,0.22916666666666666
22,9,min_max,1,0.5,1,0.24618459302325582
23,0,min_max,1,0.5,1,0.08047945205479452
23,1,min_max,1,0.5,1,0.2619485294117647
23,2,min_max,1,0.5,1,0.24906994047619047
23,3,min_max,1,0.5,1,0.29129464285714285
23,4,min_max,1,0.5,1,0.24113175675675674
23,5,min_max,1,0.5,1,0.2348684210526316
23,6,min_max,1,0.5,1,0.27750880281690143
23,7,min_max,1,0.5,1,0.2584635416666667
23,8,min_max,1,0.5,1,0.2450284090909091
23,9,min_max,1,0.5,1,0.23655523255813954
24,0,min_max,1,0.5,1,0.1348458904109589
24,1,min_max,1,0.5,1,0.2625
24,2,min_max,1,0.5,1,0.2775297619047619
24,3,min_max,1,0.5,1,0.3013392857142857
24,4,min_max,1,0.5,1,0.21748310810810811
24,5,min_max,1,0.5,1,0.24259868421052633
24,6,min_max,1,0.5,1,0.27816901408450706
24,7,min_max,1,0.5,1,0.2684461805555556
24,8,min_max,1,0.5,1,0.2566287878787879
24,9,min_max,1,0.5,1,0.24055232558139536
25,0,min_max,1,0.5,1,0.1500428082191781
25,1,min_max,1,0.5,1,0.27738970588235295
25,2,min_max,1,0.5,1,0.2903645833333333
25,3,min_max,1,0.5,1,0.28125
25,4,min_max,1,0.5,1,0.22445101351351351
25,5,min_max,1,0.5,1,0.2774671052631579
25,6,min_max,1,0.5,1,0.29797535211267606
25,7,min_max,1,0.5,1,0.2858072916666667
25,8,min_max,1,0.5,1,0.24100378787878787
25,9,min_max,1,0.5,1,0.23837209302325582
26,0,min_max,1,0.5,1,0.09845890410958905
26,1,min_max,1,0.5,1,0.2869485294117647
26,2,min_max,1,0.5,1,0.28031994047619047
26,3,min_max,1,0.5,1,0.27633928571428573
26,4,min_max,1,0.5,1,0.21663851351351351
26,5,min_max,1,0.5,1,0.2511513157894737
26,6,min_max,1,0.5,1,0.28389084507042256
26,7,min_max,1,0.5,1,0.2762586805555556
26,8,min_max,1,0.5,1,0.2521306818181818
26,9,min_max,1,0.5,1,0.24000726744186046
27,0,min_max,1,0.5,1,0.11172945205479452
27,1,min_max,1,0.5,1,0.29191176470588237
27,2,min_max,1,0.5,1,0.28757440476190477
27,3,min_max,1,0.5,1,0.2832589285714286
27,4,min_max,1,0.5,1,0.2690033783783784
27,5,min_max,1,0.5,1,0.2679276315789474
27,6,min_max,1,0.5,1,0.3058978873239437
27,7,min_max,1,0.5,1,0.2879774305555556
27,8,min_max,1,0.5,1,0.2440814393939394
27,9,min_max,1,0.5,1,0.25890261627906974
28,0,min_max,1,0.5,1,0.0916095890410959
28,1,min_max,1,0.5,1,0.28713235294117645
28,2,min_max,1,0.5,1,0.25818452380952384
28,3,min_max,1,0.5,1,0.3183035714285714
28,4,min_max,1,0.5,1,0.26309121621621623
28,5,min_max,1,0.5,1,0.2799342105263158
28,6,min_max,1,0.5,1,0.3019366197183099
28,7,min_max,1,0.5,1,0.2964409722222222
28,8,min_max,1,0.5,1,0.2509469696969697
28,9,min_max,1,0.5,1,0.26744186046511625
29,0,min_max,1,0.5,1,0.10616438356164383
29,1,min_max,1,0.5,1,0.30018382352941175
