round,attack,seed,alpha,num_byzantine,test_accuracy
1,min_max,1,0.5,1,0.0111
2,min_max,1,0.5,1,0.0207
3,min_max,1,0.5,1,0.0454
4,min_max,1,0.5,1,0.0604
5,min_max,1,0.5,1,0.08
6,min_max,1,0.5,1,0.0832
7,min_max,1,0.5,1,0.0941
8,min_max,1,0.5,1,0.1084
9,min_max,1,0.5,1,0.1242
10,min_max,1,0.5,1,0.1359
11,min_max,1,0.5,1,0.1394
12,min_max,1,0.5,1,0.1431
13,min_max,1,0.5,1,0.1522
14,min_max,1,0.5,1,0.164
15,min_max,1,0.5,1,0.1661
16,min_max,1,0.5,1,0.1804
17,min_max,1,0.5,1,0.1796
18,min_max,1,0.5,1,0.1818
19,min_max,1,0.5,1,0.187
20,min_max,1,0.5,1,0.1975
21,min_max,1,0.5,1,0.2013
22,min_max,1,0.5,1,0.2042
23,min_max,1,0.5,1,0.2159
24,min_max,1,0.5,1,0.2216
25,min_max,1,0.5,1,0.2215
26,min_max,1,0.5,1,0.2217
27,min_max,1,0.5,1,0.228
28,min_max,1,0.5,1,0.2341
29,min_max,1,0.5,1,0.2338
30,min_max,1,0.5,1,0.2424
31,min_max,1,0.5,1,0.2416
32,min_max,1,0.5,1,0.2514
33,min_max,1,0.5,1,0.2516
34,min_max,1,0.5,1,0.2519
35,min_max,1,0.5,1,0.2527
36,min_max,1,0.5,1,0.2542
37,min_max,1,0.5,1,0.2604
38,min_max,1,0.5,1,0.2669
39,min_max,1,0.5,1,0.2658
40,min_max,1,0.5,1,0.2691
41,min_max,1,0.5,1,0.2684
42,min_max,1,0.5,1,0.2669
43,min_max,1,0.5,1,0.2692
44,min_max,1,0.5,1,0.2764
45,min_max,1,0.5,1,0.2773
46,min_max,1,0.5,1,0.2812
47,min_max,1,0.5,1,0.2842
48,min_max,1,0.5,1,0.2827
49,min_max,1,0.5,1,0.2858
50,min_max,1,0.5,1,0.2849
51,min_max,1,0.5,1,0.2875
52,min_max,1,0.5,1,0.2882
53,min_max,1,0.5,1,0.2902
54,min_max,1,0.5,1,0.2926
55,min_max,1,0.5,1,0.2991
56,min_max,1,0.5,1,0.3011
57,min_max,1,0.5,1,0.3026
58,min_max,1,0.5,1,0.308
59,min_max,1,0.5,1,0.3069
60,min_max,1,0.5,1,0.3065
61,min_max,1,0.5,1,0.307
62,min_max,1,0.5,1,0.3097
63,min_max,1,0.5,1,0.3132
64,min_max,1,0.5,1,0.3141
65,min_max,1,0.5,1,0.3163
66,min_max,1,0.5,1,0.3156
67,min_max,1,0.5,1,0.3186
68,min_max,1,0.5,1,0.3212
69,min_max,1,0.5,1,0.3218
70,min_max,1,0.5,1,0.323
71,min_max,1,0.5,1,0.3229
72,min_max,1,0.5,1,0.325
73,min_max,1,0.5,1,0.3274
74,min_max,1,0.5,1,0.3284
75,min_max,1,0.5,1,0.3305
76,min_max,1,0.5,1,0.328
77,min_max,1,0.5,1,0.3337
78,min_max,1,0.5,1,0.3368
79,min_max,1,0.5,1,0.3372
80,min_max,1,0.5,1,0.3379
81,min_max,1,0.5,1,0.3395
82,min_max,1,0.5,1,0.3437
83,min_max,1,0.5,1,0.343
84,min_max,1,0.5,1,0.3465
85,min_max,1,0.5,1,0.3471
86,min_max,1,0.5,1,0.345
87,min_max,1,0.5,1,0.3468
88,min_max,1,0.5,1,0.3508
89,min_max,1,0.5,1,0.355
90,min_max,1,0.5,1,0.3508
91,min_max,1,0.5,1,0.3551
92,min_max,1,0.5,1,0.3556
93,min_max,1,0.5,1,0.358
94,min_max,1,0.5,1,0.3575
95,min_max,1,0.5,1,0.3604
96,min_max,1,0.5,1,0.3613
97,min_max,1,0.5,1,0.3572
98,min_max,1,0.5,1,0.3593
99,min_max,1,0.5,1,0.3563
100,min_max,1,0.5,1,0.3623
