round,attack,seed,alpha,num_byzantine,test_accuracy
1,min_sum,1,0.5,2,0.0105
2,min_sum,1,0.5,2,0.0181
3,min_sum,1,0.5,2,0.0413
4,min_sum,1,0.5,2,0.0576
5,min_sum,1,0.5,2,0.0773
6,min_sum,1,0.5,2,0.0821
7,min_sum,1,0.5,2,0.0957
8,min_sum,1,0.5,2,0.0965
9,min_sum,1,0.5,2,0.1081
10,min_sum,1,0.5,2,0.1152
11,min_sum,1,0.5,2,0.1205
12,min_sum,1,0.5,2,0.1316
13,min_sum,1,0.5,2,0.1298
14,min_sum,1,0.5,2,0.1481
15,min_sum,1,0.5,2,0.1495
16,min_sum,1,0.5,2,0.1521
17,min_sum,1,0.5,2,0.1618
18,min_sum,1,0.5,2,0.1631
19,min_sum,1,0.5,2,0.1784
20,min_sum,1,0.5,2,0.1837
21,min_sum,1,0.5,2,0.1876
22,min_sum,1,0.5,2,0.1862
23,min_sum,1,0.5,2,0.1984
24,min_sum,1,0.5,2,0.2043
25,min_sum,1,0.5,2,0.206
26,min_sum,1,0.5,2,0.2063
27,min_sum,1,0.5,2,0.2145
28,min_sum,1,0.5,2,0.2175
29,min_sum,1,0.5,2,0.2189
30,min_sum,1,0.5,2,0.2221
31,min_sum,1,0.5,2,0.226
32,min_sum,1,0.5,2,0.2264
33,min_sum,1,0.5,2,0.2286
34,min_sum,1,0.5,2,0.2334
35,min_sum,1,0.5,2,0.2323
36,min_sum,1,0.5,2,0.2332
37,min_sum,1,0.5,2,0.2444
38,min_sum,1,0.5,2,0.2441
39,min_sum,1,0.5,2,0.2454
40,min_sum,1,0.5,2,0.2492
41,min_sum,1,0.5,2,0.2485
42,min_sum,1,0.5,2,0.2525
43,min_sum,1,0.5,2,0.2568
44,min_sum,1,0.5,2,0.2544
45,min_sum,1,0.5,2,0.2582
46,min_sum,1,0.5,2,0.2593
47,min_sum,1,0.5,2,0.2643
48,min_sum,1,0.5,2,0.2665
49,min_sum,1,0.5,2,0.2666
50,min_sum,1,0.5,2,0.2623
51,min_sum,1,0.5,2,0.2651
52,min_sum,1,0.5,2,0.2704
53,min_sum,1,0.5,2,0.2697
54,min_sum,1,0.5,2,0.2762
55,min_sum,1,0.5,2,0.2744
56,min_sum,1,0.5,2,0.2767
57,min_sum,1,0.5,2,0.2777
58,min_sum,1,0.5,2,0.285
59,min_sum,1,0.5,2,0.2767
60,min_sum,1,0.5,2,0.2841
61,min_sum,1,0.5,2,0.2894
62,min_sum,1,0.5,2,0.2911
63,min_sum,1,0.5,2,0.2909
64,min_sum,1,0.5,2,0.2895
65,min_sum,1,0.5,2,0.2908
66,min_sum,1,0.5,2,0.2935
67,min_sum,1,0.5,2,0.2946
68,min_sum,1,0.5,2,0.2959
69,min_sum,1,0.5,2,0.2942
70,min_sum,1,0.5,2,0.2998
71,min_sum,1,0.5,2,0.3022
72,min_sum,1,0.5,2,0.3028
73,min_sum,1,0.5,2,0.306
74,min_sum,1,0.5,2,0.3068
75,min_sum,1,0.5,2,0.3009
76,min_sum,1,0.5,2,0.3038
77,min_sum,1,0.5,2,0.3012
78,min_sum,1,0.5,2,0.3099
79,min_sum,1,0.5,2,0.3096
80,min_sum,1,0.5,2,0.3122
81,min_sum,1,0.5,2,0.3114
82,min_sum,1,0.5,2,0.3157
83,min_sum,1,0.5,2,0.3185
84,min_sum,1,0.5,2,0.3227
85,min_sum,1,0.5,2,0.3259
86,min_sum,1,0.5,2,0.3252
87,min_sum,1,0.5,2,0.3239
88,min_sum,1,0.5,2,0.3229
89,min_sum,1,0.5,2,0.3259
90,min_sum,1,0.5,2,0.3246
91,min_sum,1,0.5,2,0.3302
92,min_sum,1,0.5,2,0.3343
93,min_sum,1,0.5,2,0.3395
94,min_sum,1,0.5,2,0.3363
95,min_sum,1,0.5,2,0.3338
96,min_sum,1,0.5,2,0.3361
97,min_sum,1,0.5,2,0.3304
98,min_sum,1,0.5,2,0.3322
99,min_sum,1,0.5,2,0.3329
100,min_sum,1,0.5,2,0.34
