round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,mod_gauss,1,0.5,1,0.10059931506849315
1,1,mod_gauss,1,0.5,1,0.10349264705882352
1,2,mod_gauss,1,0.5,1,0.09635416666666667
1,3,mod_gauss,1,0.5,1,0.10357142857142858
1,4,mod_gauss,1,0.5,1,0.07981418918918919
1,5,mod_gauss,1,0.5,1,0.08453947368421053
1,6,mod_gauss,1,0.5,1,0.10431338028169014
1,7,mod_gauss,1,0.5,1,0.09136284722222222
1,8,mod_gauss,1,0.5,1,0.07954545454545454
1,9,mod_gauss,1,0.5,1,0.08902616279069768
2,0,mod_gauss,1,0.5,1,0.10017123287671233
2,1,mod_gauss,1,0.5,1,0.14650735294117648
2,2,mod_gauss,1,0.5,1,0.1170014880952381
2,3,mod_gauss,1,0.5,1,0.17098214285714286
2,4,mod_gauss,1,0.5,1,0.1015625
2,5,mod_gauss,1,0.5,1,0.09029605263157894
2,6,mod_gauss,1,0.5,1,0.12962147887323944
2,7,mod_gauss,1,0.5,1,0.1506076388888889
2,8,mod_gauss,1,0.5,1,0.09730113636363637
2,9,mod_gauss,1,0.5,1,0.12536337209302326
3,0,mod_gauss,1,0.5,1,0.10595034246575342
3,1,mod_gauss,1,0.5,1,0.15551470588235294
3,2,mod_gauss,1,0.5,1,0.14081101190476192
3,3,mod_gauss,1,0.5,1,0.17946428571428572
3,4,mod_gauss,1,0.5,1,0.10684121621621621
3,5,mod_gauss,1,0.5,1,0.10970394736842105
3,6,mod_gauss,1,0.5,1,0.15184859154929578
3,7,mod_gauss,1,0.5,1,0.13758680555555555
3,8,mod_gauss,1,0.5,1,0.13328598484848486
3,9,mod_gauss,1,0.5,1,0.13390261627906977
4,0,mod_gauss,1,0.5,1,0.15496575342465754
4,1,mod_gauss,1,0.5,1,0.16875
4,2,mod_gauss,1,0.5,1,0.15141369047619047
4,3,mod_gauss,1,0.5,1,0.17209821428571428
4,4,mod_gauss,1,0.5,1,0.12711148648648649
4,5,mod_gauss,1,0.5,1,0.12220394736842105
4,6,mod_gauss,1,0.5,1,0.15602992957746478
4,7,mod_gauss,1,0.5,1,0.1545138888888889
4,8,mod_gauss,1,0.5,1,0.10795454545454546
4,9,mod_gauss,1,0.5,1,0.12191133720930232
5,0,mod_gauss,1,0.5,1,0.1521832191780822
5,1,mod_gauss,1,0.5,1,0.16525735294117647
5,2,mod_gauss,1,0.5,1,0.16555059523809523
5,3,mod_gauss,1,0.5,1,0.18504464285714287
5,4,mod_gauss,1,0.5,1,0.12204391891891891
5,5,mod_gauss,1,0.5,1,0.12763157894736843
5,6,mod_gauss,1,0.5,1,0.17253521126760563
5,7,mod_gauss,1,0.5,1,0.15885416666666666
5,8,mod_gauss,1,0.5,1,0.12831439393939395
5,9,mod_gauss,1,0.5,1,0.13699127906976744
6,0,mod_gauss,1,0.5,1,0.13805650684931506
6,1,mod_gauss,1,0.5,1,0.18529411764705883
6,2,mod_gauss,1,0.5,1,0.16964285714285715
6,3,mod_gauss,1,0.5,1,0.21071428571428572
6,4,mod_gauss,1,0.5,1,0.13703547297297297
6,5,mod_gauss,1,0.5,1,0.1511513157894737
6,6,mod_gauss,1,0.5,1,0.17891725352112675
6,7,mod_gauss,1,0.5,1,0.1640625
6,8,mod_gauss,1,0.5,1,0.14322916666666666
6,9,mod_gauss,1,0.5,1,0.16442587209302326
7,0,mod_gauss,1,0.5,1,0.17123287671232876
7,1,mod_gauss,1,0.5,1,0.19540441176470588
7,2,mod_gauss,1,0.5,1,0.19363839285714285
7,3,mod_gauss,1,0.5,1,0.18683035714285715
7,4,mod_gauss,1,0.5,1,0.15603885135135134
7,5,mod_gauss,1,0.5,1,0.13453947368421051
7,6,mod_gauss,1,0.5,1,0.16637323943661972
7,7,mod_gauss,1,0.5,1,0.1994357638888889
7,8,mod_gauss,1,0.5,1,0.13139204545454544
7,9,mod_gauss,1,0.5,1,0.18186773255813954
8,0,mod_gauss,1,0.5,1,0.16738013698630136
8,1,mod_gauss,1,0.5,1,0.20202205882352942
8,2,mod_gauss,1,0.5,1,0.19698660714285715
8,3,mod_gauss,1,0.5,1,0.225
8,4,mod_gauss,1,0.5,1,0.1623733108108108
8,5,mod_gauss,1,0.5,1,0.17269736842105263
8,6,mod_gauss,1,0.5,1,0.19300176056338028
8,7,mod_gauss,1,0.5,1,0.1976996527777778
8,8,mod_gauss,1,0.5,1,0.15009469696969696
8,9,mod_gauss,1,0.5,1,0.1894985465116279
9,0,mod_gauss,1,0.5,1,0.1894263698630137
9,1,mod_gauss,1,0.5,1,0.22334558823529413
9,2,mod_gauss,1,0.5,1,0.20498511904761904
9,3,mod_gauss,1,0.5,1,0.2279017857142857
9,4,mod_gauss,1,0.5,1,0.16385135135135134
9,5,mod_gauss,1,0.5,1,0.1567434210526316
9,6,mod_gauss,1,0.5,1,0.2268926056338028
9,7,mod_gauss,1,0.5,1,0.19270833333333334
9,8,mod_gauss,1,0.5,1,0.17589962121212122
9,9,mod_gauss,1,0.5,1,0.16696947674418605
10,0,mod_gauss,1,0.5,1,0.22324486301369864
10,1,mod_gauss,1,0.5,1,0.21985294117647058
10,2,mod_gauss,1,0.5,1,0.21893601190476192
10,3,mod_gauss,1,0.5,1,0.1982142857142857
10,4,mod_gauss,1,0.5,1,0.17039695945945946
10,5,mod_gauss,1,0.5,1,0.1819078947368421
10,6,mod_gauss,1,0.5,1,0.2051056338028169
10,7,mod_gauss,1,0.5,1,0.20572916666666666
10,8,mod_gauss,1,0.5,1,0.1865530303030303
10,9,mod_gauss,1,0.5,1,0.18459302325581395
11,0,mod_gauss,1,0.5,1,0.2303082191780822
11,1,mod_gauss,1,0.5,1,0.20073529411764707
11,2,mod_gauss,1,0.5,1,0.22358630952380953
11,3,mod_gauss,1,0.5,1,0.21473214285714284
11,4,mod_gauss,1,0.5,1,0.16173986486486486
11,5,mod_gauss,1,0.5,1,0.1830592105263158
11,6,mod_gauss,1,0.5,1,0.23129401408450703
11,7,mod_gauss,1,0.5,1,0.1970486111111111
11,8,mod_gauss,1,0.5,1,0.16429924242424243
11,9,mod_gauss,1,0.5,1,0.19694767441860464
12,0,mod_gauss,1,0.5,1,0.191138698630137
12,1,mod_gauss,1,0.5,1,0.2358455882352941
12,2,mod_gauss,1,0.5,1,0.24795386904761904
12,3,mod_gauss,1,0.5,1,0.24821428571428572
12,4,mod_gauss,1,0.5,1,0.19911317567567569
12,5,mod_gauss,1,0.5,1,0.1774671052631579
12,6,mod_gauss,1,0.5,1,0.24449823943661972
12,7,mod_gauss,1,0.5,1,0.21766493055555555
12,8,mod_gauss,1,0.5,1,0.1934185606060606
12,9,mod_gauss,1,0.5,1,0.20712209302325582
13,0,mod_gauss,1,0.5,1,0.2345890410958904
13,1,mod_gauss,1,0.5,1,0.2213235294117647
13,2,mod_gauss,1,0.5,1,0.24200148809523808
13,3,mod_gauss,1,0.5,1,0.25870535714285714
13,4,mod_gauss,1,0.5,1,0.20565878378378377
13,5,mod_gauss,1,0.5,1,0.18388157894736842
13,6,mod_gauss,1,0.5,1,0.22337147887323944
13,7,mod_gauss,1,0.5,1,0.22721354166666666
13,8,mod_gauss,1,0.5,1,0.16619318181818182
13,9,mod_gauss,1,0.5,1,0.2220203488372093
14,0,mod_gauss,1,0.5,1,0.2360873287671233
14,1,mod_gauss,1,0.5,1,0.23272058823529412
14,2,mod_gauss,1,0.5,1,0.2183779761904762
14,3,mod_gauss,1,0.5,1,0.27745535714285713
14,4,mod_gauss,1,0.5,1,0.20249155405405406
14,5,mod_gauss,1,0.5,1,0.20411184210526315
14,6,mod_gauss,1,0.5,1,0.238556338028169
14,7,mod_gauss,1,0.5,1,0.2209201388888889
14,8,mod_gauss,1,0.5,1,0.18300189393939395
14,9,mod_gauss,1,0.5,1,0.21402616279069767
15,0,mod_gauss,1,0.5,1,0.2525684931506849
15,1,mod_gauss,1,0.5,1,0.21544117647058825
15,2,mod_gauss,1,0.5,1,0.23976934523809523
15,3,mod_gauss,1,0.5,1,0.26316964285714284
15,4,mod_gauss,1,0.5,1,0.21304898648648649
15,5,mod_gauss,1,0.5,1,0.22763157894736843
15,6,mod_gauss,1,0.5,1,0.2422975352112676
15,7,mod_gauss,1,0.5,1,0.2526041666666667
15,8,mod_gauss,1,0.5,1,0.22964015151515152
15,9,mod_gauss,1,0.5,1,0.22111191860465115
16,0,mod_gauss,1,0.5,1,0.24464897260273974
16,1,mod_gauss,1,0.5,1,0.25441176470588234
16,2,mod_gauss,1,0.5,1,0.24925595238095238
16,3,mod_gauss,1,0.5,1,0.265625
16,4,mod_gauss,1,0.5,1,0.21304898648648649
16,5,mod_gauss,1,0.5,1,0.22911184210526317
16,6,mod_gauss,1,0.5,1,0.26606514084507044
16,7,mod_gauss,1,0.5,1,0.2530381944444444
16,8,mod_gauss,1,0.5,1,0.20288825757575757
16,9,mod_gauss,1,0.5,1,0.21220930232558138
17,0,mod_gauss,1,0.5,1,0.24122431506849315
17,1,mod_gauss,1,0.5,1,0.26488970588235294
17,2,mod_gauss,1,0.5,1,0.2265625
17,3,mod_gauss,1,0.5,1,0.28660714285714284
17,4,mod_gauss,1,0.5,1,0.22149493243243243
17,5,mod_gauss,1,0.5,1,0.2199013157894737
17,6,mod_gauss,1,0.5,1,0.24867957746478872
17,7,mod_gauss,1,0.5,1,0.23524305555555555
17,8,mod_gauss,1,0.5,1,0.2412405303030303
17,9,mod_gauss,1,0.5,1,0.24037063953488372
18,0,mod_gauss,1,0.5,1,0.2636986301369863
18,1,mod_gauss,1,0.5,1,0.26176470588235295
18,2,mod_gauss,1,0.5,1,0.26748511904761907
18,3,mod_gauss,1,0.5,1,0.24375
18,4,mod_gauss,1,0.5,1,0.20080236486486486
18,5,mod_gauss,1,0.5,1,0.2205592105263158
18,6,mod_gauss,1,0.5,1,0.26100352112676056
18,7,mod_gauss,1,0.5,1,0.2708333333333333
18,8,mod_gauss,1,0.5,1,0.22277462121212122
18,9,mod_gauss,1,0.5,1,0.2554505813953488
19,0,mod_gauss,1,0.5,1,0.2478595890410959
19,1,mod_gauss,1,0.5,1,0.278125
19,2,mod_gauss,1,0.5,1,0.2643229166666667
19,3,mod_gauss,1,0.5,1,0.2950892857142857
19,4,mod_gauss,1,0.5,1,0.23733108108108109
19,5,mod_gauss,1,0.5,1,0.2118421052631579
19,6,mod_gauss,1,0.5,1,0.28807218309859156
19,7,mod_gauss,1,0.5,1,0.2562934027777778
19,8,mod_gauss,1,0.5,1,0.21898674242424243
19,9,mod_gauss,1,0.5,1,0.24709302325581395
20,0,mod_gauss,1,0.5,1,0.258347602739726
20,1,mod_gauss,1,0.5,1,0.2777573529411765
20,2,mod_gauss,1,0.5,1,0.27529761904761907
20,3,mod_gauss,1,0.5,1,0.2765625
20,4,mod_gauss,1,0.5,1,0.2265625
20,5,mod_gauss,1,0.5,1,0.22467105263157894
20,6,mod_gauss,1,0.5,1,0.25088028169014087
20,7,mod_gauss,1,0.5,1,0.2625868055555556
