round,attack,seed,alpha,num_byzantine,test_accuracy
1,mod_gauss,1,0.5,2,0.01
2,mod_gauss,1,0.5,2,0.0168
3,mod_gauss,1,0.5,2,0.0421
4,mod_gauss,1,0.5,2,0.0547
5,mod_gauss,1,0.5,2,0.0651
6,mod_gauss,1,0.5,2,0.09
7,mod_gauss,1,0.5,2,0.0983
8,mod_gauss,1,0.5,2,0.1169
9,mod_gauss,1,0.5,2,0.1302
10,mod_gauss,1,0.5,2,0.1402
11,mod_gauss,1,0.5,2,0.1437
12,mod_gauss,1,0.5,2,0.1565
13,mod_gauss,1,0.5,2,0.1662
14,mod_gauss,1,0.5,2,0.1749
15,mod_gauss,1,0.5,2,0.1721
16,mod_gauss,1,0.5,2,0.1837
17,mod_gauss,1,0.5,2,0.1961
18,mod_gauss,1,0.5,2,0.1951
19,mod_gauss,1,0.5,2,0.1976
20,mod_gauss,1,0.5,2,0.2082
21,mod_gauss,1,0.5,2,0.219
22,mod_gauss,1,0.5,2,0.221
23,mod_gauss,1,0.5,2,0.2256
24,mod_gauss,1,0.5,2,0.2358
25,mod_gauss,1,0.5,2,0.2384
26,mod_gauss,1,0.5,2,0.2389
27,mod_gauss,1,0.5,2,0.2476
28,mod_gauss,1,0.5,2,0.2508
29,mod_gauss,1,0.5,2,0.2518
30,mod_gauss,1,0.5,2,0.2583
31,mod_gauss,1,0.5,2,0.2575
32,mod_gauss,1,0.5,2,0.2588
33,mod_gauss,1,0.5,2,0.268
34,mod_gauss,1,0.5,2,0.2673
35,mod_gauss,1,0.5,2,0.2689
36,mod_gauss,1,0.5,2,0.2728
37,mod_gauss,1,0.5,2,0.2792
38,mod_gauss,1,0.5,2,0.2853
39,mod_gauss,1,0.5,2,0.2834
40,mod_gauss,1,0.5,2,0.2874
41,mod_gauss,1,0.5,2,0.2902
42,mod_gauss,1,0.5,2,0.2906
43,mod_gauss,1,0.5,2,0.2946
44,mod_gauss,1,0.5,2,0.2989
45,mod_gauss,1,0.5,2,0.3015
46,mod_gauss,1,0.5,2,0.3036
47,mod_gauss,1,0.5,2,0.3092
48,mod_gauss,1,0.5,2,0.3085
49,mod_gauss,1,0.5,2,0.3072
50,mod_gauss,1,0.5,2,0.3072
51,mod_gauss,1,0.5,2,0.3104
52,mod_gauss,1,0.5,2,0.3184
53,mod_gauss,1,0.5,2,0.319
54,mod_gauss,1,0.5,2,0.3172
55,mod_gauss,1,0.5,2,0.3211
56,mod_gauss,1,0.5,2,0.3303
57,mod_gauss,1,0.5,2,0.3327
58,mod_gauss,1,0.5,2,0.3344
59,mod_gauss,1,0.5,2,0.3321
60,mod_gauss,1,0.5,2,0.3363
61,mod_gauss,1,0.5,2,0.3348
62,mod_gauss,1,0.5,2,0.3407
63,mod_gauss,1,0.5,2,0.339
64,mod_gauss,1,0.5,2,0.3442
65,mod_gauss,1,0.5,2,0.3439
66,mod_gauss,1,0.5,2,0.3461
67,mod_gauss,1,0.5,2,0.3471
68,mod_gauss,1,0.5,2,0.3489
69,mod_gauss,1,0.5,2,0.3538
70,mod_gauss,1,0.5,2,0.3577
71,mod_gauss,1,0.5,2,0.351
72,mod_gauss,1,0.5,2,0.356
73,mod_gauss,1,0.5,2,0.3546
74,mod_gauss,1,0.5,2,0.3569
75,mod_gauss,1,0.5,2,0.357
76,mod_gauss,1,0.5,2,0.3615
77,mod_gauss,1,0.5,2,0.3582
78,mod_gauss,1,0.5,2,0.3635
79,mod_gauss,1,0.5,2,0.3662
80,mod_gauss,1,0.5,2,0.3622
81,mod_gauss,1,0.5,2,0.3669
82,mod_gauss,1,0.5,2,0.3681
83,mod_gauss,1,0.5,2,0.3674
84,mod_gauss,1,0.5,2,0.3767
85,mod_gauss,1,0.5,2,0.3791
86,mod_gauss,1,0.5,2,0.3772
87,mod_gauss,1,0.5,2,0.381
88,mod_gauss,1,0.5,2,0.3831
89,mod_gauss,1,0.5,2,0.3835
90,mod_gauss,1,0.5,2,0.381
91,mod_gauss,1,0.5,2,0.3863
92,mod_gauss,1,0.5,2,0.3855
93,mod_gauss,1,0.5,2,0.3871
94,mod_gauss,1,0.5,2,0.3775
95,mod_gauss,1,0.5,2,0.3872
96,mod_gauss,1,0.5,2,0.3895
97,mod_gauss,1,0.5,2,0.3856
98,mod_gauss,1,0.5,2,0.3901
99,mod_gauss,1,0.5,2,0.3873
100,mod_gauss,1,0.5,2,0.3951
