round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,none,1,0.5,0,0.10059931506849315
1,1,none,1,0.5,0,0.10349264705882352
1,2,none,1,0.5,0,0.09635416666666667
1,3,none,1,0.5,0,0.10357142857142858
1,4,none,1,0.5,0,0.07981418918918919
1,5,none,1,0.5,0,0.08453947368421053
1,6,none,1,0.5,0,0.10431338028169014
1,7,none,1,0.5,0,0.09136284722222222
1,8,none,1,0.5,0,0.07954545454545454
1,9,none,1,0.5,0,0.08902616279069768
2,0,none,1,0.5,0,0.10017123287671233
2,1,none,1,0.5,0,0.14650735294117648
2,2,none,1,0.5,0,0.1170014880952381
2,3,none,1,0.5,0,0.17098214285714286
2,4,none,1,0.5,0,0.1015625
2,5,none,1,0.5,0,0.09029605263157894
2,6,none,1,0.5,0,0.12962147887323944
2,7,none,1,0.5,0,0.1506076388888889
2,8,none,1,0.5,0,0.09730113636363637
2,9,none,1,0.5,0,0.12536337209302326
3,0,none,1,0.5,0,0.14190924657534246
3,1,none,1,0.5,0,0.15551470588235294
3,2,none,1,0.5,0,0.14081101190476192
3,3,none,1,0.5,0,0.17946428571428572
3,4,none,1,0.5,0,0.10684121621621621
3,5,none,1,0.5,0,0.10970394736842105
3,6,none,1,0.5,0,0.15184859154929578
3,7,none,1,0.5,0,0.13758680555555555
3,8,none,1,0.5,0,0.13328598484848486
3,9,none,1,0.5,0,0.13390261627906977
4,0,none,1,0.5,0,0.15732020547945205
4,1,none,1,0.5,0,0.16139705882352942
4,2,none,1,0.5,0,0.1644345238095238
4,3,none,1,0.5,0,0.18147321428571428
4,4,none,1,0.5,0,0.1258445945945946
4,5,none,1,0.5,0,0.12335526315789473
4,6,none,1,0.5,0,0.15404929577464788
4,7,none,1,0.5,0,0.15755208333333334
4,8,none,1,0.5,0,0.1268939393939394
4,9,none,1,0.5,0,0.1106468023255814
5,0,none,1,0.5,0,0.1622431506849315
5,1,none,1,0.5,0,0.17591911764705884
5,2,none,1,0.5,0,0.16238839285714285
5,3,none,1,0.5,0,0.19642857142857142
5,4,none,1,0.5,0,0.11296452702702703
5,5,none,1,0.5,0,0.12763157894736843
5,6,none,1,0.5,0,0.1894806338028169
5,7,none,1,0.5,0,0.1742621527777778
5,8,none,1,0.5,0,0.13802083333333334
5,9,none,1,0.5,0,0.14807412790697674
6,0,none,1,0.5,0,0.1449058219178082
6,1,none,1,0.5,0,0.18474264705882354
6,2,none,1,0.5,0,0.16815476190476192
6,3,none,1,0.5,0,0.1984375
6,4,none,1,0.5,0,0.14336993243243243
6,5,none,1,0.5,0,0.14144736842105263
6,6,none,1,0.5,0,0.15625
6,7,none,1,0.5,0,0.17447916666666666
6,8,none,1,0.5,0,0.1474905303030303
6,9,none,1,0.5,0,0.1769622093023256
7,0,none,1,0.5,0,0.17315924657534246
7,1,none,1,0.5,0,0.18860294117647058
7,2,none,1,0.5,0,0.21112351190476192
7,3,none,1,0.5,0,0.18236607142857142
7,4,none,1,0.5,0,0.15244932432432431
7,5,none,1,0.5,0,0.12960526315789472
7,6,none,1,0.5,0,0.1835387323943662
7,7,none,1,0.5,0,0.19010416666666666
7,8,none,1,0.5,0,0.13754734848484848
7,9,none,1,0.5,0,0.1816860465116279
8,0,none,1,0.5,0,0.18043664383561644
8,1,none,1,0.5,0,0.20018382352941178
8,2,none,1,0.5,0,0.2144717261904762
8,3,none,1,0.5,0,0.21339285714285713
8,4,none,1,0.5,0,0.15033783783783783
8,5,none,1,0.5,0,0.16447368421052633
8,6,none,1,0.5,0,0.20818661971830985
8,7,none,1,0.5,0,0.1853298611111111
8,8,none,1,0.5,0,0.16027462121212122
8,9,none,1,0.5,0,0.1907703488372093
9,0,none,1,0.5,0,0.20055650684931506
9,1,none,1,0.5,0,0.21709558823529412
9,2,none,1,0.5,0,0.19512648809523808
9,3,none,1,0.5,0,0.22433035714285715
9,4,none,1,0.5,0,0.15139358108108109
9,5,none,1,0.5,0,0.17976973684210526
9,6,none,1,0.5,0,0.21786971830985916
9,7,none,1,0.5,0,0.19140625
9,8,none,1,0.5,0,0.18016098484848486
9,9,none,1,0.5,0,0.17859738372093023
10,0,none,1,0.5,0,0.2166095890410959
10,1,none,1,0.5,0,0.22334558823529413
10,2,none,1,0.5,0,0.20703125
10,3,none,1,0.5,0,0.21897321428571428
10,4,none,1,0.5,0,0.17567567567567569
10,5,none,1,0.5,0,0.18322368421052632
10,6,none,1,0.5,0,0.2150088028169014
10,7,none,1,0.5,0,0.20399305555555555
10,8,none,1,0.5,0,0.1806344696969697
10,9,none,1,0.5,0,0.18604651162790697
11,0,none,1,0.5,0,0.21147260273972604
11,1,none,1,0.5,0,0.2125
11,2,none,1,0.5,0,0.19977678571428573
11,3,none,1,0.5,0,0.2078125
11,4,none,1,0.5,0,0.17736486486486486
11,5,none,1,0.5,0,0.17023026315789475
11,6,none,1,0.5,0,0.2048855633802817
11,7,none,1,0.5,0,0.2013888888888889
11,8,none,1,0.5,0,0.17945075757575757
11,9,none,1,0.5,0,0.1927688953488372
12,0,none,1,0.5,0,0.206763698630137
12,1,none,1,0.5,0,0.24669117647058825
12,2,none,1,0.5,0,0.2421875
12,3,none,1,0.5,0,0.25736607142857143
12,4,none,1,0.5,0,0.1875
12,5,none,1,0.5,0,0.19539473684210526
12,6,none,1,0.5,0,0.2555017605633803
12,7,none,1,0.5,0,0.2105034722222222
12,8,none,1,0.5,0,0.19270833333333334
12,9,none,1,0.5,0,0.18895348837209303
13,0,none,1,0.5,0,0.2204623287671233
13,1,none,1,0.5,0,0.22426470588235295
13,2,none,1,0.5,0,0.23456101190476192
13,3,none,1,0.5,0,0.24665178571428573
13,4,none,1,0.5,0,0.19087837837837837
13,5,none,1,0.5,0,0.1870065789473684
13,6,none,1,0.5,0,0.22579225352112675
13,7,none,1,0.5,0,0.2424045138888889
13,8,none,1,0.5,0,0.16856060606060605
13,9,none,1,0.5,0,0.20185319767441862
14,0,none,1,0.5,0,0.2303082191780822
14,1,none,1,0.5,0,0.22389705882352942
14,2,none,1,0.5,0,0.19215029761904762
14,3,none,1,0.5,0,0.26808035714285716
14,4,none,1,0.5,0,0.19721283783783783
14,5,none,1,0.5,0,0.20707236842105264
14,6,none,1,0.5,0,0.2506602112676056
14,7,none,1,0.5,0,0.22547743055555555
14,8,none,1,0.5,0,0.18371212121212122
14,9,none,1,0.5,0,0.22220203488372092
