round,attack,seed,alpha,num_byzantine,test_accuracy
1,none,1,0.5,0,0.01
2,none,1,0.5,0,0.0179
3,none,1,0.5,0,0.038
4,none,1,0.5,0,0.0606
5,none,1,0.5,0,0.0806
6,none,1,0.5,0,0.0859
7,none,1,0.5,0,0.1002
8,none,1,0.5,0,0.1152
9,none,1,0.5,0,0.1283
10,none,1,0.5,0,0.1395
11,none,1,0.5,0,0.1385
12,none,1,0.5,0,0.1513
13,none,1,0.5,0,0.1657
14,none,1,0.5,0,0.1766
15,none,1,0.5,0,0.1787
16,none,1,0.5,0,0.1837
17,none,1,0.5,0,0.197
18,none,1,0.5,0,0.1999
19,none,1,0.5,0,0.2034
20,none,1,0.5,0,0.2076
21,none,1,0.5,0,0.2163
22,none,1,0.5,0,0.2138
23,none,1,0.5,0,0.2274
24,none,1,0.5,0,0.2381
25,none,1,0.5,0,0.2362
26,none,1,0.5,0,0.2439
27,none,1,0.5,0,0.2483
28,none,1,0.5,0,0.2528
29,none,1,0.5,0,0.2499
30,none,1,0.5,0,0.2619
31,none,1,0.5,0,0.2654
32,none,1,0.5,0,0.2661
33,none,1,0.5,0,0.2629
34,none,1,0.5,0,0.2686
35,none,1,0.5,0,0.2681
36,none,1,0.5,0,0.2751
37,none,1,0.5,0,0.2805
38,none,1,0.5,0,0.2852
39,none,1,0.5,0,0.2877
40,none,1,0.5,0,0.2896
41,none,1,0.5,0,0.2941
42,none,1,0.5,0,0.2956
43,none,1,0.5,0,0.2996
44,none,1,0.5,0,0.2985
45,none,1,0.5,0,0.3053
46,none,1,0.5,0,0.3082
47,none,1,0.5,0,0.3107
48,none,1,0.5,0,0.3096
49,none,1,0.5,0,0.3093
50,none,1,0.5,0,0.31
51,none,1,0.5,0,0.3092
52,none,1,0.5,0,0.3214
53,none,1,0.5,0,0.3246
54,none,1,0.5,0,0.3205
55,none,1,0.5,0,0.3286
56,none,1,0.5,0,0.3256
57,none,1,0.5,0,0.3323
58,none,1,0.5,0,0.3332
59,none,1,0.5,0,0.3334
60,none,1,0.5,0,0.3343
61,none,1,0.5,0,0.3418
62,none,1,0.5,0,0.3419
63,none,1,0.5,0,0.3426
64,none,1,0.5,0,0.3477
65,none,1,0.5,0,0.3456
66,none,1,0.5,0,0.3454
67,none,1,0.5,0,0.3497
68,none,1,0.5,0,0.3489
69,none,1,0.5,0,0.355
70,none,1,0.5,0,0.3635
71,none,1,0.5,0,0.3531
72,none,1,0.5,0,0.3593
73,none,1,0.5,0,0.3582
74,none,1,0.5,0,0.3624
75,none,1,0.5,0,0.357
76,none,1,0.5,0,0.3629
77,none,1,0.5,0,0.3656
78,none,1,0.5,0,0.3699
79,none,1,0.5,0,0.3706
80,none,1,0.5,0,0.369
81,none,1,0.5,0,0.3715
82,none,1,0.5,0,0.3707
83,none,1,0.5,0,0.3665
84,none,1,0.5,0,0.3759
85,none,1,0.5,0,0.3778
86,none,1,0.5,0,0.3764
87,none,1,0.5,0,0.3835
88,none,1,0.5,0,0.3824
89,none,1,0.5,0,0.3851
90,none,1,0.5,0,0.3852
91,none,1,0.5,0,0.3848
92,none,1,0.5,0,0.387
93,none,1,0.5,0,0.3857
94,none,1,0.5,0,0.3867
95,none,1,0.5,0,0.3939
96,none,1,0.5,0,0.3949
97,none,1,0.5,0,0.3888
98,none,1,0.5,0,0.3811
99,none,1,0.5,0,0.3922
100,none,1,0.5,0,0.3927
