round,attack,seed,alpha,num_byzantine,test_accuracy
1,orthogonal_gaussian,1,0.5,2,0.01
2,orthogonal_gaussian,1,0.5,2,0.0205
3,orthogonal_gaussian,1,0.5,2,0.0371
4,orthogonal_gaussian,1,0.5,2,0.0546
5,orthogonal_gaussian,1,0.5,2,0.0784
6,orthogonal_gaussian,1,0.5,2,0.0104
7,orthogonal_gaussian,1,0.5,2,0.0093
8,orthogonal_gaussian,1,0.5,2,0.008
9,orthogonal_gaussian,1,0.5,2,0.0104
10,orthogonal_gaussian,1,0.5,2,0.0101
11,orthogonal_gaussian,1,0.5,2,0.0094
12,orthogonal_gaussian,1,0.5,2,0.0086
13,orthogonal_gaussian,1,0.5,2,0.01
14,orthogonal_gaussian,1,0.5,2,0.011
15,orthogonal_gaussian,1,0.5,2,0.0111
16,orthogonal_gaussian,1,0.5,2,0.0096
17,orthogonal_gaussian,1,0.5,2,0.0098
18,orthogonal_gaussian,1,0.5,2,0.0105
19,orthogonal_gaussian,1,0.5,2,0.0091
20,orthogonal_gaussian,1,0.5,2,0.0084
21,orthogonal_gaussian,1,0.5,2,0.0091
22,orthogonal_gaussian,1,0.5,2,0.0095
23,orthogonal_gaussian,1,0.5,2,0.0089
24,orthogonal_gaussian,1,0.5,2,0.0093
25,orthogonal_gaussian,1,0.5,2,0.0099
26,orthogonal_gaussian,1,0.5,2,0.0114
27,orthogonal_gaussian,1,0.5,2,0.0094
28,orthogonal_gaussian,1,0.5,2,0.0106
29,orthogonal_gaussian,1,0.5,2,0.0117
30,orthogonal_gaussian,1,0.5,2,0.0116
31,orthogonal_gaussian,1,0.5,2,0.0103
32,orthogonal_gaussian,1,0.5,2,0.0107
33,orthogonal_gaussian,1,0.5,2,0.0094
34,orthogonal_gaussian,1,0.5,2,0.0137
35,orthogonal_gaussian,1,0.5,2,0.0121
36,orthogonal_gaussian,1,0.5,2,0.0085
37,orthogonal_gaussian,1,0.5,2,0.0131
38,orthogonal_gaussian,1,0.5,2,0.0118
39,orthogonal_gaussian,1,0.5,2,0.0091
40,orthogonal_gaussian,1,0.5,2,0.0106
41,orthogonal_gaussian,1,0.5,2,0.0111
42,orthogonal_gaussian,1,0.5,2,0.0106
43,orthogonal_gaussian,1,0.5,2,0.0115
44,orthogonal_gaussian,1,0.5,2,0.01
45,orthogonal_gaussian,1,0.5,2,0.0073
46,orthogonal_gaussian,1,0.5,2,0.0082
47,orthogonal_gaussian,1,0.5,2,0.006
48,orthogonal_gaussian,1,0.5,2,0.0088
49,orthogonal_gaussian,1,0.5,2,0.0081
50,orthogonal_gaussian,1,0.5,2,0.0129
51,orthogonal_gaussian,1,0.5,2,0.0085
52,orthogonal_gaussian,1,0.5,2,0.0098
53,orthogonal_gaussian,1,0.5,2,0.0097
54,orthogonal_gaussian,1,0.5,2,0.0086
55,orthogonal_gaussian,1,0.5,2,0.0168
56,orthogonal_gaussian,1,0.5,2,0.0155
57,orthogonal_gaussian,1,0.5,2,0.0116
58,orthogonal_gaussian,1,0.5,2,0.0146
59,orthogonal_gaussian,1,0.5,2,0.0121
60,orthogonal_gaussian,1,0.5,2,0.0096
61,orthogonal_gaussian,1,0.5,2,0.0095
62,orthogonal_gaussian,1,0.5,2,0.0109
63,orthogonal_gaussian,1,0.5,2,0.0111
64,orthogonal_gaussian,1,0.5,2,0.0079
65,orthogonal_gaussian,1,0.5,2,0.0101
66,orthogonal_gaussian,1,0.5,2,0.0084
67,orthogonal_gaussian,1,0.5,2,0.0103
68,orthogonal_gaussian,1,0.5,2,0.0115
69,orthogonal_gaussian,1,0.5,2,0.0115
70,orthogonal_gaussian,1,0.5,2,0.0102
71,orthogonal_gaussian,1,0.5,2,0.0103
72,orthogonal_gaussian,1,0.5,2,0.0078
73,orthogonal_gaussian,1,0.5,2,0.0106
74,orthogonal_gaussian,1,0.5,2,0.0088
75,orthogonal_gaussian,1,0.5,2,0.01
76,orthogonal_gaussian,1,0.5,2,0.0089
77,orthogonal_gaussian,1,0.5,2,0.0098
78,orthogonal_gaussian,1,0.5,2,0.0093
79,orthogonal_gaussian,1,0.5,2,0.0111
80,orthogonal_gaussian,1,0.5,2,0.011
81,orthogonal_gaussian,1,0.5,2,0.0118
82,orthogonal_gaussian,1,0.5,2,0.0094
83,orthogonal_gaussian,1,0.5,2,0.0101
84,orthogonal_gaussian,1,0.5,2,0.0091
85,orthogonal_gaussian,1,0.5,2,0.009
86,orthogonal_gaussian,1,0.5,2,0.0084
87,orthogonal_gaussian,1,0.5,2,0.0111
88,orthogonal_gaussian,1,0.5,2,0.0103
89,orthogonal_gaussian,1,0.5,2,0.0097
90,orthogonal_gaussian,1,0.5,2,0.0086
91,orthogonal_gaussian,1,0.5,2,0.0134
92,orthogonal_gaussian,1,0.5,2,0.0097
93,orthogonal_gaussian,1,0.5,2,0.0096
94,orthogonal_gaussian,1,0.5,2,0.0096
95,orthogonal_gaussian,1,0.5,2,0.011
96,orthogonal_gaussian,1,0.5,2,0.0095
97,orthogonal_gaussian,1,0.5,2,0.0098
98,orthogonal_gaussian,1,0.5,2,0.0105
99,orthogonal_gaussian,1,0.5,2,0.0118
100,orthogonal_gaussian,1,0.5,2,0.0102
