round,attack,seed,alpha,num_byzantine,test_accuracy
1,random,1,0.5,1,0.01
2,random,1,0.5,1,0.0188
3,random,1,0.5,1,0.0392
4,random,1,0.5,1,0.0528
5,random,1,0.5,1,0.0774
6,random,1,0.5,1,0.0877
7,random,1,0.5,1,0.0964
8,random,1,0.5,1,0.1144
9,random,1,0.5,1,0.1228
10,random,1,0.5,1,0.1318
11,random,1,0.5,1,0.1347
12,random,1,0.5,1,0.1487
13,random,1,0.5,1,0.1598
14,random,1,0.5,1,0.1737
15,random,1,0.5,1,0.1737
16,random,1,0.5,1,0.1796
17,random,1,0.5,1,0.1902
18,random,1,0.5,1,0.1915
19,random,1,0.5,1,0.1924
20,random,1,0.5,1,0.2033
21,random,1,0.5,1,0.2051
22,random,1,0.5,1,0.2055
23,random,1,0.5,1,0.2146
24,random,1,0.5,1,0.2283
25,random,1,0.5,1,0.2291
26,random,1,0.5,1,0.2307
27,random,1,0.5,1,0.2385
28,random,1,0.5,1,0.2435
29,random,1,0.5,1,0.2411
30,random,1,0.5,1,0.2509
31,random,1,0.5,1,0.2526
32,random,1,0.5,1,0.2579
33,random,1,0.5,1,0.261
34,random,1,0.5,1,0.2554
35,random,1,0.5,1,0.2582
36,random,1,0.5,1,0.2626
37,random,1,0.5,1,0.2696
38,random,1,0.5,1,0.2729
39,random,1,0.5,1,0.2746
40,random,1,0.5,1,0.2789
41,random,1,0.5,1,0.2759
42,random,1,0.5,1,0.2843
43,random,1,0.5,1,0.2904
44,random,1,0.5,1,0.2918
45,random,1,0.5,1,0.2936
46,random,1,0.5,1,0.2943
47,random,1,0.5,1,0.2982
48,random,1,0.5,1,0.2955
49,random,1,0.5,1,0.298
50,random,1,0.5,1,0.2937
51,random,1,0.5,1,0.2967
52,random,1,0.5,1,0.3031
53,random,1,0.5,1,0.3131
54,random,1,0.5,1,0.3114
55,random,1,0.5,1,0.3099
56,random,1,0.5,1,0.3149
57,random,1,0.5,1,0.3165
58,random,1,0.5,1,0.3208
59,random,1,0.5,1,0.3222
60,random,1,0.5,1,0.3241
61,random,1,0.5,1,0.3246
62,random,1,0.5,1,0.3315
63,random,1,0.5,1,0.3319
64,random,1,0.5,1,0.3321
65,random,1,0.5,1,0.335
66,random,1,0.5,1,0.3323
67,random,1,0.5,1,0.3365
68,random,1,0.5,1,0.3395
69,random,1,0.5,1,0.3418
70,random,1,0.5,1,0.3459
71,random,1,0.5,1,0.3423
72,random,1,0.5,1,0.3481
73,random,1,0.5,1,0.3428
74,random,1,0.5,1,0.3475
75,random,1,0.5,1,0.346
76,random,1,0.5,1,0.3474
77,random,1,0.5,1,0.3463
78,random,1,0.5,1,0.3543
79,random,1,0.5,1,0.3542
80,random,1,0.5,1,0.35
81,random,1,0.5,1,0.3555
82,random,1,0.5,1,0.3616
83,random,1,0.5,1,0.3606
84,random,1,0.5,1,0.3646
85,random,1,0.5,1,0.3577
86,random,1,0.5,1,0.365
87,random,1,0.5,1,0.3674
88,random,1,0.5,1,0.3684
89,random,1,0.5,1,0.3726
90,random,1,0.5,1,0.3657
91,random,1,0.5,1,0.3726
92,random,1,0.5,1,0.374
93,random,1,0.5,1,0.3721
94,random,1,0.5,1,0.3712
95,random,1,0.5,1,0.3741
96,random,1,0.5,1,0.3746
97,random,1,0.5,1,0.3769
98,random,1,0.5,1,0.3753
99,random,1,0.5,1,0.3776
100,random,1,0.5,1,0.3801
