round,attack,seed,alpha,num_byzantine,test_accuracy
1,scaling,1,0.5,1,0.01
2,scaling,1,0.5,1,0.0179
3,scaling,1,0.5,1,0.037
4,scaling,1,0.5,1,0.0548
5,scaling,1,0.5,1,0.0694
6,scaling,1,0.5,1,0.01
7,scaling,1,0.5,1,0.01
8,scaling,1,0.5,1,0.01
9,scaling,1,0.5,1,0.01
10,scaling,1,0.5,1,0.01
11,scaling,1,0.5,1,0.01
12,scaling,1,0.5,1,0.01
13,scaling,1,0.5,1,0.01
14,scaling,1,0.5,1,0.01
15,scaling,1,0.5,1,0.01
16,scaling,1,0.5,1,0.01
17,scaling,1,0.5,1,0.01
18,scaling,1,0.5,1,0.01
19,scaling,1,0.5,1,0.01
20,scaling,1,0.5,1,0.01
21,scaling,1,0.5,1,0.01
22,scaling,1,0.5,1,0.01
23,scaling,1,0.5,1,0.01
24,scaling,1,0.5,1,0.01
25,scaling,1,0.5,1,0.01
26,scaling,1,0.5,1,0.01
27,scaling,1,0.5,1,0.01
28,scaling,1,0.5,1,0.01
29,scaling,1,0.5,1,0.01
30,scaling,1,0.5,1,0.01
31,scaling,1,0.5,1,0.01
32,scaling,1,0.5,1,0.01
33,scaling,1,0.5,1,0.01
34,scaling,1,0.5,1,0.01
35,scaling,1,0.5,1,0.01
36,scaling,1,0.5,1,0.01
37,scaling,1,0.5,1,0.01
38,scaling,1,0.5,1,0.01
39,scaling,1,0.5,1,0.01
40,scaling,1,0.5,1,0.01
41,scaling,1,0.5,1,0.01
42,scaling,1,0.5,1,0.01
43,scaling,1,0.5,1,0.01
44,scaling,1,0.5,1,0.01
45,scaling,1,0.5,1,0.01
46,scaling,1,0.5,1,0.01
47,scaling,1,0.5,1,0.01
48,scaling,1,0.5,1,0.01
49,scaling,1,0.5,1,0.01
50,scaling,1,0.5,1,0.01
51,scaling,1,0.5,1,0.01
52,scaling,1,0.5,1,0.01
53,scaling,1,0.5,1,0.01
54,scaling,1,0.5,1,0.01
55,scaling,1,0.5,1,0.01
56,scaling,1,0.5,1,0.01
57,scaling,1,0.5,1,0.01
58,scaling,1,0.5,1,0.01
59,scaling,1,0.5,1,0.01
60,scaling,1,0.5,1,0.01
61,scaling,1,0.5,1,0.01
62,scaling,1,0.5,1,0.01
63,scaling,1,0.5,1,0.01
64,scaling,1,0.5,1,0.01
65,scaling,1,0.5,1,0.01
66,scaling,1,0.5,1,0.01
67,scaling,1,0.5,1,0.01
68,scaling,1,0.5,1,0.01
69,scaling,1,0.5,1,0.01
70,scaling,1,0.5,1,0.01
71,scaling,1,0.5,1,0.01
72,scaling,1,0.5,1,0.01
73,scaling,1,0.5,1,0.01
74,scaling,1,0.5,1,0.01
75,scaling,1,0.5,1,0.01
76,scaling,1,0.5,1,0.01
77,scaling,1,0.5,1,0.01
78,scaling,1,0.5,1,0.01
79,scaling,1,0.5,1,0.01
80,scaling,1,0.5,1,0.01
81,scaling,1,0.5,1,0.01
82,scaling,1,0.5,1,0.01
83,scaling,1,0.5,1,0.01
84,scaling,1,0.5,1,0.01
85,scaling,1,0.5,1,0.01
86,scaling,1,0.5,1,0.01
87,scaling,1,0.5,1,0.01
88,scaling,1,0.5,1,0.01
89,scaling,1,0.5,1,0.01
90,scaling,1,0.5,1,0.01
91,scaling,1,0.5,1,0.01
92,scaling,1,0.5,1,0.01
93,scaling,1,0.5,1,0.01
94,scaling,1,0.5,1,0.01
95,scaling,1,0.5,1,0.01
96,scaling,1,0.5,1,0.01
97,scaling,1,0.5,1,0.01
98,scaling,1,0.5,1,0.01
99,scaling,1,0.5,1,0.01
100,scaling,1,0.5,1,0.01
