round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,scaling,1,0.5,2,0.10059931506849315
1,1,scaling,1,0.5,2,0.10349264705882352
1,2,scaling,1,0.5,2,0.09635416666666667
1,3,scaling,1,0.5,2,0.10357142857142858
1,4,scaling,1,0.5,2,0.07981418918918919
1,5,scaling,1,0.5,2,0.08453947368421053
1,6,scaling,1,0.5,2,0.10431338028169014
1,7,scaling,1,0.5,2,0.09136284722222222
1,8,scaling,1,0.5,2,0.07954545454545454
1,9,scaling,1,0.5,2,0.08902616279069768
2,0,scaling,1,0.5,2,0.10017123287671233
2,1,scaling,1,0.5,2,0.14650735294117648
2,2,scaling,1,0.5,2,0.1170014880952381
2,3,scaling,1,0.5,2,0.17098214285714286
2,4,scaling,1,0.5,2,0.1015625
2,5,scaling,1,0.5,2,0.09029605263157894
2,6,scaling,1,0.5,2,0.12962147887323944
2,7,scaling,1,0.5,2,0.1506076388888889
2,8,scaling,1,0.5,2,0.09730113636363637
2,9,scaling,1,0.5,2,0.12536337209302326
3,0,scaling,1,0.5,2,0.14190924657534246
3,1,scaling,1,0.5,2,0.15551470588235294
3,2,scaling,1,0.5,2,0.14081101190476192
3,3,scaling,1,0.5,2,0.17946428571428572
3,4,scaling,1,0.5,2,0.10684121621621621
3,5,scaling,1,0.5,2,0.10970394736842105
3,6,scaling,1,0.5,2,0.15184859154929578
3,7,scaling,1,0.5,2,0.13758680555555555
3,8,scaling,1,0.5,2,0.13328598484848486
3,9,scaling,1,0.5,2,0.13390261627906977
4,0,scaling,1,0.5,2,0.15732020547945205
4,1,scaling,1,0.5,2,0.16139705882352942
4,2,scaling,1,0.5,2,0.1644345238095238
4,3,scaling,1,0.5,2,0.18147321428571428
4,4,scaling,1,0.5,2,0.1258445945945946
4,5,scaling,1,0.5,2,0.12335526315789473
4,6,scaling,1,0.5,2,0.15404929577464788
4,7,scaling,1,0.5,2,0.15755208333333334
4,8,scaling,1,0.5,2,0.1268939393939394
4,9,scaling,1,0.5,2,0.1106468023255814
5,0,scaling,1,0.5,2,0.1622431506849315
5,1,scaling,1,0.5,2,0.17591911764705884
5,2,scaling,1,0.5,2,0.16238839285714285
5,3,scaling,1,0.5,2,0.19642857142857142
5,4,scaling,1,0.5,2,0.11296452702702703
5,5,scaling,1,0.5,2,0.12763157894736843
5,6,scaling,1,0.5,2,0.1894806338028169
5,7,scaling,1,0.5,2,0.1742621527777778
5,8,scaling,1,0.5,2,0.13802083333333334
5,9,scaling,1,0.5,2,0.14807412790697674
6,0,scaling,1,0.5,2,0.02461472602739726
6,1,scaling,1,0.5,2,0.0055147058823529415
6,2,scaling,1,0.5,2,0.16815476190476192
6,3,scaling,1,0.5,2,0.1984375
6,4,scaling,1,0.5,2,0.14336993243243243
6,5,scaling,1,0.5,2,0.14144736842105263
6,6,scaling,1,0.5,2,0.15625
6,7,scaling,1,0.5,2,0.17447916666666666
6,8,scaling,1,0.5,2,0.1474905303030303
6,9,scaling,1,0.5,2,0.1769622093023256
7,0,scaling,1,0.5,2,0.02504280821917808
7,1,scaling,1,0.5,2,0.005698529411764706
7,2,scaling,1,0.5,2,0.1761532738095238
7,3,scaling,1,0.5,2,0.19910714285714284
7,4,scaling,1,0.5,2,0.13386824324324326
7,5,scaling,1,0.5,2,0.125
7,6,scaling,1,0.5,2,0.1813380281690141
7,7,scaling,1,0.5,2,0.19639756944444445
7,8,scaling,1,0.5,2,0.14038825757575757
7,9,scaling,1,0.5,2,0.16787790697674418
8,0,scaling,1,0.5,2,0.025256849315068493
8,1,scaling,1,0.5,2,0.005698529411764706
8,2,scaling,1,0.5,2,0.20182291666666666
8,3,scaling,1,0.5,2,0.2122767857142857
8,4,scaling,1,0.5,2,0.1423141891891892
8,5,scaling,1,0.5,2,0.1513157894736842
8,6,scaling,1,0.5,2,0.1936619718309859
8,7,scaling,1,0.5,2,0.18098958333333334
8,8,scaling,1,0.5,2,0.13517992424242425
8,9,scaling,1,0.5,2,0.1666061046511628
9,0,scaling,1,0.5,2,0.025256849315068493
9,1,scaling,1,0.5,2,0.0055147058823529415
9,2,scaling,1,0.5,2,0.20238095238095238
9,3,scaling,1,0.5,2,0.21651785714285715
9,4,scaling,1,0.5,2,0.14590371621621623
9,5,scaling,1,0.5,2,0.14769736842105263
9,6,scaling,1,0.5,2,0.1949823943661972
9,7,scaling,1,0.5,2,0.1840277777777778
9,8,scaling,1,0.5,2,0.13612689393939395
9,9,scaling,1,0.5,2,0.17278343023255813
10,0,scaling,1,0.5,2,0.025256849315068493
10,1,scaling,1,0.5,2,0.0055147058823529415
10,2,scaling,1,0.5,2,0.18731398809523808
10,3,scaling,1,0.5,2,0.19330357142857144
10,4,scaling,1,0.5,2,0.15371621621621623
10,5,scaling,1,0.5,2,0.15213815789473684
10,6,scaling,1,0.5,2,0.19806338028169015
10,7,scaling,1,0.5,2,0.181640625
10,8,scaling,1,0.5,2,0.14701704545454544
10,9,scaling,1,0.5,2,0.17169331395348839
11,0,scaling,1,0.5,2,0.025470890410958905
11,1,scaling,1,0.5,2,0.005698529411764706
11,2,scaling,1,0.5,2,0.1832217261904762
11,3,scaling,1,0.5,2,0.18504464285714287
11,4,scaling,1,0.5,2,0.15244932432432431
11,5,scaling,1,0.5,2,0.14325657894736843
11,6,scaling,1,0.5,2,0.19476232394366197
11,7,scaling,1,0.5,2,0.16710069444444445
11,8,scaling,1,0.5,2,0.13446969696969696
11,9,scaling,1,0.5,2,0.17532703488372092
12,0,scaling,1,0.5,2,0.02504280821917808
12,1,scaling,1,0.5,2,0.005698529411764706
12,2,scaling,1,0.5,2,0.17875744047619047
12,3,scaling,1,0.5,2,0.18058035714285714
12,4,scaling,1,0.5,2,0.14020270270270271
12,5,scaling,1,0.5,2,0.1424342105263158
12,6,scaling,1,0.5,2,0.1993838028169014
12,7,scaling,1,0.5,2,0.16471354166666666
12,8,scaling,1,0.5,2,0.12878787878787878
12,9,scaling,1,0.5,2,0.17623546511627908
13,0,scaling,1,0.5,2,0.025470890410958905
13,1,scaling,1,0.5,2,0.0055147058823529415
13,2,scaling,1,0.5,2,0.15792410714285715
13,3,scaling,1,0.5,2,0.16964285714285715
13,4,scaling,1,0.5,2,0.11845439189189189
13,5,scaling,1,0.5,2,0.12171052631578948
13,6,scaling,1,0.5,2,0.15514964788732394
13,7,scaling,1,0.5,2,0.1430121527777778
13,8,scaling,1,0.5,2,0.11979166666666667
13,9,scaling,1,0.5,2,0.1537063953488372
14,0,scaling,1,0.5,2,0.02461472602739726
14,1,scaling,1,0.5,2,0.0055147058823529415
14,2,scaling,1,0.5,2,0.1441592261904762
14,3,scaling,1,0.5,2,0.14575892857142858
14,4,scaling,1,0.5,2,0.11613175675675676
14,5,scaling,1,0.5,2,0.10230263157894737
14,6,scaling,1,0.5,2,0.13182218309859156
14,7,scaling,1,0.5,2,0.13585069444444445
14,8,scaling,1,0.5,2,0.11126893939393939
14,9,scaling,1,0.5,2,0.12936046511627908
15,0,scaling,1,0.5,2,0.025256849315068493
15,1,scaling,1,0.5,2,0.005698529411764706
