round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,signflip,1,0.5,1,0.10059931506849315
1,1,signflip,1,0.5,1,0.10349264705882352
1,2,signflip,1,0.5,1,0.09635416666666667
1,3,signflip,1,0.5,1,0.10357142857142858
1,4,signflip,1,0.5,1,0.07981418918918919
1,5,signflip,1,0.5,1,0.08453947368421053
1,6,signflip,1,0.5,1,0.10431338028169014
1,7,signflip,1,0.5,1,0.09136284722222222
1,8,signflip,1,0.5,1,0.07954545454545454
1,9,signflip,1,0.5,1,0.08902616279069768
2,0,signflip,1,0.5,1,0.0997431506849315
2,1,signflip,1,0.5,1,0.15238970588235295
2,2,signflip,1,0.5,1,0.1170014880952381
2,3,signflip,1,0.5,1,0.17098214285714286
2,4,signflip,1,0.5,1,0.1015625
2,5,signflip,1,0.5,1,0.09029605263157894
2,6,signflip,1,0.5,1,0.13028169014084506
2,7,signflip,1,0.5,1,0.1506076388888889
2,8,signflip,1,0.5,1,0.09730113636363637
2,9,signflip,1,0.5,1,0.12536337209302326
3,0,signflip,1,0.5,1,0.1153681506849315
3,1,signflip,1,0.5,1,0.14558823529411766
3,2,signflip,1,0.5,1,0.13151041666666666
3,3,signflip,1,0.5,1,0.17254464285714285
3,4,signflip,1,0.5,1,0.12162162162162163
3,5,signflip,1,0.5,1,0.115625
3,6,signflip,1,0.5,1,0.136443661971831
3,7,signflip,1,0.5,1,0.142578125
3,8,signflip,1,0.5,1,0.12547348484848486
3,9,signflip,1,0.5,1,0.12191133720930232
4,0,signflip,1,0.5,1,0.15303938356164384
4,1,signflip,1,0.5,1,0.1676470588235294
4,2,signflip,1,0.5,1,0.15922619047619047
4,3,signflip,1,0.5,1,0.1669642857142857
4,4,signflip,1,0.5,1,0.12035472972972973
4,5,signflip,1,0.5,1,0.1350328947368421
4,6,signflip,1,0.5,1,0.14370598591549297
4,7,signflip,1,0.5,1,0.142578125
4,8,signflip,1,0.5,1,0.12334280303030302
4,9,signflip,1,0.5,1,0.11936773255813954
5,0,signflip,1,0.5,1,0.1720890410958904
5,1,signflip,1,0.5,1,0.146875
5,2,signflip,1,0.5,1,0.15457589285714285
5,3,signflip,1,0.5,1,0.1953125
5,4,signflip,1,0.5,1,0.12774493243243243
5,5,signflip,1,0.5,1,0.13980263157894737
5,6,signflip,1,0.5,1,0.18705985915492956
5,7,signflip,1,0.5,1,0.17317708333333334
5,8,signflip,1,0.5,1,0.13233901515151514
5,9,signflip,1,0.5,1,0.16188226744186046
6,0,signflip,1,0.5,1,0.004066780821917808
6,1,signflip,1,0.5,1,0.18786764705882353
6,2,signflip,1,0.5,1,0.15364583333333334
6,3,signflip,1,0.5,1,0.1825892857142857
6,4,signflip,1,0.5,1,0.13534628378378377
6,5,signflip,1,0.5,1,0.13486842105263158
6,6,signflip,1,0.5,1,0.17253521126760563
6,7,signflip,1,0.5,1,0.18359375
6,8,signflip,1,0.5,1,0.15080492424242425
6,9,signflip,1,0.5,1,0.17423691860465115
7,0,signflip,1,0.5,1,0.005351027397260274
7,1,signflip,1,0.5,1,0.19540441176470588
7,2,signflip,1,0.5,1,0.18117559523809523
7,3,signflip,1,0.5,1,0.190625
7,4,signflip,1,0.5,1,0.15054898648648649
7,5,signflip,1,0.5,1,0.13421052631578947
7,6,signflip,1,0.5,1,0.18904049295774647
7,7,signflip,1,0.5,1,0.1957465277777778
7,8,signflip,1,0.5,1,0.14370265151515152
7,9,signflip,1,0.5,1,0.16751453488372092
8,0,signflip,1,0.5,1,0.004066780821917808
8,1,signflip,1,0.5,1,0.20643382352941175
8,2,signflip,1,0.5,1,0.20126488095238096
8,3,signflip,1,0.5,1,0.19799107142857142
8,4,signflip,1,0.5,1,0.15519425675675674
8,5,signflip,1,0.5,1,0.15707236842105263
8,6,signflip,1,0.5,1,0.21544894366197184
8,7,signflip,1,0.5,1,0.1890190972222222
8,8,signflip,1,0.5,1,0.16477272727272727
8,9,signflip,1,0.5,1,0.19040697674418605
9,0,signflip,1,0.5,1,0.0017123287671232876
9,1,signflip,1,0.5,1,0.20128676470588236
9,2,signflip,1,0.5,1,0.20926339285714285
9,3,signflip,1,0.5,1,0.23258928571428572
9,4,signflip,1,0.5,1,0.15688344594594594
9,5,signflip,1,0.5,1,0.17582236842105264
9,6,signflip,1,0.5,1,0.20994718309859156
9,7,signflip,1,0.5,1,0.2113715277777778
9,8,signflip,1,0.5,1,0.17660984848484848
9,9,signflip,1,0.5,1,0.18731831395348839
10,0,signflip,1,0.5,1,0.006635273972602739
10,1,signflip,1,0.5,1,0.21360294117647058
10,2,signflip,1,0.5,1,0.20554315476190477
10,3,signflip,1,0.5,1,0.20379464285714285
10,4,signflip,1,0.5,1,0.17567567567567569
10,5,signflip,1,0.5,1,0.16019736842105264
10,6,signflip,1,0.5,1,0.21434859154929578
10,7,signflip,1,0.5,1,0.201171875
10,8,signflip,1,0.5,1,0.14630681818181818
10,9,signflip,1,0.5,1,0.17950581395348839
11,0,signflip,1,0.5,1,0.007491438356164383
11,1,signflip,1,0.5,1,0.19926470588235295
11,2,signflip,1,0.5,1,0.18545386904761904
11,3,signflip,1,0.5,1,0.1765625
11,4,signflip,1,0.5,1,0.17673141891891891
11,5,signflip,1,0.5,1,0.17401315789473684
11,6,signflip,1,0.5,1,0.21390845070422534
11,7,signflip,1,0.5,1,0.2133246527777778
11,8,signflip,1,0.5,1,0.16856060606060605
11,9,signflip,1,0.5,1,0.1953125
12,0,signflip,1,0.5,1,0.007919520547945206
12,1,signflip,1,0.5,1,0.24871323529411765
12,2,signflip,1,0.5,1,0.23363095238095238
12,3,signflip,1,0.5,1,0.23816964285714284
12,4,signflip,1,0.5,1,0.18074324324324326
