round,attack,seed,alpha,num_byzantine,test_accuracy
1,signflip,1,0.5,1,0.01
2,signflip,1,0.5,1,0.0182
3,signflip,1,0.5,1,0.0352
4,signflip,1,0.5,1,0.0552
5,signflip,1,0.5,1,0.0753
6,signflip,1,0.5,1,0.0771
7,signflip,1,0.5,1,0.0852
8,signflip,1,0.5,1,0.1032
9,signflip,1,0.5,1,0.1178
10,signflip,1,0.5,1,0.121
11,signflip,1,0.5,1,0.1287
12,signflip,1,0.5,1,0.1503
13,signflip,1,0.5,1,0.1495
14,signflip,1,0.5,1,0.1562
15,signflip,1,0.5,1,0.1558
16,signflip,1,0.5,1,0.1722
17,signflip,1,0.5,1,0.1758
18,signflip,1,0.5,1,0.1787
19,signflip,1,0.5,1,0.1819
20,signflip,1,0.5,1,0.1877
21,signflip,1,0.5,1,0.1968
22,signflip,1,0.5,1,0.1927
23,signflip,1,0.5,1,0.2092
24,signflip,1,0.5,1,0.214
25,signflip,1,0.5,1,0.2109
26,signflip,1,0.5,1,0.2192
27,signflip,1,0.5,1,0.2243
28,signflip,1,0.5,1,0.2314
29,signflip,1,0.5,1,0.2324
30,signflip,1,0.5,1,0.2412
31,signflip,1,0.5,1,0.2384
32,signflip,1,0.5,1,0.2411
33,signflip,1,0.5,1,0.2461
34,signflip,1,0.5,1,0.2469
35,signflip,1,0.5,1,0.2377
36,signflip,1,0.5,1,0.2499
37,signflip,1,0.5,1,0.2516
38,signflip,1,0.5,1,0.2586
39,signflip,1,0.5,1,0.2599
40,signflip,1,0.5,1,0.2649
41,signflip,1,0.5,1,0.2638
42,signflip,1,0.5,1,0.2653
43,signflip,1,0.5,1,0.2653
44,signflip,1,0.5,1,0.2731
45,signflip,1,0.5,1,0.2695
46,signflip,1,0.5,1,0.2742
47,signflip,1,0.5,1,0.2803
48,signflip,1,0.5,1,0.2798
49,signflip,1,0.5,1,0.2826
50,signflip,1,0.5,1,0.2799
51,signflip,1,0.5,1,0.282
52,signflip,1,0.5,1,0.2844
53,signflip,1,0.5,1,0.29
54,signflip,1,0.5,1,0.2903
55,signflip,1,0.5,1,0.2932
56,signflip,1,0.5,1,0.2949
57,signflip,1,0.5,1,0.2923
58,signflip,1,0.5,1,0.2994
59,signflip,1,0.5,1,0.296
60,signflip,1,0.5,1,0.3001
61,signflip,1,0.5,1,0.3029
62,signflip,1,0.5,1,0.304
63,signflip,1,0.5,1,0.3041
64,signflip,1,0.5,1,0.3049
65,signflip,1,0.5,1,0.3103
66,signflip,1,0.5,1,0.3098
67,signflip,1,0.5,1,0.3103
68,signflip,1,0.5,1,0.3149
69,signflip,1,0.5,1,0.3119
70,signflip,1,0.5,1,0.3163
71,signflip,1,0.5,1,0.3176
72,signflip,1,0.5,1,0.3153
73,signflip,1,0.5,1,0.3153
74,signflip,1,0.5,1,0.3158
75,signflip,1,0.5,1,0.3166
76,signflip,1,0.5,1,0.3228
77,signflip,1,0.5,1,0.3232
78,signflip,1,0.5,1,0.3279
79,signflip,1,0.5,1,0.3276
80,signflip,1,0.5,1,0.3297
81,signflip,1,0.5,1,0.3331
82,signflip,1,0.5,1,0.3335
83,signflip,1,0.5,1,0.3302
84,signflip,1,0.5,1,0.3348
85,signflip,1,0.5,1,0.3371
86,signflip,1,0.5,1,0.3385
87,signflip,1,0.5,1,0.3403
88,signflip,1,0.5,1,0.3397
89,signflip,1,0.5,1,0.3444
90,signflip,1,0.5,1,0.3358
91,signflip,1,0.5,1,0.3467
92,signflip,1,0.5,1,0.3425
93,signflip,1,0.5,1,0.346
94,signflip,1,0.5,1,0.3476
95,signflip,1,0.5,1,0.3488
96,signflip,1,0.5,1,0.3483
97,signflip,1,0.5,1,0.3447
98,signflip,1,0.5,1,0.3507
99,signflip,1,0.5,1,0.3516
100,signflip,1,0.5,1,0.3531
